,Zip,Population,Area,Min commute,School score
0,94060,742,48,75.0,31.8
1,94038,5438,7,60.0,
2,94044,37604,14,43.0,57.0
3,94015,57539,5,39.0,50.4
4,94080,54562,9,39.0,39.2
5,94132,23667,3,37.0,64.5
6,94116,39424,2,38.0,70.2
7,94127,17837,1,30.0,68.2
8,94014,40234,6,43.0,32.8
9,94112,64318,3,30.0,33.1
10,94131,30625,2,25.0,48.9
11,94020,1558,52,50.0,48.7
12,94074,279,26,63.0,
13,94062,24146,76,43.0,59.5
14,94021,415,14,,
15,94061,33427,3,29.0,48.4
16,94028,6471,13,28.0,87.5
17,94027,7316,4,20.0,71.4
18,94025,38132,19,14.0,51.9
19,94304,1452,0,24.0,
20,94305,18097,2,24.0,78.6
21,94019,14034,77,60.0,44.6
22,94030,20508,3,40.0,69.6
23,94010,38377,11,50.0,80.1
24,94402,23926,5,42.0,46.4
25,94002,24875,5,33.0,77.9
26,94403,35758,5,34.0,48.8
27,94401,28044,3,38.0,59.2
28,94066,38703,10,40.0,45.6
29,94005,2952,5,37.0,60.4
30,94134,34603,2,30.0,32.9
31,94124,27105,4,27.0,24.6
32,94070,27691,7,31.0,80.0
33,94065,2474,6,29.0,80.5
34,94404,33703,4,42.0,77.6
35,94063,28627,8,25.0,36.0
36,94621,26203,8,67.0,21.0
37,94577,36995,7,75.0,33.5
38,94603,27410,2,68.0,20.9
39,95030,25887,112,57.0,72.7
40,95032,18202,19,67.0,79.4
41,95120,34860,26,85.0,77.5
42,95141,0,2,,
43,95013,287,6,,
44,95014,47536,33,33.0,85.6
45,95070,28892,24,44.0,84.7
46,94024,20801,8,29.0,88.4
47,94087,47783,6,30.0,73.2
48,94022,17379,17,21.0,83.4
49,94306,24510,4,8.0,81.3
50,94301,16069,2,5.0,80.9
51,94303,35828,8,10.0,40.0
52,94040,27089,3,25.0,65.2
53,94041,13455,1,25.0,66.5
54,94043,28463,9,15.0,64.0
55,94035,843,2,,
56,95130,13903,1,45.0,69.8
57,95129,34045,4,47.0,85.3
58,95051,49573,6,36.0,54.8
59,95008,41440,6,55.0,52.2
60,95124,44609,6,60.0,69.5
61,95117,27300,2,45.0,39.2
62,95128,28132,3,47.0,43.5
63,95050,33404,5,45.0,49.0
64,95126,24792,3,55.0,33.7
65,95110,17462,4,50.0,32.4
66,94086,56193,7,32.0,54.5
67,95054,10375,6,41.0,51.8
68,94089,13507,12,29.0,51.2
69,95002,2190,5,,
70,95131,18315,5,55.0,28.3
71,95134,4343,10,,
72,94560,37861,19,50.0,38.5
73,94555,29312,11,46.25,82.7
74,94587,52881,28,55.0,45.1
75,94580,23062,3,75.0,37.7
76,94545,23804,12,60.0,44.5
77,94579,15754,3,75.0,34.1
78,94578,31737,4,75.0,28.9
79,94541,48657,7,70.0,23.6
80,94544,58279,11,60.0,21.6
81,94542,11153,6,75.0,38.7
82,94546,37883,6,85.0,53.9
83,94552,7894,66,85.0,71.7
84,94538,45343,22,55.0,57.5
85,94536,58581,14,55.0,63.3
86,94539,40120,27,65.0,89.8
87,94568,23285,9,90.0,71.0
88,95118,30401,4,65.0,53.6
89,95136,31348,5,75.0,39.5
90,95125,43227,8,62.0,48.7
91,95113,1289,0,,
92,95112,46292,6,55.0,30.0
93,95116,46788,3,60.0,33.3
94,95122,52551,4,62.0,38.8
95,95123,54843,7,75.0,45.6
96,95111,48267,5,75.0,40.4
97,95119,9858,3,75.0,56.0
98,95139,6882,0,75.0,49.9
99,95121,32579,10,75.0,52.4
100,95148,37129,8,75.0,52.5
101,95133,23941,3,62.0,37.0
102,95035,50951,40,50.0,61.2
103,95132,38196,14,62.0,63.0
104,95127,50432,25,85.0,31.8
105,95138,5945,16,77.0,75.7
106,95135,9083,27,95.0,84.2
107,94586,971,26,85.0,82.2
108,94566,33064,34,85.0,70.6
109,94588,18958,16,85.0,81.1
110,94550,59756,370,110.0,52.3
111,95497,529,11,,
112,95421,2494,330,,
113,95412,0,14,,
114,94924,1385,15,82.0,44.7
115,94937,1615,105,,
116,94956,937,3,,
117,94940,78,6,,
118,94933,767,1,88.0,
119,94946,718,49,80.0,47.9
120,94952,29889,231,,
121,95450,66,17,,
122,94923,1311,17,,
123,95465,2206,51,,
124,94922,92,7,,
125,95462,1863,14,,
126,95446,5147,27,,
127,95425,7636,130,,
128,94972,120,4,,
129,95472,27958,61,,
130,95436,7421,38,,
131,95444,285,0,,
132,94931,6909,5,,
133,95407,21856,22,,
134,94928,35723,6,,
135,95401,30687,22,,
136,95492,13537,17,,
