,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1394,1009 E Santa Inez Ave,San Mateo,CA,94401,1198000,2,1.0,990.0,4160.0,37.576572999999996,-122.323237
1395,2159 Shoreview Ave,San Mateo,CA,94401,1098000,3,2.0,1080.0,5502.0,37.566224,-122.29815900000001
1396,1772 Dale Ave,San Mateo,CA,94401,1099000,3,1.0,1000.0,5000.0,37.568013,-122.300504
1397,204 Ottawa St,San Mateo,CA,94401,1399000,5,2.0,2010.0,5401.0,37.579512,-122.31609099999999
1398,1318 Norton St,San Mateo,CA,94401,1049000,3,1.0,1000.0,6930.0,37.562529999999995,-122.304143
1399,120 Prague St,San Mateo,CA,94401,1188000,3,2.0,1594.0,5001.0,37.579046000000005,-122.31444199999999
1400,1101 Norton St,San Mateo,CA,94401,1250000,6,2.0,1990.0,5661.0,37.564341,-122.30541299999999
1401,128 Prague St,San Mateo,CA,94401,999000,2,1.0,1200.0,5001.0,37.579254,-122.31466699999999
1402,1115 E Poplar Ave,San Mateo,CA,94401,1199000,3,2.0,1370.0,,37.580006,-122.325204
1403,1412 Melbourne St,Foster City,CA,94404,1698000,3,3.0,1470.0,5210.0,37.538764,-122.26213999999999
1404,626 Plymouth Ln,Foster City,CA,94404,1989000,4,2.5,2200.0,3999.0,37.545052,-122.26782800000001
1405,320 Bramble Ct,Foster City,CA,94404,1988000,4,2.5,2670.0,6395.0,37.553798,-122.251818
1406,700 Crane Ave,Foster City,CA,94404,1798000,5,3.0,2267.0,7031.0,37.570147999999996,-122.26085800000001
1407,694 Port Dr,San Mateo,CA,94404,1998000,3,2.5,1800.0,2548.0,37.568805,-122.287559
1408,1199 Marlin Ave,Foster City,CA,94404,1825000,3,2.0,1890.0,5432.0,37.560083,-122.25358999999999
1409,1010 Pizarro Ln,Foster City,CA,94404,1888000,4,3.0,2370.0,5279.0,37.552935,-122.26776799999999
1410,857 Arcturus Cir,Foster City,CA,94404,1898888,3,2.5,1820.0,5227.0,37.546548,-122.276342
1411,616 Greenwich Ln,Foster City,CA,94404,2750000,4,3.5,2795.0,5929.0,37.543418,-122.266751
1412,604 Cornwallis Ln,Foster City,CA,94404,2199000,5,3.0,2250.0,5336.0,37.540243,-122.262267
1458,2620 Fordham St,East Palo Alto,CA,94303,828888,3,1.0,1010.0,5500.0,37.476613,-122.136936
1459,2278 Euclid Ave,East Palo Alto,CA,94303,1250000,3,2.0,1724.0,8000.0,37.468078000000006,-122.14253400000001
1460,2202 Capitol Ave,East Palo Alto,CA,94303,1098000,6,4.0,2350.0,6447.0,37.465728000000006,-122.140068
1461,7 Gardenia Ct,East Palo Alto,CA,94303,799000,3,1.0,1140.0,6325.0,37.457836,-122.126898
1462,2276 University Ave,East Palo Alto,CA,94303,1198000,2,2.0,1590.0,6251.0,37.467826,-122.14108999999999
1463,2284 Dumbarton Ave,East Palo Alto,CA,94303,899900,3,2.0,1380.0,5602.0,37.468208000000004,-122.145885
1464,2120 Addison Ave,East Palo Alto,CA,94303,889000,3,1.5,1070.0,5001.0,37.465641999999995,-122.14819399999999
1465,898 Bell St,East Palo Alto,CA,94303,1300000,3,2.0,1310.0,10018.8,37.465885,-122.135203
1466,1616 Michigan Ave,East Palo Alto,CA,94303,900000,3,1.0,1010.0,5001.0,37.473389000000005,-122.138878
1467,2274 University Ave,East Palo Alto,CA,94303,1198000,3,1.0,1260.0,9672.0,37.467672,-122.14105
1468,2272 University Ave,East Palo Alto,CA,94303,1198000,3,2.0,1430.0,7000.0,37.46752,-122.14108300000001
1469,2251 Poplar Ave,East Palo Alto,CA,94303,899000,2,1.0,1010.0,5000.0,37.468798,-122.149739
1470,1100 Garden St,East Palo Alto,CA,94303,996000,3,1.0,1050.0,3920.0,37.46676,-122.13006200000001
1471,2215 Menalto Ave,East Palo Alto,CA,94303,899999,2,1.0,810.0,6499.0,37.468247999999996,-122.15079399999999
1472,1532 Kavanaugh Dr,East Palo Alto,CA,94303,1047000,4,2.0,1150.0,5602.0,37.475262,-122.141604
1473,160 Gardenia Way,East Palo Alto,CA,94303,949000,3,1.0,1110.0,5188.0,37.458101,-122.12714199999999
1474,315 Larkspur Dr,East Palo Alto,CA,94303,759000,2,1.0,840.0,5149.0,37.459790000000005,-122.127094
1475,2845 Fordham St,East Palo Alto,CA,94303,999000,3,1.0,1030.0,5001.0,37.481305,-122.135272
1476,152 Verbena Dr,East Palo Alto,CA,94303,999000,3,1.0,1110.0,6534.0,37.45514,-122.128679
1477,2536 Hazelwood Way,East Palo Alto,CA,94303,1087000,3,2.0,1100.0,5898.0,37.473626,-122.14261200000001
1478,1015 Laurel Ave,East Palo Alto,CA,94303,1249700,5,3.0,1991.0,,37.4691,-122.152799
1479,1194 Saratoga Ave,East Palo Alto,CA,94303,960000,4,3.0,1020.0,5798.0,37.472041,-122.153704
