,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
58,363 Howth St,San Francisco,CA,94112,899000,3,1.0,1635.0,3049.0,37.718802000000004,-122.451898
59,27 Stoneybrook Ave,San Francisco,CA,94112,899000,3,1.0,1016.0,2178.0,37.730615,-122.421503
60,210 Faxon Ave,San Francisco,CA,94112,758000,2,1.0,852.0,1873.0,37.718466,-122.45996000000001
61,73 Danton St,San Francisco,CA,94112,765000,2,1.0,960.0,2614.0,37.731348,-122.43219199999999
62,33 Sadowa St,San Francisco,CA,94112,1900000,2,1.0,4955.0,6098.0,37.712073,-122.45533400000001
63,461 Capistrano Ave,San Francisco,CA,94112,1150000,3,2.0,1421.0,2614.0,37.724628,-122.438926
64,2691 Alemany Blvd,San Francisco,CA,94112,899000,2,1.0,1238.0,1742.0,37.713811,-122.44852900000001
65,105 Vienna St,San Francisco,CA,94112,705000,2,1.0,924.0,1742.0,37.726431,-122.42561599999999
66,147 Gladstone Dr,San Francisco,CA,94112,899000,2,2.0,,,37.729146,-122.42200700000001
67,531 Paris St,San Francisco,CA,94112,850000,6,5.0,1667.0,2500.0,37.720073,-122.435805
68,342 Lisbon St,San Francisco,CA,94112,1298000,3,3.0,2480.0,2614.0,37.722984999999994,-122.433203
69,226 Trumbull St,San Francisco,CA,94112,699000,2,1.0,1025.0,2614.0,37.730689,-122.42547900000001
70,130 Josiah Ave,San Francisco,CA,94112,848000,2,2.0,,2614.0,37.717562,-122.453906
71,349 Winding Way,San Francisco,CA,94112,1895000,4,5.0,3569.0,4356.0,37.709146000000004,-122.437661
72,342 Delano Ave,San Francisco,CA,94112,1150000,3,3.0,2224.0,3049.0,37.723853000000005,-122.443129
73,355 Granada Ave,San Francisco,CA,94112,1295000,3,2.0,,,37.724938,-122.457546
74,360 London St,San Francisco,CA,94112,1195000,3,2.5,1744.0,2614.0,37.723454,-122.435027
75,666 Geneva Ave,San Francisco,CA,94112,1350000,4,2.5,1522.0,1742.0,37.71915,-122.444324
76,546 Paris St,San Francisco,CA,94112,899000,2,1.0,1250.0,2614.0,37.720196,-122.436399
77,120 Brunswick St,San Francisco,CA,94112,899000,2,1.0,1182.0,2614.0,37.711785,-122.439549
78,300 College Ave,San Francisco,CA,94112,1885000,3,2.0,1950.0,3920.0,37.734367999999996,-122.424121
79,355 Ney St,San Francisco,CA,94112,749950,2,1.0,862.0,1742.0,37.730711,-122.423468
80,126 Ashton Ave,San Francisco,CA,94112,1065000,3,2.0,1721.0,2614.0,37.720546999999996,-122.461942
81,174 Majestic Ave,San Francisco,CA,94112,899000,3,2.0,1356.0,2614.0,37.715969,-122.45308999999999
82,39 Chicago Way,San Francisco,CA,94112,898888,2,1.0,990.0,3485.0,37.710198999999996,-122.42900800000001
83,242 Minerva St,San Francisco,CA,94112,1128000,4,4.0,,3049.0,37.716001,-122.460692
84,572 Cordova St,San Francisco,CA,94112,899000,2,1.0,1137.0,2614.0,37.708549,-122.43456299999998
85,2217 San Jose Ave,San Francisco,CA,94112,998000,2,1.5,900.0,2614.0,37.72124,-122.445784
86,28 Liebig St,San Francisco,CA,94112,1295000,8,3.0,2665.0,3920.0,37.708594,-122.455922
87,275 Santa Rosa Ave,San Francisco,CA,94112,1499126,5,2.0,1393.0,4356.0,37.728426,-122.4397
88,125 Margaret Ave,San Francisco,CA,94112,998000,4,2.0,1502.0,2614.0,37.716863000000004,-122.452751
89,218 Thrift St,San Francisco,CA,94112,949000,2,1.0,1150.0,3049.0,37.717711,-122.45984399999999
90,412 College Ave,San Francisco,CA,94112,1599000,3,2.0,1650.0,3920.0,37.733251,-122.42396200000002
91,212 Sagamore St,San Francisco,CA,94112,1095000,4,2.0,1501.0,3049.0,37.711693,-122.45943799999999
92,330 Edna St,San Francisco,CA,94112,1575000,5,2.0,2265.0,2614.0,37.72956,-122.446293
93,4277 23rd St,San Francisco,CA,94114,1595000,2,1.0,,2614.0,37.752414,-122.438024
94,4144 23rd St,San Francisco,CA,94114,1595000,2,1.5,1320.0,2848.0,37.753071999999996,-122.435327
95,740 Diamond St,San Francisco,CA,94114,1995000,3,1.5,,,37.751326,-122.43658899999998
96,446 Hill St,San Francisco,CA,94114,2895000,4,3.0,2137.0,3049.0,37.755736,-122.431124
97,3767 23rd St,San Francisco,CA,94114,2995000,4,3.0,2491.0,2178.0,37.753126,-122.42686599999999
98,1081 Church St,San Francisco,CA,94114,1995000,3,3.0,,1742.0,37.753633,-122.427351
99,52 Caselli Ave,San Francisco,CA,94114,1680000,3,1.0,1250.0,3023.0,37.759963,-122.440546
100,4406 24th St,San Francisco,CA,94114,1585000,2,1.0,1011.0,1742.0,37.751061,-122.44086599999999
101,42 Graystone Ter,San Francisco,CA,94114,2150000,3,2.5,2600.0,2614.0,37.75843,-122.44761899999999
102,51 Ord St,San Francisco,CA,94114,3600000,4,4.0,,1942.0,37.762993,-122.440018
103,617 Elizabeth St,San Francisco,CA,94114,1595000,3,1.5,1380.0,2614.0,37.751821,-122.43463700000001
104,4127 20th St,San Francisco,CA,94114,3495000,4,2.5,,3049.0,37.757534,-122.433159
105,4376 17th St,San Francisco,CA,94114,3295000,3,3.5,,2178.0,37.762245,-122.44261399999999
106,639 Grand View Ave,San Francisco,CA,94114,3395000,3,3.5,3660.0,3920.0,37.750073,-122.44234499999999
107,4310 23rd St,San Francisco,CA,94114,2795000,4,3.5,,,37.752843,-122.439144
108,258 Caselli Ave,San Francisco,CA,94114,2595000,5,3.5,2832.0,1742.0,37.759269,-122.44389299999999
109,24 Clarendon Ave,San Francisco,CA,94114,4400000,4,3.5,4437.0,4356.0,37.759132,-122.449312
110,4642 19th St,San Francisco,CA,94114,1985000,2,1.5,1800.0,2178.0,37.759175,-122.441529
111,564 Liberty St,San Francisco,CA,94114,2995000,4,3.0,2845.0,3049.0,37.75718,-122.433833
112,170 Palo Alto Ave,San Francisco,CA,94114,2914250,4,3.0,2683.0,6098.0,37.756996,-122.449991
113,52 Clarendon Ave,San Francisco,CA,94114,4295000,3,5.0,3730.0,2614.0,37.759048,-122.450222
114,571 Noe St,San Francisco,CA,94114,4200000,3,3.5,,2614.0,37.759912,-122.43236
115,4273 22nd St,San Francisco,CA,94114,1995000,3,2.0,1795.0,3049.0,37.753893,-122.44028600000001
116,52 Yukon St,San Francisco,CA,94114,2988000,5,3.5,2938.0,2287.0,37.758749,-122.44240500000001
117,140 Clarendon Ave,San Francisco,CA,94114,4995000,4,3.5,4350.0,6970.0,37.758589,-122.452371
118,688 Clipper St,San Francisco,CA,94114,2800000,4,3.5,2388.0,3523.0,37.74883,-122.43996200000001
119,2104 Divisadero St,San Francisco,CA,94115,3895000,4,3.0,2740.0,2178.0,37.789302,-122.440403
120,2787 Pine St,San Francisco,CA,94115,1650000,4,4.0,2244.0,2178.0,37.786721,-122.44156399999999
121,2440 Scott St,San Francisco,CA,94115,5995000,4,3.5,4392.0,2614.0,37.792403,-122.43936799999999
122,1960 Golden Gate Ave,San Francisco,CA,94115,2299000,3,3.0,,2614.0,37.778365,-122.44323700000001
123,145 Presidio Ave,San Francisco,CA,94115,7495000,4,4.5,4701.0,,37.790185,-122.447635
124,2148 Pine St,San Francisco,CA,94115,4200000,4,3.5,3539.0,3485.0,37.788548999999996,-122.431195
125,2115 Bush St,San Francisco,CA,94115,5250000,4,4.5,3500.0,4356.0,37.786868,-122.432399
126,2406 Bush St,San Francisco,CA,94115,3500000,3,3.0,2375.0,2614.0,37.786796,-122.43705700000001
127,1335 Divisadero St,San Francisco,CA,94115,2495000,4,2.5,2124.0,2614.0,37.781982,-122.43953
128,2094 Bush St,San Francisco,CA,94115,2790000,3,2.5,2346.0,2060.0,37.787465999999995,-122.431702
129,2814 Clay St,San Francisco,CA,94115,3995000,6,4.5,,3920.0,37.790254,-122.439923
130,464 Dewey Blvd,San Francisco,CA,94116,1199000,3,1.5,,,37.746411,-122.46075400000001
131,2662 46th Ave,San Francisco,CA,94116,1038000,2,2.0,900.0,3049.0,37.73689,-122.503949
132,2563 47th Ave,San Francisco,CA,94116,995000,2,1.0,878.0,3049.0,37.738682,-122.505806
133,2621 24th Ave,San Francisco,CA,94116,1149500,2,1.0,1160.0,3049.0,37.738588,-122.481081
134,1845 Pacheco St,San Francisco,CA,94116,1298888,3,2.0,1951.0,2060.0,37.750151,-122.480294
135,2111 21st Ave,San Francisco,CA,94116,1095000,2,1.5,1800.0,2178.0,37.748259999999995,-122.47848799999998
136,2631 Ulloa St,San Francisco,CA,94116,1498000,4,4.0,2087.0,1307.0,37.740636,-122.48476299999999
137,2127 42nd Ave,San Francisco,CA,94116,788000,2,1.0,1162.0,3049.0,37.746989,-122.50101699999999
138,3326 Vicente St,San Francisco,CA,94116,1095000,3,2.0,1549.0,2614.0,37.738368,-122.50276799999999
139,2783 41st Ave,San Francisco,CA,94116,995000,2,1.0,1012.0,1307.0,37.734884,-122.499072
140,2531 Pacheco St,San Francisco,CA,94116,925000,2,1.0,1175.0,2614.0,37.749765000000004,-122.48748700000002
141,2179 27th Ave,San Francisco,CA,94116,1350000,2,1.0,1400.0,3049.0,37.746809000000006,-122.48488300000001
142,2122 14th Ave,San Francisco,CA,94116,2498000,6,4.5,4144.0,,37.748482,-122.47026399999999
143,2210 45th Ave,San Francisco,CA,94116,898000,2,1.0,973.0,2178.0,37.745272,-122.503514
144,2005 21st Ave,San Francisco,CA,94116,1388000,3,3.0,1705.0,2178.0,37.75019,-122.478624
145,468 Dewey Blvd,San Francisco,CA,94116,1595000,3,1.5,1620.0,3920.0,37.746334999999995,-122.460852
146,2546 28th Ave,San Francisco,CA,94116,1595000,4,4.0,2190.0,3049.0,37.739881,-122.48481399999999
147,2195 42nd Ave,San Francisco,CA,94116,1249000,5,5.0,1687.0,1742.0,37.745827,-122.50085
148,2695 23rd Ave,San Francisco,CA,94116,1700000,4,3.0,1525.0,2614.0,37.737406,-122.479877
149,2828 Wawona St,San Francisco,CA,94116,1196000,3,2.0,1475.0,2500.0,37.736732,-122.497321
150,3015 Ulloa St,San Francisco,CA,94116,1389000,5,2.5,1881.0,3049.0,37.740353000000006,-122.48877399999999
151,2611 20th Ave,San Francisco,CA,94116,995000,2,1.0,1048.0,2178.0,37.738985,-122.476745
152,2775 40th Ave,San Francisco,CA,94116,1495000,4,3.0,1947.0,9148.0,37.735071999999995,-122.498125
153,1934 21st Ave,San Francisco,CA,94116,1919000,5,4.0,2084.0,3049.0,37.751589,-122.47810600000001
154,2059 47th Ave,San Francisco,CA,94116,1699000,6,3.0,3470.0,3049.0,37.748065999999994,-122.506468
155,2740 38th Ave,San Francisco,CA,94116,1798000,6,4.0,2990.0,3049.0,37.735739,-122.495276
156,2214 34th Ave,San Francisco,CA,94116,1549000,5,3.0,2575.0,2614.0,37.745734999999996,-122.49171000000001
157,2355 46th Ave,San Francisco,CA,94116,1288000,3,2.0,1550.0,3001.0,37.742591,-122.505008
158,2071 35th Ave,San Francisco,CA,94116,1289000,4,3.0,1766.0,3049.0,37.748428999999994,-122.493596
159,2066 23rd Ave,San Francisco,CA,94116,1235000,2,2.0,1350.0,3049.0,37.749095000000004,-122.48008300000001
160,2275 26th Ave,San Francisco,CA,94116,1595000,3,1.0,1600.0,3049.0,37.745059000000005,-122.48368500000001
161,866 Pacheco St,San Francisco,CA,94116,1698000,3,2.5,1864.0,3920.0,37.753955,-122.469449
162,2230 31st Ave,San Francisco,CA,94116,1385000,3,4.0,1455.0,3049.0,37.745606,-122.48843600000001
163,2180 Funston Ave,San Francisco,CA,94116,1889000,4,3.0,2600.0,3049.0,37.747501,-122.469123
164,2295 14th Ave,San Francisco,CA,94116,1740000,3,2.0,2048.0,2178.0,37.745288,-122.470651
165,2405 32nd Ave,San Francisco,CA,94116,2900000,5,5.0,3964.0,3049.0,37.742016,-122.489729
