id,name,host_name,neighbourhood,latitude,longitude,bedrooms,bathrooms,square_feet,property_type,room_type,guests_included,extra_people,minimum_nights,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,last_review,reviews_per_month,price,cleaning_fee,security_deposit,monthly_revenue
54518,Financial District Corporate Condo,Kathy,Financial District,37.7933,-122.40078999999999,1.0,1.5,,Condominium,Entire home/apt,1,10.0,30,5,14,269,18,90.0,2019-08-18,0.18,185.0,120.0,500.0,366.3
54634,Studio Apartment Lafayette Park,Jay,Pacific Heights,37.79166,-122.4265,1.0,1.0,,Apartment,Entire home/apt,2,20.0,30,0,0,255,40,94.0,2019-07-18,0.36,115.0,160.0,500.0,455.4
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",Paul & Debbie,Twin Peaks,37.74889,-122.44479,1.0,1.0,,Apartment,Entire home/apt,1,0.0,30,0,0,255,27,95.0,2019-04-21,0.25,116.0,200.0,3000.0,319.0
56621,Prime Location - Large Private Room,Jay,Pacific Heights,37.792159999999996,-122.42458,1.0,0.0,,Apartment,Private room,1,0.0,30,0,22,297,123,93.0,2019-08-24,1.13,55.0,70.0,0.0,683.65
56715,Downtown Rainbow,Megan,Downtown,37.78816,-122.41722,2.0,1.0,,Apartment,Entire home/apt,1,0.0,3,0,5,5,88,96.0,2019-09-01,0.81,187.0,0.0,0.0,1666.17
57561,"Bernal Heights Apartment, Patio + Parking",Theodore,Bernal Heights,37.7472,-122.41443000000001,1.0,1.0,700.0,Apartment,Entire home/apt,2,10.0,30,8,68,343,215,92.0,2019-08-31,1.98,175.0,0.0,0.0,3811.5
57676,"Bartlett Gardens: Spacious, bright!",Jessica And Sebouh,Mission District,37.75762,-122.41933,1.0,1.0,500.0,Apartment,Private room,1,25.0,30,29,78,78,122,94.0,2019-09-21,1.18,99.0,100.0,300.0,1285.0199999999998
59344,Private and Quiet Noe Valley Studio,John,Noe Valley,37.74565,-122.42863999999999,1.0,1.0,,Guest suite,Entire home/apt,2,0.0,2,1,8,121,336,98.0,2019-10-08,3.12,135.0,75.0,100.0,4633.2
59381,Ultra Panoramic View Contemporary,Bill,Russian Hill,37.8031,-122.41596000000001,1.0,2.0,,Condominium,Private room,1,50.0,2,12,47,47,243,96.0,2019-10-11,2.37,109.0,40.0,0.0,2841.63
59702,Garden Cottage Charming!,Toby,Bernal Heights,37.742090000000005,-122.41408999999999,1.0,1.0,,Cottage,Private room,2,30.0,30,28,88,363,192,98.0,2019-07-20,1.9,150.0,120.0,0.0,3135.0
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,Emilie,Lower Haight,37.769659999999995,-122.43496,3.0,2.0,,House,Entire home/apt,5,30.0,4,5,20,163,201,97.0,2019-09-27,1.87,475.0,185.0,800.0,9770.75
62651,GORGEOUS SAN FRANCISCO HOME,Agnieszka,Mission District,37.76245,-122.42432,3.0,2.5,,House,Entire home/apt,1,0.0,3,29,85,357,55,96.0,2019-09-28,0.55,950.0,150.0,2000.0,5747.500000000001
63247,Lovely open plan en-suite bed/bath,Anne,Mission District,37.74926,-122.41398000000001,1.0,1.0,,Guest suite,Entire home/apt,1,0.0,2,9,65,340,365,94.0,2019-10-02,3.4,166.0,65.0,145.0,6208.4
64165,Great room in a fantastic location!,Regina,Marina,37.80317,-122.42873999999999,1.0,2.0,,Apartment,Private room,1,40.0,30,11,71,346,67,99.0,2019-08-12,0.67,90.0,75.0,350.0,663.3
68239,Beautiful 1bdr apt by Dolores Park in Mission,Philipp,Noe Valley,37.754259999999995,-122.42387,1.0,1.0,,Apartment,Entire home/apt,2,50.0,30,0,54,329,36,99.0,2019-08-30,0.35,326.0,180.0,350.0,1255.1
69553,MISSION Outr BedRmU3+MinFridge,Maria,Excelsior,37.73128,-122.42478,1.0,1.0,,House,Private room,1,25.0,30,12,69,344,27,82.0,2019-08-12,0.26,37.0,35.0,150.0,105.82000000000001
70284,Monthly Shared Home for Students 1,Darren & Friends,Chinatown,37.79364,-122.40635,1.0,2.5,,House,Shared room,1,0.0,30,0,0,255,15,93.0,2019-09-17,0.15,30.0,0.0,300.0,49.5
70753,Dorm Bed In Friendly Hostel Community #1,Darren & Friends,Financial District,37.794470000000004,-122.4045,1.0,3.0,,Hostel,Shared room,1,45.0,1,12,63,63,388,92.0,2019-10-08,3.66,45.0,0.0,0.0,1811.7000000000003
