,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1,"
                  817 Sonoma Blvd,
                  ",Vallejo,CA,94590,"$385,000",3,1,"1,439","5,998",38.089373,-122.245357
2,"
                  28 Greenfield Ave,
                  ",Vallejo,CA,94590,"$475,000",3,2,"1,684","8,712",38.11913,-122.237688
3,"
                  427 Grant St,
                  ",Vallejo,CA,94590,"$299,000",2,1,720,"5,001",38.090223,-122.244717
4,"
                  42 Winslow Ave,
                  ",Vallejo,CA,94590,"$795,000",3,2,"2,348",0.67,38.122247,-122.246072
5,"
                  174 Baxter St,
                  ",Vallejo,CA,94590,"$482,475",3,3,"1,682","5,001",38.116087,-122.265706
6,"
                  110 Juanita Ct,
                  ",Vallejo,CA,94590,"$449,000",3,2,"1,510",0.26,38.121129,-122.243969
7,"
                  624 Valle Vista Ave,
                  ",Vallejo,CA,94590,"$485,000",2,1,"1,205","6,534",38.119609,-122.239
8,"
                  1135 Capitol St,
                  ",Vallejo,CA,94590,"$298,000",3,2,"1,424","3,485",38.102661,-122.245274
9,"
                  404 Nevada St,
                  ",Vallejo,CA,94590,"$415,000",3,1,"1,292","6,098",38.118061,-122.24601
10,"
                  1132 Nebraska St,
                  ",Vallejo,CA,94590,"$625,000",4,3,"2,528",0.31,38.113836,-122.239809
11,"
                  112 Greenfield Ave,
                  ",Vallejo,CA,94590,"$399,000",3,2,"1,796","5,663",38.120166,-122.236091
12,"
                  1071 Cunningham St,
                  ",Vallejo,CA,94590,"$469,000",4,2.5,"2,182","2,932",38.123879,-122.270502
13,"
                  939 Nebraska St,
                  ",Vallejo,CA,94590,"$649,000",4,3,"2,800","6,970",38.113287,-122.241663
14,,Vallejo,CA,94590,"$425,000",3,1,"1,095","6,534",38.112246,-122.233958
15,"
                  15 El Camino Real,
                  ",Vallejo,CA,94590,"$520,000",3,2.5,"1,593","6,534",38.115555,-122.242233
16,"
                  112 LA Cresenda St,
                  ",Vallejo,CA,94590,"$649,000",4,3.5,"1,965","8,712",38.118596,-122.239468
17,"
                  539 Illinois St,
                  ",Vallejo,CA,94590,"$375,000",3,2,"1,618","4,478",38.111763,-122.249802
18,"
                  109 Daniels Ave,
                  ",Vallejo,CA,94590,"$450,000",3,1,"1,136","3,960",38.119178,-122.270875
19,"
                  257 Thomas Ave,
                  ",Vallejo,CA,94590,"$300,000",2,1.5,"1,384","7,405",38.094849,-122.236098
20,"
                  905 Ohio St,
                  ",Vallejo,CA,94590,"$659,000",4,3,"2,713","6,098",38.106706,-122.251292
21,"
                  1264 Nebraska St,
                  ",Vallejo,CA,94590,"$549,000",3,3,"1,820","4,792",38.113488,-122.23499
22,"
                  1225 Ohio St,
                  ",Vallejo,CA,94590,"$629,800",5,3,"3,118","7,771",38.106673,-122.245628
23,"
                  120 Louise Ct,
                  ",Vallejo,CA,94590,"$465,000",4,2,"1,750",0.26,38.120499,-122.245798
