,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1,"
                  370 Golden Oak Dr,
                  ",Portola Valley,CA,94028,"$3,599,000",3,2,"2,270",1.06,37.385861,-122.19971
2,"
                  1061 Los Trancos Rd,
                  ",Portola Valley,CA,94028,"$899,000",2,1,780,0.34,37.349838,-122.198658
3,"
                  880 Westridge Dr,
                  ",Portola Valley,CA,94028,"$13,750,000",5,5,"6,610",9.77,37.394975,-122.21552
4,"
                  80 Golden Oak Dr,
                  ",Portola Valley,CA,94028,"$8,880,000",5,5.5,"4,368",1.49,37.378606,-122.2012
5,"
                  210 Escobar Rd,
                  ",Portola Valley,CA,94028,"$3,375,000",3,2.5,"2,785",2.6,37.398999,-122.208633
6,"
                  4 Russell Ave,
                  ",Portola Valley,CA,94028,"$1,499,500",3,1,"1,290","7,802",37.384216,-122.237333
7,"
                  1019 Los Trancos Rd,
                  ",Portola Valley,CA,94028,"$1,595,000",3,1.5,"1,180","9,361",37.350174,-122.197759
8,"
                  116 Russell Ave,
                  ",Portola Valley,CA,94028,"$1,895,000",3,2,"1,821","5,998",37.384055,-122.240219
9,"
                  190 Vista Verde Way,
                  ",Portola Valley,CA,94028,"$3,850,000",5,6,"4,400",1.01,37.342457,-122.195174
10,"
                  260 S Castanya Way,
                  ",Portola Valley,CA,94028,"$2,525,000",3,2,"1,652","8,799",37.397758,-122.195078
11,"
                  228 Canyon Dr,
                  ",Portola Valley,CA,94028,"$1,999,000",3,2,"1,410",0.23,37.371186,-122.212051
12,"
                  167 Ramoso Rd,
                  ",Portola Valley,CA,94028,"$5,495,000",6,5,"3,780",2.54,37.393621,-122.224673
13,"
                  131 Gabarda Way,
                  ",Portola Valley,CA,94028,"$2,495,000",3,2,"1,740","8,198",37.399129,-122.196292
14,"
                  805 LA Mesa Dr,
                  ",Portola Valley,CA,94028,"$2,995,000",3,2.5,"2,490",0.31,37.396654,-122.204324
15,"
                  23 Valley Oak St,
                  ",Portola Valley,CA,94028,"$3,995,000",4,3.5,"4,250",0.63,37.367652,-122.202461
16,"
                  9 Valley Oak St,
                  ",Portola Valley,CA,94028,"$3,295,000",5,3,"3,120",0.46,37.362695,-122.206406
17,"
                  180 Cherokee Way,
                  ",Portola Valley,CA,94028,"$3,995,000",3,5,"3,490",1.12,37.380423,-122.211609
18,"
                  100 Alamos Rd,
                  ",Portola Valley,CA,94028,"$4,900,000",3,2,"3,600",2.5,37.391976,-122.195728
19,"
                  2 Portola Green Cir,
                  ",Portola Valley,CA,94028,"$2,795,000",4,2,"2,330",0.23,37.373284,-122.213472
20,"
                  1236 Los Trancos Rd,
                  ",Portola Valley,CA,94028,"$4,495,000",5,3.5,"3,394",0.34,37.346393,-122.198331
1,"
                  190 Almendral Ave,
                  ",Atherton,CA,94027,"$22,500,000",6,7.5+,"11,160",1.0,37.453006,-122.214224
2,"
                  1 Heritage Ct,
                  ",Atherton,CA,94027,"$4,799,888",5,5.5+,"4,293",0.49,37.469346,-122.192484
3,"
                  302 Stevick Dr,
                  ",Atherton,CA,94027,"$5,500,000",3,2.5,"2,320",1.0,37.441265,-122.220404
4,"
                  87 Patricia Dr,
                  ",Atherton,CA,94027,"$19,500,000",5,6.5,"6,535",1.15,37.461174,-122.212866
5,"
                  490 Walsh Rd,
                  ",Atherton,CA,94027,"$7,999,000",5,4.5,"4,478",2.0,37.425448,-122.226056
6,"
                  1 Holbrook Ln,
                  ",Atherton,CA,94027,"$5,500,000",6,5,"4,235",0.3,37.46971,-122.193321
7,"
                  69 Tuscaloosa Ave,
                  ",Atherton,CA,94027,"$26,000,000",5,8.5+,"11,155",1.71,37.458682,-122.204894
8,"
                  24 Adam Way,
                  ",Atherton,CA,94027,"$15,900,000",6,6.5+,"13,480",1.02,,
9,"
                  118 Selby Ln,
                  ",Atherton,CA,94027,"$14,999,000",6,7.5,"15,600",1.23,37.461718,-122.218245
10,"
                  226 Park Ln,
                  ",Atherton,CA,94027,"$16,988,000",3,3.5,"3,520",1.43,37.446345,-122.202458
11,"
                  49 Fairview Ave,
                  ",Atherton,CA,94027,"$16,488,000",6,8.5,"11,250",1.05,37.4416,-122.212619
12,"
                  236 Camino Al Lago,
                  ",Atherton,CA,94027,"$15,995,000",6,5,"4,910",2.0,37.442656,-122.206575
13,"
                  96 Heather Dr,
                  ",Atherton,CA,94027,"$13,880,000",8,8.5+,"14,704",0.98,37.467612,-122.187897
14,"
                  74 Atherton Ave,
                  ",Atherton,CA,94027,"$12,900,000",4,5.5,"6,296",1.5,37.45769,-122.204039
15,"
                  1175 Osborn Ave,
                  ",Atherton,CA,94027,"$2,149,888",3,3,"1,705","7,819",37.454262,-122.218999
16,"
                  95 Tallwood Ct,
                  ",Atherton,CA,94027,"$6,588,000",3,3.5,"2,660",1.76,37.433148,-122.214499
17,"
                  48 Watkins Ave,
                  ",Atherton,CA,94027,"$2,488,000",3,2,"1,842","6,551",37.460703,-122.194582
18,"
                  10 DE Bell Dr,
                  ",Atherton,CA,94027,"$5,500,000",5,5.5,"3,760",1.29,37.462651,-122.178295
19,"
                  3 Irving Ave,
                  ",Atherton,CA,94027,"$4,595,000",4,3,"3,210",0.92,37.468555,-122.190937
20,"
                  59 Almendral Ave,
                  ",Atherton,CA,94027,"$8,500,000",5,4,"3,790",1.06,37.460408,-122.206489
21,"
                  46 Lilac Dr,
                  ",Atherton,CA,94027,"$6,695,000",3,2,"2,680",0.96,37.474366,-122.181676
22,"
                  2 Fredrick Ave,
                  ",Atherton,CA,94027,"$7,295,000",5,3.5,"4,010",0.89,37.472005,-122.17206
23,"
                  1 Queens Ct,
                  ",Atherton,CA,94027,"$8,100,000",4,4.5,"3,600",1.02,37.445368,-122.217639
24,"
                  3 Shearer Dr,
                  ",Atherton,CA,94027,"$12,280,000",6,8.5,"8,600",0.66,37.466155,-122.212112
25,"
                  24 Stockbridge Ave,
                  ",Atherton,CA,94027,"$11,888,000",6,6.5,"8,299",0.66,37.464752,-122.209185
26,"
                  333 Fletcher Dr,
                  ",Atherton,CA,94027,"$9,380,000",4,5.5,"6,531",1.01,37.439668,-122.223226
27,"
                  98 Monte Vista Ave,
                  ",Atherton,CA,94027,"$8,250,000",3,2,"1,815",1.13,37.442484,-122.207656
28,"
                  76 Fairview Ave,
                  ",Atherton,CA,94027,"$11,380,000",5,4.5+,"7,109",0.91,37.439962,-122.21215
29,"
                  129 Karen Way,
                  ",Atherton,CA,94027,"$6,925,000",3,3.5+,"4,799",1.2,37.441857,-122.219771
30,"
                  385 Fletcher Dr,
                  ",Atherton,CA,94027,"$14,900,000",6,7.5+,"9,742",0.89,37.438475,-122.224324
1,"
                  412 Juanita Ave,
                  ",Millbrae,CA,94030,"$1,895,000",3,2,"1,250",0.28,37.610712,-122.410566
2,"
                  14 Cypress Ct,
                  ",Millbrae,CA,94030,"$1,498,000",3,2,"1,710","5,850",37.606228,-122.403165
3,"
                  15 Evergreen Ct,
                  ",Millbrae,CA,94030,"$1,688,000",3,2,"1,970","6,020",37.599643,-122.414054
4,"
                  870 Robin Ln,
                  ",Millbrae,CA,94030,"$1,598,000",4,2,"1,890","5,131",37.606071,-122.421031
5,"
                  1330 Millbrae Ave,
                  ",Millbrae,CA,94030,"$2,448,000",3,2.5,"2,910",0.46,37.588214,-122.407407
6,"
                  835 Murchison Dr,
                  ",Millbrae,CA,94030,"$2,799,000",4,3.5,"3,100","8,738",37.591311,-122.392591
7,"
                  1160 Millbrae Ave,
                  ",Millbrae,CA,94030,"$1,988,888",3,2.5,"2,510","8,999",37.592607,-122.401928
8,"
                  526 Anita Ln,
                  ",Millbrae,CA,94030,"$2,100,000",5,5.5,"2,030","5,667",37.599511,-122.406852
9,"
                  33 Estates Dr,
                  ",Millbrae,CA,94030,"$2,599,000",4,3,"2,418","7,928",37.595231,-122.415071
10,"
                  890 Crestview Dr,
                  ",Millbrae,CA,94030,"$1,768,000",4,2,"1,851","8,712",37.596125,-122.416383
11,"
                  1132 Millbrae Ave,
                  ",Millbrae,CA,94030,"$2,798,000",5,3.5,"3,900","7,405",37.593066,-122.400319
12,"
                  841 Clearfield Dr,
                  ",Millbrae,CA,94030,"$2,799,000",4,4,"3,157","7,405",37.596347,-122.409927
13,"
                  120 Del Centro St,
                  ",Millbrae,CA,94030,"$1,888,888",4,3,"2,510","5,663",37.590664,-122.410802
14,"
                  881 Morningside Dr,
                  ",Millbrae,CA,94030,"$1,848,888",4,3,"2,710","5,998",37.598222,-122.410147
15,"
                  1116 Elmwood Dr,
                  ",Millbrae,CA,94030,"$1,728,000",4,3,"1,975","5,323",37.604275,-122.417485
16,"
                  44 Camino Alto,
                  ",Millbrae,CA,94030,"$1,630,000",3,2,"1,970","5,998",37.597055,-122.403827
17,"
                  610 Hillcrest Blvd,
                  ",Millbrae,CA,94030,"$1,699,000",2,2,"2,050","5,663",37.597267,-122.397027
18,"
                  95 Colorados Dr,
                  ",Millbrae,CA,94030,"$1,698,000",3,2.5,"1,840","7,148",37.593637,-122.408674
19,"
                  898 Hillcrest Blvd,
                  ",Millbrae,CA,94030,"$2,150,000",4,2.5,"2,267","5,153",37.594838,-122.399681
20,"
                  721 Taylor Blvd,
                  ",Millbrae,CA,94030,"$1,988,000",3,2,"2,173","5,685",37.597479,-122.398662
21,"
                  1179 Ridgewood Dr,
                  ",Millbrae,CA,94030,"$1,588,000",3,2,"1,500","5,641",37.60619,-122.417931
1,"
                  996 Argenta Ct,
                  ",Pacheco,CA,94553,"$500,000",4,2,"1,296",0.23,37.988615,-122.073414
2,"
                  2030 Radcliffe Ct,
                  ",Martinez,CA,94553,"$659,900",3,2,"1,404","1,404",37.985696,-122.0965
3,"
                  633 Hidden Lakes Dr,
                  ",Martinez,CA,94553,"$825,000",4,2.5,"2,062","5,978",37.980411,-122.081481
4,"
                  1216 Bear Creek Rd,
                  ",Martinez,CA,94553,"$1,595,000",5,3,"3,097",5.0,37.948556,-122.189692
