,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
8,"
                  1175 McKendrie St,
                  ",San Jose,CA,95126,"$1,779,000",4,3,"2,235","7,254",37.341122,-121.925417
9,"
                  1429 Yosemite Ave,
                  ",San Jose,CA,95126,"$1,230,000",3,2,"1,773","5,210",37.326547,-121.915945
10,"
                  982 Morse St,
                  ",San Jose,CA,95126,"$1,625,000",4,3,"1,912","6,186",37.341287,-121.926168
11,"
                  1324 Davis St,
                  ",San Jose,CA,95126,"$1,050,000",2,2,"1,243","4,321",37.339604,-121.92884
12,"
                  677 Elm St,
                  ",San Jose,CA,95126,"$1,180,000",2,1,757,"3,986",37.338297,-121.915719
13,"
                  1144 Hester Ave,
                  ",San Jose,CA,95126,"$1,248,888",3,2.5,"1,496","7,706",37.332765,-121.915121
14,"
                  1580 Willowhaven Ct,
                  ",San Jose,CA,95126,"$899,950",2,2,"1,080","3,411",37.305892,-121.918501
15,"
                  1830 Heatherdale Ave,
                  ",San Jose,CA,95126,"$1,798,000",4,3,"2,602","9,008",37.337151,-121.935492
16,"
                  870 W Taylor St,
                  ",San Jose,CA,95126,"$975,000",2,1,924,"7,758",37.338891,-121.915153
17,"
                  1384 Hester Ave,
                  ",San Jose,CA,95126,"$1,198,000",3,2,"1,440","4,099",37.330011,-121.918806
18,"
                  1081 Morse St,
                  ",San Jose,CA,95126,"$1,728,000",4,3,"2,002","5,811",37.341446,-121.928992
19,"
                  1241 University Ave,
                  ",San Jose,CA,95126,"$2,398,000",5,3.5,"4,198",0.25,37.338321,-121.924586
20,"
                  61 N Willard Ave,
                  ",San Jose,CA,95126,"$899,000",2,1,"1,048","5,798",37.324482,-121.917746
21,"
                  1893 Park Ave,
                  ",San Jose,CA,95126,"$1,588,000",3,2.5,"2,127","4,138",37.336742,-121.927742
22,"
                  1573 Naglee Ave,
                  ",San Jose,CA,95126,"$2,149,888",5,5.5,"2,921","7,336",37.332379,-121.926702
1,"
                  1905 Sauvignon Dr,
                  ",Modesto,CA,95351,"$330,000",3,2.5,"1,642",0.23,37.614963,-120.960981
2,"
                  1228 Houser Ln,
                  ",Modesto,CA,95351,"$575,000",3,2,"2,100",1.11,37.627179,-121.026215
3,"
                  2721 Riverbend Dr,
                  ",Modesto,CA,95351,"$325,000",4,2,"1,514","6,534",37.615838,-120.943985
4,"
                  1404 Payne Ave,
                  ",Modesto,CA,95351,"$599,000",6,3,"3,938",0.65,37.60997,-120.954206
5,"
                  1405 Nadine Ave,
                  ",Modesto,CA,95351,"$205,800",3,2,"1,199","5,750",37.613252,-120.972683
6,"
                  1007 S Madison St,
                  ",Modesto,CA,95351,"$264,990",3,2,"1,925","6,534",37.629158,-121.010751
