listing_id,date
796558,2017-11-01
796558,2017-11-08
796558,2017-11-09
796558,2017-11-15
796558,2017-11-16
796558,2017-12-22
796558,2018-01-02
796558,2018-01-08
796558,2018-01-21
796558,2018-01-25
796558,2018-02-09
796558,2018-03-15
796558,2018-03-17
796558,2018-03-21
796558,2018-03-23
796558,2018-04-01
796558,2018-04-06
796558,2018-04-12
796558,2018-04-19
796558,2018-04-29
796558,2018-05-03
796558,2018-05-07
796558,2018-05-08
796558,2018-05-18
796558,2018-06-20
796558,2018-06-28
796558,2018-07-13
796558,2018-07-15
796558,2018-07-31
796558,2018-08-05
796558,2018-08-11
796558,2018-08-13
796558,2018-08-14
796558,2018-08-15
796558,2018-08-16
796558,2018-08-22
796558,2018-08-26
796558,2018-09-02
796558,2018-09-07
796558,2018-09-08
796558,2018-09-18
796558,2018-09-21
796558,2018-09-26
796558,2018-09-28
796558,2018-10-07
796558,2018-10-11
796558,2018-10-14
796558,2018-10-18
796558,2018-10-22
796558,2018-10-26
796558,2018-11-09
796558,2018-11-12
796558,2018-11-15
796558,2018-12-02
796558,2018-12-15
796558,2018-12-22
796558,2019-01-07
796558,2019-01-11
796558,2019-01-17
796558,2019-01-26
796558,2019-02-15
796558,2019-02-16
796558,2019-02-17
796558,2019-03-02
796558,2019-03-07
796558,2019-03-12
796558,2019-03-17
796558,2019-03-23
796558,2019-03-25
796558,2019-04-19
796558,2019-05-08
796558,2019-05-11
796558,2019-05-19
796558,2019-05-21
796558,2019-05-22
796558,2019-05-23
796558,2019-05-27
796558,2019-06-01
1126135,2013-07-29
1126135,2013-08-02
1126135,2013-08-25
1126135,2013-10-26
1126135,2013-12-21
1126135,2014-07-05
1126135,2015-03-06
1126135,2015-03-14
1126135,2015-03-28
1126135,2015-05-17
1126135,2015-05-23
1126135,2015-06-01
1126135,2015-08-08
1126135,2015-08-18
1126135,2015-12-08
1126135,2016-07-03
1126135,2016-07-30
1126135,2016-09-19
1126135,2016-11-19
1126135,2017-03-01
1126135,2017-03-20
1126135,2017-06-24
1126135,2017-08-31
1126135,2018-11-04
1126135,2019-01-18
1126135,2019-03-21
1157718,2013-08-13
1157718,2013-11-20
1157718,2014-05-22
1157718,2015-02-02
1157718,2015-02-10
1157718,2015-02-26
1157718,2015-03-06
1157718,2015-04-15
1157718,2015-05-01
1157718,2015-05-07
1157718,2015-08-20
1157718,2015-12-19
1157718,2016-05-06
1157718,2016-06-01
1157718,2016-06-20
1157718,2016-06-28
1157718,2016-07-21
1157718,2016-07-26
1157718,2016-07-31
1157718,2016-08-04
1157718,2016-09-10
1157718,2016-11-19
1157718,2017-03-01
1157718,2017-04-02
1157718,2017-05-20
1157718,2017-06-04
1157718,2017-07-29
1157718,2017-08-04
1157718,2017-11-09
1157718,2018-01-14
1157718,2018-01-17
1157718,2018-05-15
1157718,2018-05-22
1157718,2018-08-25
1157718,2018-10-10
1157718,2019-02-21
1334378,2013-07-12
1334378,2013-07-16
1334378,2013-07-25
1334378,2013-08-24
1334378,2013-09-13
1334378,2013-11-02
1334378,2014-03-07
1334378,2014-05-01
1334378,2014-06-17
1334378,2014-07-23
1334378,2014-08-03
1334378,2014-08-10
1334378,2014-08-18
1334378,2014-09-15
1334378,2014-10-05
1334378,2014-10-19
1334378,2014-10-31
1334378,2014-11-28
1334378,2015-03-24
1334378,2015-04-02
1334378,2015-04-26
1334378,2015-05-07
1334378,2015-05-17
1334378,2015-08-31
1334378,2016-02-24
1334378,2016-05-02
1334378,2016-07-21
1334378,2016-10-02
1334378,2017-02-24
1334378,2017-04-01
1334378,2017-04-26
1334378,2017-07-11
1334378,2017-09-02
1334378,2017-09-13
1334378,2017-09-19
1334378,2018-01-01
1334378,2018-02-14
1334378,2018-02-22
1334378,2018-02-28
1334378,2018-03-07
1334378,2018-03-11
1334378,2018-03-13
1334378,2018-03-24
1334378,2018-06-28
1334378,2018-09-14
1334378,2018-09-19
1334378,2018-11-01
1334378,2018-11-09
1602634,2013-09-07
1602634,2014-05-16
1602634,2014-05-22
1602634,2014-05-29
1602634,2014-06-28
1602634,2014-07-11
1602634,2014-07-29
1602634,2014-08-16
1602634,2014-08-26
1602634,2014-09-30
1602634,2014-10-18
1602634,2014-11-04
1602634,2014-11-20
1602634,2014-11-27
1602634,2015-03-16
1602634,2015-06-08
1602634,2015-06-30
1602634,2015-08-30
1602634,2015-09-22
1602634,2016-05-31
1602634,2016-06-08
1602634,2016-07-10
1602634,2016-07-19
1602634,2016-08-25
1602634,2016-09-15
1602634,2017-02-28
1602634,2017-08-28
1602634,2017-10-08
1602634,2018-03-24
1602634,2018-10-16
1602634,2019-01-07
1602634,2019-03-24
1602655,2013-09-05
1602655,2014-06-13
1602655,2014-08-19
1602655,2014-08-24
1602655,2014-12-21
1602655,2015-01-26
1602655,2015-04-04
1602655,2015-04-30
1602655,2015-10-18
1602655,2015-10-28
1602655,2016-01-31
1602655,2016-09-06
1602655,2016-10-09
1602655,2017-03-31
1602655,2017-09-29
1602655,2018-07-27
1602655,2018-11-07
1602655,2018-12-31
1602655,2019-04-23
