Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1003 Ocean View Ave,Daly City,CA,94014,1089000,3,2.5,2304,1647,37.702138,-122.459186
410 Ford St,Daly City,CA,94014,1188000,3,3,1770,2500,37.693655,-122.458581
267 Abbot Ave,Daly City,CA,94014,799888,2,1,1030,8002,37.694966,-122.460759
Nouveau,Daly City,CA,94014,1496995,4,3.5,2853,,37.700511,-122.413499
516 Southhill Blvd,Daly City,CA,94014,899000,3,2,1190,4591,37.705111,-122.439669
116 Woodrow St,Daly City,CA,94014,575000,2,1,770,3049,37.702763,-122.467878
2 Rosebud Ct,Daly City,CA,94014,1075000,3,3,1573,1307,37.686842,-122.462254
357 Winchester St,Daly City,CA,94014,775000,3,2,1795,2614,37.705638,-122.454465
262 Alta Vista Way,Daly City,CA,94014,949000,4,3,,5227,37.704323,-122.440502
41 Frankfort St,Daly City,CA,94014,799000,3,2,1390,2178,37.706855,-122.442132
271 Irvington St,Daly City,CA,94014,885000,4,2,1060,2500,37.706816,-122.455574
67 Royce Way,Daly City,CA,94014,1049000,3,2,1190,2300,37.691921,-122.454471
169 Parkview Ave,Daly City,CA,94014,1100000,3,2,2045,2614,37.70106,-122.465611
333 Peoria St,Daly City,CA,94014,699000,4,1,1130,4792,37.703009,-122.457669
143 Hillcrest Dr,Daly City,CA,94014,998000,5,3,1610,2500,37.706198,-122.465006
995 Ocean View Ave,Daly City,CA,94014,1349000,3,2.5,2265,1721,37.701838,-122.459199
35-39 Mission Cir,Daly City,CA,94014,1100000,3,2,1922,2675,37.706438,-122.462072
339 Frankfort St,Daly City,CA,94014,1150000,5,3,1990,3001,37.704563,-122.448722
1 Martin,Daly City,CA,94014,1521995,5,4.5,2914,2448,37.700645,-122.413588
Ascend,Daly City,CA,94014,1519995,4,3.5,3028,,37.700511,-122.413499
149 Abbot Ave,Daly City,CA,94014,845000,3,2,1160,2614,37.696804,-122.460812
225 Baltimore Way,Daly City,CA,94014,928000,2,1,1320,3485,37.707794,-122.434992
308 2nd Ave,Daly City,CA,94014,950000,3,2,1550,2178,37.687614,-122.463408
280 E Market St,Daly City,CA,94014,1000000,3,3,1300,1742,37.689529,-122.462458
1004 Ocean View Ave,Daly City,CA,94014,1264039,4,3.5,2209,1400,37.702278,-122.459486
1 Martin St,Daly City,CA,94014,1521995,5,4.5,2917,2450,37.700645,-122.413588
27 Westline Dr,Daly City,CA,94015,1095000,4,2,2250,3302,37.665708,-122.491148
54 Pinehaven Dr,Daly City,CA,94015,998888,3,1.5,1330,3798,37.694335,-122.489783
263 St Catherine Dr,Daly City,CA,94015,1088000,3,2.5,1720,3485,37.677777,-122.481378
141 Ashland Dr,Daly City,CA,94015,988000,3,1,1300,3202,37.697797,-122.491506
103 Village Ln,Daly City,CA,94015,1050000,2,1,1440,4792,37.693917,-122.474867
142 Belcrest Ave,Daly City,CA,94015,698000,3,1,107,3300,37.664659,-122.490835
144 Westmoor Ave,Daly City,CA,94015,979888,3,2,1410,3485,37.683469,-122.485283
119 Lycett Cir,Daly City,CA,94015,999888,4,3,1760,3920,37.655603,-122.465311
575 Verducci Dr,Daly City,CA,94015,995000,4,3,1790,3049,37.650607,-122.462161
144 Mirada Dr,Daly City,CA,94015,1390000,5,4,1995,3485,37.683174,-122.476037
1039 87th St,Daly City,CA,94015,998000,4,1,1620,3402,37.692624,-122.489984
19 Fairmont Dr,Daly City,CA,94015,988888,3,2,1430,3402,37.700386,-122.492919
824 Ellis Dr,Daly City,CA,94015,849000,2,1,910,5227,37.695659,-122.485014
98 Huntington Dr,Daly City,CA,94015,990000,3,2,1160,3485,37.68119,-122.485308
264 San Fernando Way,Daly City,CA,94015,980000,6,4,2170,3485,37.680877,-122.477281
63 Montebello Dr,Daly City,CA,94015,948888,3,1,1060,3960,37.665504,-122.488172
227 Del Prado Dr,Daly City,CA,94015,999000,4,3,1640,3485,37.6789,-122.47962
78 Norwood Ave,Daly City,CA,94015,989000,4,1,1030,4487,37.657944,-122.464641
620 Larchmont Dr,Daly City,CA,94015,1198000,4,2,1454,7261,37.68751,-122.483151
60 Westdale Ave,Daly City,CA,94015,895000,2,1,1220,3485,37.706551,-122.478206
35 Wembley Dr,Daly City,CA,94015,923000,3,2,1330,3485,37.662346,-122.470023
196 Castillejo Dr,Daly City,CA,94015,1150000,4,3,1520,3428,37.669478,-122.481289
1096 S Mayfair Ave,Daly City,CA,94015,1088000,4,2,1611,3485,37.692919,-122.493928
80 Beachside Ct,Daly City,CA,94015,1095000,3,2,1250,3920,37.662663,-122.490612
265 Westridge Ave,Daly City,CA,94015,1160000,5,3,1650,3485,37.689245,-122.494006
32 Fairlawn Ct,Daly City,CA,94015,1095000,4,3,1619,3485,37.696408,-122.485985
50 Parkwood Dr,Daly City,CA,94015,1250000,3,3,2010,3498,37.701005,-122.479466
47 Fairmont Dr,Daly City,CA,94015,1188000,3,2,1910,3485,37.700999,-122.493205
1321 S Mayfair Ave,Daly City,CA,94015,1180000,4,2,1759,3485,37.688107,-122.488881
82 Nelson Ct,Daly City,CA,94015,1049000,4,2,1470,3485,37.653224,-122.466714
425 Almeria Ave,El Granada,CA,94018,1399000,3,3,2950,4948,37.510296,-122.479271
281 Shelter Cove Dr,El Granada,CA,94018,1050000,3,2,1480,5401,37.512089,-122.487694
822 San Carlos Ave,El Granada,CA,94018,1680000,3,3.5,3308,9378,37.510922,-122.478182
246 San Clemente Rd,El Granada,CA,94018,1295000,3,2.5,2850,13503.6,37.506992,-122.465521
247 Columbus St,El Granada,CA,94018,1100000,3,1.5,1250,6251,37.505881,-122.477007
346 Carmel Ave,El Granada,CA,94018,1199000,4,3,1690,6098,37.507628,-122.476076
230 El Granada Blvd,El Granada,CA,94018,1295000,5,3.5,2610,6970,37.506019,-122.463408
301 Myrtle St,Half Moon Bay,CA,94019,949950,2,2,1160,7505,37.458826,-122.439504
2065 Touraine Ln,Half Moon Bay,CA,94019,1150000,3,2,1790,7292,37.486464,-122.443465
380 Burning Tree Ct,Half Moon Bay,CA,94019,1615000,4,2.5,3470,5502,37.433363,-122.42971
2165 Higgins Canyon Rd,Half Moon Bay,CA,94019,4750000,6,4.5,4500,422967.6,37.441217,-122.398012
630 Miramar Dr,Half Moon Bay,CA,94019,2390000,5,4,4140,9919,37.495994,-122.450164
11650 San Mateo Rd,Half Moon Bay,CA,94019,2750000,3,2,9999,1267160.4,37.492657,-122.389679
516 Highland Ave,Half Moon Bay,CA,94019,1475000,4,3,3083,8799,37.472595,-122.434001
221 Correas St,Half Moon Bay,CA,94019,2495000,5,4,3722,10018.8,37.46306,-122.441104
401 Antoinette Ln,Half Moon Bay,CA,94019,1279000,3,2,1460,5998,37.475874,-122.444865
400 Irish Ridge Rd,Half Moon Bay,CA,94019,2950000,3,3,2250,1742400,37.405953,-122.376164
320 Coronado Ave,Half Moon Bay,CA,94019,1525000,3,3,2250,8799,37.49724,-122.459268
437 Seymour St,Half Moon Bay,CA,94019,2000000,4,4.5,3862,9875,37.453516,-122.434747
41 Turnberry Rd,Half Moon Bay,CA,94019,2000000,4,2.5,3924,7200,37.437978,-122.435308
412 Magellan Ave,Half Moon Bay,CA,94019,1865000,4,3,3011,8799,37.498661,-122.458785
231 Shelter Cove Dr,El Granada,CA,94019,849000,2,1,1010,5502,37.5114,-122.487406
160 Turnberry Rd,Half Moon Bay,CA,94019,1769000,5,3,3266,7139,37.437393,-122.433425
48 Harvard Ave,Half Moon Bay,CA,94019,575000,2,1,672,3498,37.503444,-122.492558
