,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Price,Longitude,Latitude,Price per sqft,Price per lot sqft
101,1092,1429 Emerson St,Palo Alto,94301,5,3.5,4253,0.23,2001,2,7388000,-122.1507182,37.4374162,1737.126734070068,737.413662314848
102,436,4 Muirfield Rd,Half Moon Bay,94019,2,2.5,1480,0.035,1986,2,1100000,-122.435768,37.4368365,743.2432432432432,721.5007215007214
103,492,2160 Mills Ave,Menlo Park,94025,4,4.0,2635,0.138,2019,2,4298000,0.0,0.0,1631.1195445920307,714.9891537243315
104,1677,1922 Worthington Cir,Santa Clara,95050,3,2.5,1905,0.051,2014,2,1588000,-121.95331570000002,37.32610379999999,833.5958005249344,714.813014278255
105,287,1039 University Ave,Palo Alto,94301,5,4.5,5617,0.459,2003,2,14250000,-122.1529087,37.45522705,2536.941427808439,712.712388291711
106,1096,1039 University Ave,Palo Alto,94301,5,4.5,5617,0.459,2003,2,14250000,-122.1529087,37.45522705,2536.941427808439,712.712388291711
108,1051,1378 California St,Mountain View,94041,4,2.0,2425,0.195,1947,2,6000000,-122.0868416,37.39381546,2474.2268041237107,706.3643427279791
109,1697,1515 Farmer Pl,Santa Clara,95051,4,3.5,1993,0.052000000000000005,2011,2,1588000,-121.9947879,37.35104566,796.7887606623183,701.0666101575191
110,4371,1515 Farmer Pl,Santa Clara,95051,4,3.5,1993,0.052000000000000005,2011,2,1588000,-121.9947879,37.35104566,796.7887606623183,701.0666101575191
111,501,2191 Monterey Ave,Menlo Park,94025,4,3.5,2876,0.138,2019,2,4188000,0.0,0.0,1456.1891515994434,696.6902223819219
112,1104,3288 Bryant St,Palo Alto,94306,5,4.0,2743,0.14300000000000002,2019,1,4298000,-122.1259807,37.42278954,1566.8975574188846,689.9895329647395
113,1114,1135 College Ave,Palo Alto,94306,4,3.0,2231,0.132,2005,1,3950000,-122.1514745,37.4211935,1770.5064993276555,686.966079528063
114,1607,702 Cannery Pl,San Jose,95112,3,3.5,1717,0.037000000000000005,2014,2,1099000,-121.8910164,37.3554426,640.0698893418754,681.8802273347727
115,3424,21 Huested Street,Pleasanton,94566,4,3.5,2066,0.038,2019,2,1115948,0.0,0.0,540.1490803484995,674.1747619738052
117,3040,2308 Parker St,Berkeley,94704,3,2.0,1287,0.029,1906,0,850000,-122.262322,37.86272663,660.4506604506605,672.8729299262214
118,3447,2907 Pescadero Ter,Fremont,94538,3,2.5,1712,0.034,2013,0,989000,-121.9549956,37.5383936,577.6869158878503,667.7739966510019
119,3450,2907 Pescadero,Fremont,94538,3,2.5,1712,0.034,2013,2,989000,-121.9549956,37.5383936,577.6869158878503,667.7739966510019
120,289,123 Tennyson Ave,Palo Alto,94301,5,5.5,6044,0.275,2001,2,7988000,-122.1476271,37.43386965,1321.6412971542027,666.8336255113113
121,1098,123 Tennyson Ave,Palo Alto,94301,5,5.5,6044,0.275,2001,2,7988000,-122.1476271,37.43386965,1321.6412971542027,666.8336255113113
122,262,118 Churchill Ave,Palo Alto,94301,5,5.0,3713,0.172,2012,2,4988000,-122.1508723,37.435756700000006,1343.388095879343,665.7483930211204
123,1071,118 Churchill Ave,Palo Alto,94301,5,5.0,3713,0.172,2012,2,4988000,-122.1508723,37.435756700000006,1343.388095879343,665.7483930211204
124,14,463 27th Ave,San Francisco,94121,5,3.0,2282,0.069,1921,2,2000000,-122.4870397,37.7807711,876.4241893076248,665.4156851785309
125,751,300 Occidental Ave,Burlingame,94010,0,0.0,7300,0.272,1924,0,7869000,-122.3502934,37.5729818,1077.9452054794522,664.1447901474637
126,250,926 Colonial Ln,Palo Alto,94303,4,3.5,2384,0.14300000000000002,2019,1,4098000,-122.1246475,37.4400308,1718.9597315436242,657.8820628407403
127,4531,4304 Scotts Valley Dr,Scotts Valley,95066,3,2.0,1965,0.032,2018,2,915000,-122.0201074,37.04625849,465.64885496183206,656.4221763085399
128,288,2281 Byron St,Palo Alto,94301,5,5.5,5665,0.265,2009,2,7488000,-122.1350615,37.4362062,1321.8005295675198,648.6823639482301
129,1097,2281 Byron St,Palo Alto,94301,5,5.5,5665,0.265,2009,2,7488000,-122.1350615,37.4362062,1321.8005295675198,648.6823639482301
130,3317,38204 Luma Ter,Newark,94560,4,3.5,2405,0.04,2015,2,1125000,-122.014269,37.5353347,467.77546777546786,645.6611570247934
131,2480,303 Chives Way,Walnut Creek,94595,4,2.5,2232,0.044,2019,2,1236990,0.0,0.0,554.2069892473119,645.3950663661408
132,950,395 School Ct,Los Gatos,95032,3,2.5,2026,0.064,2017,2,1799000,0.0,0.0,887.9565646594275,645.3024563820018
134,4397,2210 West Cliff Dr,Santa Cruz,95060,4,3.5,2936,0.14400000000000002,2009,2,3998000,-122.0531067,36.95028051,1361.7166212534062,637.3711866136108
