,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
4300,1,736 Robert L Smith Dr,Tracy,95376,3,2.0,1213,0.094,1998,2,Single Family Residence,445000,-121.443357117477,37.7238584870152
4301,2,600 Gianelli St,Tracy,95376,4,2.5,2197,0.133,1990,2,Single Family Residence,539000,-121.429433872076,37.7265715665565
4302,3,790 W Mount Diablo Ave,Tracy,95376,4,3.0,1547,0.139,1993,2,Single Family Residence,489000,-121.436324995349,37.7284870315894
4303,4,425 W Clover,Tracy,95376,3,2.0,1191,0.081,1986,2,Single Family Residence,379000,-121.431626269663,37.7614980561798
4304,5,425 W Clover Rd,Tracy,95376,3,2.0,1191,0.081,1986,2,Single Family Residence,379000,-121.431626269663,37.7614980561798
4305,6,646 Tantaros Ln,Tracy,95376,4,3.0,2706,0.11699999999999999,2017,2,Single Family Residence,625000,-121.4164961,37.7619009
4306,7,1940 Hafla Ct,Tracy,95376,6,6.0,4470,0.239,2005,2,Single Family Residence,849000,-121.451759714286,37.7148416734694
4307,8,2567 Remy Cantos Dr,Tracy,95376,4,3.0,3235,0.126,2017,2,Single Family Residence,699999,0.0,0.0
4308,9,329 W 21st Street,Tracy,95376,3,1.0,1154,0.127,1947,1,Single Family Residence,375000,-121.430450414141,37.7516444343434
4309,10,1375 W Lowell Ave,Tracy,95376,5,3.0,2715,0.154,1976,2,Single Family Residence,524950,-121.442286913043,37.7482804347826
4310,11,3241 Arnaudo Ln,Tracy,95376,3,2.5,2078,0.145,1979,2,Single Family Residence,484474,-121.432393163265,37.7604698571429
4311,12,2875 Atlanta Drive,Tracy,95376,4,2.0,1854,0.17600000000000002,1985,2,Single Family Residence,474000,-121.437526454545,37.7576127878788
4312,0,6347 Welch Ave,Stockton,95210,4,2.5,1890,0.125,1990,2,Single Family Residence,345000,-121.2930359,38.0130295
4313,1,5943 Arabian Pl,Stockton,95210,4,2.0,1473,0.115,1990,2,Single Family Residence,349995,-121.2918644,38.0114852
4314,2,5943 Arabian Pl,Stockton,95210,4,2.0,1473,0.115,1990,2,Single Family Residence,349995,-121.2918644,38.0114852
4315,3,4705 Cayman Ct,Stockton,95210,4,2.5,1690,0.121,1995,2,Single Family Residence,370000,-121.28558,37.997342
4316,4,4426 N Ijams,Stockton,95210,4,3.0,3117,1.37,2008,3,Single Family Residence,1200000,0.0,0.0
4317,0,4656 Hibiscus Rd,Stockton,95212,3,1.0,1238,0.23199999999999998,1960,0,Single Family Residence,325000,0.0,0.0
4318,1,3535 Novara Way,Stockton,95212,4,3.0,2619,0.06,2004,2,Single Family Residence,440000,-121.268305571596,38.03853235
4319,2,8838 Bergamo Cir,Stockton,95212,4,3.0,2423,0.138,2006,3,Single Family Residence,429999,-121.26865631111,38.03002185
4320,3,3410 Dewey Ct,Stockton,95212,4,2.5,2602,0.145,2002,3,Single Family Residence,389950,-121.270947226037,38.03247495
4321,4,9230 Nassano,Stockton,95212,4,2.0,2254,0.47,1956,2,Single Family Residence,523950,0.0,0.0
4322,5,9606 Colonna Lane,Stockton,95212,5,3.5,2998,0.14400000000000002,2005,3,Single Family Residence,459500,-121.27503217037,38.04038115
4323,0,916 S Hunter St,Stockton,95206,4,1.0,1260,0.073,1900,0,Single Family Residence,240000,-121.285681702274,37.9437483
4324,1,867 William Moss Blvd,Stockton,95206,4,2.5,1726,0.124,1996,2,Single Family Residence,379500,-121.297548550128,37.90669855
4325,2,4339 Mist Trail Dr,Stockton,95206,5,3.0,2610,0.247,2002,3,Single Family Residence,395000,-121.322044597784,37.90534825
4326,3,846 Herman Street,Stockton,95206,4,2.0,1445,0.121,1998,2,Single Family Residence,289000,-121.29932400272,37.9325253
4327,4,1370 Venice Cir,Stockton,95206,4,3.0,1905,0.139,2002,2,Single Family Residence,359950,-121.304269643352,37.9027543
4328,5,2947 S Bieghle St,Stockton,95206,5,3.0,2285,0.154,2019,2,Single Family Residence,415000,0.0,0.0
4329,6,3303 Trisha Way,Stockton,95206,4,2.0,1329,0.13,2006,2,Single Family Residence,344998,-121.253483821882,37.922044
4330,7,1818 Bella Lago Dr,Stockton,95206,3,2.5,1669,0.092,2007,2,Single Family Residence,305000,-121.30953,37.931509
4331,8,2675 Playa Del Sol Ave,Stockton,95206,4,2.0,1814,0.11,2006,2,Single Family Residence,310000,-121.26421626,37.92509805
4332,9,1937 Old Oak Dr,Stockton,95206,4,2.0,1981,0.172,2019,2,Single Family Residence,389000,-121.2544703,37.9252716
4333,10,1913 Old Oak Dr,Stockton,95206,4,2.0,1981,0.17300000000000001,2019,2,Single Family Residence,389000,-121.2544703,37.9252716
4334,11,2932 S Bieghle St,Stockton,95206,4,2.0,1981,0.115,2019,2,Single Family Residence,385000,0.0,0.0
4335,12,2968 S Bieghle St,Stockton,95206,4,2.0,1981,0.115,2019,2,Single Family Residence,385000,0.0,0.0
4336,13,3854 Seascape Way,Stockton,95206,3,2.0,1660,0.115,2006,2,Single Family Residence,315000,-121.240558364437,37.9175644
4337,14,1838 Old Oak Dr,Stockton,95206,4,2.0,1981,0.134,2018,2,Single Family Residence,384000,-121.253705,37.9256022857143
4338,0,223 W Mayfair,Stockton,95207,4,2.0,1493,0.172,1953,2,Single Family Residence,365000,0.0,0.0
4339,1,6212 Harrisburg Pl,Stockton,95207,3,2.0,1731,0.154,1953,0,Single Family Residence,335000,0.0,0.0
4340,2,7117 Inglewood Ave,Stockton,95207,3,2.0,1152,0.165,1960,2,Single Family Residence,284500,-121.3176106,38.0145475
4341,3,309 W Lincoln Rd,Stockton,95207,3,1.5,1448,0.151,1961,2,Single Family Residence,288800,-121.3149301,38.0144837
4342,0,1995 Milan Way,Lincoln,95648,3,2.0,1693,0.17300000000000001,2003,3,Single Family Residence,440000,-121.316645294679,38.8936161013858
4343,1,2516 Lincoln Airpark Dr.,Lincoln,95648,6,4.5,3641,0.136,2014,3,Single Family Residence,599998,-121.325868891324,38.9112849887259
4344,2,5140 Lichty Road,Lincoln,95648,3,3.5,3008,31.0,2011,1,Single Family Residence,1290000,0.0,0.0
4345,3,2004 Ladera Dr,Lincoln,95648,4,4.5,4012,0.36,2004,4,Single Family Residence,969000,-121.245809221824,38.8554233
4346,0,671 Kelcie Dr,Ripon,95366,5,3.0,4112,0.23,2004,2,Single Family Residence,695000,-121.150008913635,37.7337539867492
4347,1,684 S Mohler Rd,Ripon,95366,4,3.5,3148,0.308,2019,4,Single Family Residence,845000,-121.151147743363,37.7334954203433
4348,2,684 S Mohler,Ripon,95366,45,3.5,3148,0.31,2019,4,Single Family Residence,845000,-121.151147743363,37.7334954203433
4349,0,2684 Christy,Tracy,95367,4,3.0,2651,0.14800000000000002,1994,3,Single Family Residence,555000,-121.438074898787,37.7112958542441
4350,0,10650 Abigail Ct,Stockton,95209,5,3.0,3075,0.11900000000000001,2015,2,Single Family Residence,486800,-121.320860939394,38.0523610606061
4351,1,10650 Abigail Ct,Stockton,95209,6,3.0,3075,0.11900000000000001,2015,2,Single Family Residence,486800,-121.320860939394,38.0523610606061
4352,2,3078 Scarlet Oak,Stockton,95209,4,2.5,2029,0.084,2005,2,Single Family Residence,365000,0.0,0.0
4353,3,3041 Stanfield Dr,Stockton,95209,4,2.5,2226,0.146,1979,2,Single Family Residence,358000,-121.355701827463,38.0355072
4354,4,9578 Scarboro Place,Stockton,95209,4,3.0,2209,0.16,1986,2,Single Family Residence,373900,-121.357834507465,38.0374339
4355,5,2328 Shropshire Ct,Stockton,95209,4,3.0,2293,0.27,1980,2,Single Family Residence,339000,-121.342419814076,38.0337932895918
4356,6,10716 Siskiyou Ln,Stockton,95209,5,3.5,2284,0.077,2007,2,Single Family Residence,375000,-121.353484463428,38.0538085174491
4357,0,753 Yale Ln,Santa Clara,95051,3,2.0,1442,0.153,1961,2,Single Family Residence,1499000,-121.988459577902,37.3362286287797
4358,1,663 Hamilton Ln,Santa Clara,95051,4,2.0,1127,0.121,1953,1,Single Family Residence,1199000,-121.980966995388,37.3341943822195
4359,2,944 Capitola Way,Santa Clara,95051,4,2.0,2128,0.14300000000000002,1964,2,Single Family Residence,1460000,-121.989796301532,37.3426976870846
4360,3,3361 Tracy Dr,Santa Clara,95051,3,2.0,1265,0.14400000000000002,1957,2,Single Family Residence,1688000,-121.9908687193,37.3296244179881
4361,4,3131 Membrillo Corte,Santa Clara,95051,3,2.5,1543,0.044000000000000004,1990,2,Single Family Residence,1575000,-121.9851348,37.340089
4362,5,1463 Blackfield Dr,Santa Clara,95051,4,2.0,1790,0.15,1952,1,Single Family Residence,1499999,-121.969177503193,37.3510903155674
4363,6,2647 Birchtree Ln,Santa Clara,95051,4,4.0,3108,0.271,1972,2,Single Family Residence,2888000,-121.970025689655,37.331822
4364,7,3564 Stout Pl,Santa Clara,95051,4,4.0,1998,0.046,2011,2,Single Family Residence,1649000,-121.99538150912,37.3504479757562
4365,8,641 Briarcliff Ct,Santa Clara,95051,4,3.0,1934,0.192,1961,2,Single Family Residence,1698000,-121.991282067846,37.3341496664011
4366,9,2665 Maplewood Ln,Santa Clara,95051,3,2.0,2146,0.184,1970,2,Single Family Residence,2128888,-121.970460981451,37.3311387257188
4367,10,462 Muriel Ct,Santa Clara,95051,5,3.0,2423,0.244,1960,2,Single Family Residence,1988800,-121.973090449796,37.3314089562358
4368,11,3218 Agate Dr,Santa Clara,95051,3,2.0,897,0.16,1955,1,Single Family Residence,1288888,-121.985837424806,37.3698204966976
4369,12,1010 Teal Dr,Santa Clara,95051,4,2.0,1649,0.201,1961,2,Single Family Residence,1798000,-122.002594,37.344417
4370,13,837 Cherry Orchard Pl,Santa Clara,95051,4,3.0,1935,0.049,2008,2,Single Family Residence,1669000,-121.990847848195,37.3388816
4371,14,1515 Farmer Pl,Santa Clara,95051,4,3.5,1993,0.052000000000000005,2011,2,Single Family Residence,1588000,-121.994787896328,37.35104565844
4372,15,3412 Geneva Dr,Santa Clara,95051,3,2.0,1420,0.193,1957,2,Single Family Residence,1848000,-121.992023092982,37.3292265322741
4373,16,190 Arcadia Ave,Santa Clara,95051,4,2.5,2432,0.18600000000000003,2013,2,Single Family Residence,2435000,-121.987753,37.3271512122343
4374,17,2479 Borax Dr,Santa Clara,95051,3,1.0,897,0.131,1955,1,Single Family Residence,1198888,-121.982342988092,37.3676369145986
4375,18,3491 Elmhurst Ave,Santa Clara,95051,3,2.0,1401,0.14400000000000002,1957,2,Single Family Residence,1295000,-121.992583,37.326555
4376,19,3564 Stout Pl,Santa Clara,95051,4,4.0,1998,0.046,2011,2,Single Family Residence,1649000,-121.99538150912,37.3504479757562
4377,20,3597 Notre Dame Dr,Santa Clara,95051,5,4.0,3076,0.358,1965,2,Single Family Residence,1830500,-121.995255780747,37.3647166979861
4378,21,2605 Painted Rock Dr,Santa Clara,95051,3,2.0,1100,0.135,1954,1,Single Family Residence,1050000,-121.979830634219,37.3687525185711
4379,22,345 Landeros Dr,Santa Clara,95051,4,3.0,2222,0.19699999999999998,1976,2,Single Family Residence,1599999,-121.968162784549,37.3289907718158
4380,0,307 Laguna St,Santa Cruz,95060,3,3.0,2428,0.16399999999999998,1973,2,Single Family Residence,1400000,-122.029482887815,36.9571230844595
4381,1,211 Glover St,Santa Cruz,95060,4,2.0,1634,0.14300000000000002,1959,0,Single Family Residence,1168000,-122.044985020408,36.9640162857143
4382,2,168 Bernard Ln,Santa Cruz,95060,4,4.0,2419,1.094,1974,2,Single Family Residence,1098000,0.0,0.0
4383,3,108 Meadowview Ln,Santa Cruz,95060,3,3.5,2920,0.07200000000000001,2012,2,Single Family Residence,969000,0.0,0.0
4384,4,1119 Mission St,Santa Cruz,95060,5,2.5,1957,0.244,1925,0,Single Family Residence,1200000,-122.036710346939,36.9702842244898
4385,5,533 Isbel Dr,Santa Cruz,95060,4,2.5,2774,0.483,1969,2,Single Family Residence,1295000,-122.014602657429,36.9984341703451
4386,6,195 Miracle Ln,Santa Cruz,95060,3,2.5,2314,1.7919999999999998,2010,2,Single Family Residence,1600000,-122.012123793193,37.015041215629
4387,7,36 Grainger Ln,Santa Cruz,95060,3,2.0,1744,1.7469999999999999,1981,2,Single Family Residence,935000,0.0,0.0
4388,8,117 La Canada Way,Santa Cruz,95060,2,2.0,1826,0.368,1961,2,Single Family Residence,998000,-122.034799058651,37.0179934495779
4389,9,1690 Glen Canyon Rd,Santa Cruz,95060,6,5.5,5000,62.977,1942,2,Single Family Residence,7300000,-122.0210398,37.0228327
4390,10,111 Button St,Santa Cruz,95060,3,2.5,1326,0.062,1996,2,Single Family Residence,882000,-122.022095157895,36.9869733684211
4391,11,107 Las Ondas Ct,Santa Cruz,95060,3,2.0,1600,0.125,1949,1,Single Family Residence,995000,-122.04936086278,36.9634143832215
4392,12,5 Bird Hill Ln,Santa Cruz,95060,3,3.5,3624,0.225,2004,2,Single Family Residence,3295000,-122.024615139223,36.9992712131234
4393,13,211 Wanzer St,Santa Cruz,95060,2,2.0,2044,0.115,1961,1,Single Family Residence,1495000,-122.045912382096,36.9519559906919
4394,14,121 Palomino Way,Santa Cruz,95060,4,4.5,4893,0.51,2004,3,Single Family Residence,2125000,-122.037233058703,37.0099235697116
4395,15,12 Panorama Ln,Santa Cruz,95060,3,2.5,3256,0.5670000000000001,2019,6,Single Family Residence,3200000,-122.028229853557,37.0100702713909
4396,16,130 Pineridge Rd,Santa Cruz,95060,3,2.0,1633,1.1,1978,2,Single Family Residence,1050000,-122.11066258735,37.0440028453937
4397,17,2210 West Cliff Dr,Santa Cruz,95060,4,3.5,2936,0.14400000000000002,2009,2,Single Family Residence,3998000,-122.053106684857,36.9502805050281
4398,18,145 Scenic St,Santa Cruz,95060,3,3.5,3890,0.446,2009,2,Single Family Residence,2995000,-122.048438651883,36.969066464455
4399,19,130 Surfside Ave,Santa Cruz,95060,3,2.0,1284,0.084,1915,1,Single Family Residence,999500,-122.041025676143,36.9575425975057
4400,20,50 Nichols Dr,Santa Cruz,95060,3,2.0,1702,2.031,1980,2,Single Family Residence,995000,-122.135646515571,37.0818920817142
4401,21,1 Kite Hill Rd,Santa Cruz,95060,4,3.5,3553,0.43,1973,2,Single Family Residence,2800000,-122.027953,37.011266
4402,22,251 Brookside Ave,Santa Cruz,95060,2,1.0,819,0.11800000000000001,1971,1,Single Family Residence,789000,-122.016566388576,36.9879640397514
4403,23,1244 Laurent St,Santa Cruz,95060,4,3.0,2700,0.282,1960,2,Single Family Residence,1600000,-122.042631510068,36.9769431942664
4404,24,211 Beachview Ave,Santa Cruz,95060,3,2.5,1506,0.09699999999999999,1976,2,Single Family Residence,995500,-122.055181874272,36.9618041787963
4405,25,126 Wendell St,Santa Cruz,95060,4,3.0,2244,0.138,1990,2,Single Family Residence,1075000,-122.019661213228,36.990238128827
4406,26,250 Oak Acres,Santa Cruz,95060,4,3.0,2914,1.2590000000000001,1974,2,Single Family Residence,1199000,-122.027485091052,37.028497988416
4407,27,275 Chico Ave,Santa Cruz,95060,3,2.0,1336,0.096,1976,2,Single Family Residence,1149000,-122.053711552371,36.9514601896861
4408,28,123 Berkshire Ave,Santa Cruz,95060,4,3.0,2020,0.139,1890,0,Single Family Residence,1249900,-122.043340469388,36.9639227346939
