,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
50,8,5 Loma Linda Ct,Orinda,94563,3,2,1728,0.29,1948,2,Single Family Residence,1165000,-122.1573227,37.85848024
51,9,46 Zander Ct,Orinda,94563,4,3,2932,0.93,1967,2,Single Family Residence,1649000,-122.1458414,37.86561929
52,10,14 Ramona Drive,Orinda,94563,4,4,3994,0.33,2006,2,Single Family Residence,1998000,-122.1419195,37.84533297
53,11,29 Canyon View,Orinda,94563,5,4,4000,0.94,1974,3,Single Family Residence,2295000,-122.1675213,37.90895509
54,12,200 Hall Dr,Orinda,94563,5,3.5,4400,5.07,2010,6,Single Family Residence,3180000,-122.1537849,37.85993834
55,13,325 Miller Ct,Orinda,94563,5,4,3939,1.01,2014,2,Single Family Residence,2698000,0,0
56,14,8 Hidden Ln,Orinda,94563,5,3.5,4562,1.31,1973,2,Single Family Residence,1895000,-122.1950648,37.91022476
57,15,537 The Glade,Orinda,94563,3,2,2127,0.132,1985,2,Single Family Residence,1399000,-122.185583,37.88682577
58,16,51 Charles Hill Rd,Orinda,94563,5,5,3430,0.62,1948,2,Single Family Residence,1925000,-122.1664116,37.9049374
59,17,1 Sycamore Road,Orinda,94563,5,4.5,3977,1.24,1941,2,Single Family Residence,3250000,-122.179397,37.906386
60,18,18 Daisy Ln,Orinda,94563,4,2.5,2614,0.77,1966,2,Single Family Residence,1430000,-122.1564918,37.85993615
61,19,96 Claremont Ave,Orinda,94563,2,2,1672,0.112,1974,0,Single Family Residence,849000,-122.2073488,37.89010137
62,20,25 Rustic Way,Orinda,94563,6,5.5,8514,8.14,1986,6,Single Family Residence,4250000,-122.1582945,37.86751443
63,21,9 Parklane Dr,Orinda,94563,4,3,2683,0.64,1956,2,Single Family Residence,1450000,0,0
64,22,60 La Espiral Road,Orinda,94563,5,4,3914,0.61,2006,2,Single Family Residence,2238000,-122.1830241,37.89667407
65,23,60 La Espiral Rd,Orinda,94563,5,4,3914,0.61,2006,2,Single Family Residence,2238000,-122.1830241,37.89667407
66,24,3 Lucille Way,Orinda,94563,5,3,2628,0.234,1970,2,Single Family Residence,1385000,-122.185907,37.872381
67,25,516 Moraga Way,Orinda,94563,4,3,2552,0.99,1959,2,Single Family Residence,1650000,-122.1525261,37.85420545
68,26,8 Santa Lucia Rd,Orinda,94563,5,5,3917,0.41,1934,2,Single Family Residence,1895000,0,0
69,27,66 Heather Ln,Orinda,94563,4,4,3130,0.7,1961,2,Single Family Residence,1799000,-122.1667841,37.87104143
70,28,32 Tarabrook Dr,Orinda,94563,3,2,1404,0.28,1961,2,Single Family Residence,1095000,-122.1720862,37.87892591
71,29,383 Miner Rd,Orinda,94563,5,4,4023,1.32,1954,2,Single Family Residence,2695000,-122.1912454,37.89972053
72,30,55 Berkeley Avenue,Orinda,94563,4,4,2606,0.57,1961,2,Single Family Residence,1193000,-122.2049853,37.89060463
73,0,1455 Valley Ford Freestone Rd,Valley Ford,94972,4,4,4360,9,2007,3,Single Family Residence,2685000,0,0
74,0,2618 Milvia St,Berkeley,94703,3,2,0,0.094,1922,0,Single Family Residence,1495000,-122.2699186,37.8642703
75,1,1801 Ward St,Berkeley,94703,2,1.5,1296,0.064,1906,1,Single Family Residence,995000,-122.273249,37.85877
76,0,3005 Hillegass Ave,Berkeley,94705,3,1.5,2060,0.092,1908,1,Single Family Residence,1495000,-122.2549182,37.85562833
77,1,161 El Camino Real,Berkeley,94705,3,2,2445,0.159,1941,2,Single Family Residence,1495000,-122.2402235,37.8531717
78,2,95 Vicente Rd,Berkeley,94705,4,3.5,4568,0.194,2004,2,Single Family Residence,3500000,-122.2348679,37.85624251
79,3,3057 Hillegass Ave,Berkeley,94705,4,2.5,2812,0.128,1908,1,Single Family Residence,2195000,-122.2548061,37.85460539
80,4,7287 Claremont Avenue,Berkeley,94705,5,5,4966,0.28,1920,1,Single Family Residence,2985000,-122.2486008,37.8539987
81,5,7287 Claremont Avenue,Berkeley,94705,3,3,1744,0.213,1920,1,Single Family Residence,1545000,-122.2486008,37.8539987
82,6,7287 Claremont Avenue,Berkeley,94705,3,2.5,1647,0.186,1920,2,Single Family Residence,1495000,-122.2486008,37.8539987
83,7,6948 Norfolk Rd,Berkeley,94705,4,3.5,2944,0.105,2007,2,Single Family Residence,1695000,0,0
84,8,1076 Siler Pl,Berkeley,94705,3,2.5,2032,0.157,1997,2,Single Family Residence,1388800,0,0
85,9,33 Tanglewood Rd,Berkeley,94705,5,4,3758,0.26,1922,2,Single Family Residence,2950000,-122.244107,37.860955
86,10,1072 Siler Pl,Berkeley,94705,4,4.5,4000,0.16,2011,2,Single Family Residence,1599000,0,0
87,11,6880 Buckingham Blvd,Berkeley,94705,4,3.5,3550,0.081,2018,2,Single Family Residence,1599000,0,0
88,12,11 Drury Ct,Berkeley,94705,5,5,6000,0.6,2005,2,Single Family Residence,3788000,0,0
89,13,2967 Avalon Avenue,Berkeley,94705,7,5,5421,0.28,1907,2,Single Family Residence,3899999,-122.2464288,37.85984105
90,14,7026 Devon Way,Oakland,94705,6,5,4613,0.124,2018,2,Single Family Residence,2899900,-122.225077,37.85993166
91,15,7112 Westmoorland,Berkeley,94705,4,3.5,4070,0.132,2002,2,Single Family Residence,1499000,0,0
92,0,18800 Melvin Ave,Sonoma,95476,3,1.5,1105,0.165,1956,0,Single Family Residence,674888,-122.4749409,38.30643199
93,0,2004 Faymont Ave,Manhattan Beach,90266,3,2,1505,0.124,1950,2,Single Family Residence,1599000,-118.3799548,33.89249346
94,1,3212 Palm Ave,Manhattan Beach,90266,4,3,2558,0.107,1953,2,Single Family Residence,2349000,-118.4015856,33.89871966
95,2,401 10th St,Manhattan Beach,90266,4,3.5,4100,0.062,2005,3,Single Family Residence,5850000,-118.4077335,33.88433997
96,3,229 8th St,Manhattan Beach,90266,5,5,4145,0.062,2019,3,Single Family Residence,8995000,-118.4086927,33.88252
97,4,612 Anderson St,Manhattan Beach,90266,3,1.5,1700,0.075,1966,2,Single Family Residence,2199000,-118.399176,33.88275203
98,5,861 8th St,Manhattan Beach,90266,5,2.5,5656,0.132,2019,3,Single Family Residence,6299000,-118.4010296,33.88384829
99,6,1613 Harkness St,Manhattan Beach,90266,3,1,1539,0.122,1950,2,Single Family Residence,1495000,-118.3809805,33.89012543
100,7,436 27th St,Manhattan Beach,90266,4,4.5,3473,0.055,2019,2,Single Family Residence,4200000,-118.4132081,33.89543942
101,8,211 John St,Manhattan Beach,90266,4,3,2948,0.116,1952,2,Single Family Residence,3199000,-118.4021604,33.8803351
102,9,132 17th St,Manhattan Beach,90266,3,2,1951,0.062,1950,2,Single Family Residence,5995000,-118.4129939,33.88826138
103,10,204 16th St,Manhattan Beach,90266,4,4.5,4285,0.062,2007,3,Single Family Residence,7850000,-118.4122268,33.88781431
104,11,220 16th St,Manhattan Beach,90266,5,4,2701,0.062,1964,2,Single Family Residence,5499999,-118.4121286,33.88784864
105,12,210 Poinsettia Ave,Manhattan Beach,90266,6,2.5,5486,0.143,2019,3,Single Family Residence,8500000,0,0
106,13,1755 8th St,Manhattan Beach,90266,5,7.5,4836,0.172,2018,4,Single Family Residence,4550000,-118.3817936,33.88380945
107,14,709 Larsson St,Manhattan Beach,90266,4,4,3171,0.118,2014,2,Single Family Residence,3299000,-118.3972305,33.88320378
108,15,401 N Dianthus St,Manhattan Beach,90266,6,6,6312,0.149,2019,3,Single Family Residence,7099000,-118.3983239,33.88180645
109,16,1151 Lynngrove Dr,Manhattan Beach,90266,5,3,2543,0.13,1950,2,Single Family Residence,1990000,-118.3826166,33.88791482
110,17,205 40th St,Manhattan Beach,90266,2,1,811,0.032,1929,2,Single Family Residence,1775000,-118.4194634,33.90272669
111,18,3000 N Poinsettia Ave,Manhattan Beach,90266,4,2,2175,0.106,1950,1,Single Family Residence,2399000,-118.4006699,33.89764338
112,19,420 36th St,Manhattan Beach,90266,4,2.5,2989,0.041,2008,2,Single Family Residence,3500000,-118.4159418,33.90069659
113,20,401 17th St,Manhattan Beach,90266,4,4,2711,0.062,1965,2,Single Family Residence,3499000,-118.4112558,33.88905785
114,21,1541 19th St,Manhattan Beach,90266,4,2,2306,0.165,1964,2,Single Family Residence,1895000,-118.3864416,33.891972
115,22,659 18th St,Manhattan Beach,90266,4,3,4037,0.144,1952,2,Single Family Residence,4950000,-118.4068684,33.89116609
116,23,1137 9th St,Manhattan Beach,90266,4,3.5,2731,0.172,1953,2,Single Family Residence,2695000,-118.3951591,33.8847878
117,24,598 33rd St,Manhattan Beach,90266,5,6.5,3632,0.115,2007,2,Single Family Residence,3559000,-118.409814,33.898998
118,25,1601 Mathews Ave,Manhattan Beach,90266,2,2,1802,0.197,1953,2,Single Family Residence,1999000,-118.384968,33.873901
119,26,429 35th Street,Manhattan Beach,90266,4,4,3600,0.062,1972,2,Single Family Residence,2895000,-118.4154341,33.90032914
120,27,1601 19th St,Manhattan Beach,90266,4,3.5,2861,0.115,2001,2,Single Family Residence,2269000,-118.384995,33.892006
121,28,1215 Fisher Ave,Manhattan Beach,90266,5,6,5400,0.069,2019,3,Single Family Residence,6995000,-118.4071827,33.88697271
122,29,204 Anderson St,Manhattan Beach,90266,3,2.5,1800,0.075,1969,2,Single Family Residence,2649000,-118.3991699,33.88030784
123,30,1450 23rd St,Manhattan Beach,90266,5,2.5,4755,0.172,2017,2,Single Family Residence,3799000,-118.3885811,33.89365653
124,0,5982 Angelo Dr,Loomis,95650,4,2,1587,0.247,1986,2,Single Family Residence,509900,-121.1935657,38.83478501
125,0,1871 Tiffin Rd,Oakland,94602,5,2.5,3161,0.152,1937,2,Single Family Residence,1049000,-122.2117659,37.80951453
126,1,3175 Monterey Blvd,Oakland,94602,5,4.5,3122,0.121,1990,2,Single Family Residence,1095000,-122.1933253,37.80601989
127,2,2129 Funston Place,Oakland,94602,3,1.5,1501,0.119,1939,2,Single Family Residence,899000,-122.2067628,37.80940912
128,3,1815 Montana St,Oakland,94602,2,2,1662,0.11,1928,0,Single Family Residence,795000,-122.219488,37.799699
129,4,1815 Montana St,Oakland,94602,2,1.5,1662,0.11,1928,0,Single Family Residence,795000,-122.219488,37.799699
130,5,4190 Laguna Ave,Oakland,94602,3,3,2481,0.153,1957,2,Single Family Residence,995000,-122.2040075,37.80535729
131,6,4042 Lyman Rd,Oakland,94602,3,1.5,1252,0.26,1915,2,Single Family Residence,849000,-122.2116928,37.80825407
132,7,3373 Arkansas St,Oakland,94602,2,1,848,0.073,1928,1,Single Family Residence,555000,-122.2054829,37.79283339
133,8,3313 Burdeck Drive,Oakland,94602,4,3.5,2260,0.54,1972,2,Single Family Residence,995000,-122.1901625,37.80735324
134,9,3257 Georgia Street,Oakland,94602,2,1,762,0.085,1947,1,Single Family Residence,600000,-122.2031784,37.79490463
135,10,3326 Arkansas St,Oakland,94602,3,1,1054,0.057,1922,1,Single Family Residence,449000,-122.2059094,37.79342715
136,11,1419 E 32nd St,Oakland,94602,2,1,1135,0.078,1924,1,Single Family Residence,599000,-122.2307582,37.79984763
137,12,930 Glendome Cir,Oakland,94602,3,2,1680,0.084,1927,2,Single Family Residence,995000,-122.2201829,37.812031
138,13,3344 Brookdale Ave,Oakland,94602,2,2,1632,0.209,1946,2,Single Family Residence,637570,-122.2114095,37.79017504
139,14,3926 Linwood Ave,Oakland,94602,4,2,1870,0.092,1922,0,Single Family Residence,1188000,-122.2201681,37.80379872
140,15,4015 Waterhouse Rd,Oakland,94602,2,1.5,1039,0.074,1928,0,Single Family Residence,749000,-122.2130931,37.80836074
