,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price
23,60 La Espiral Rd,Orinda,94563,5,4,3914,0.61,2006,2,Single Family Residence,2238000
24,3 Lucille Way,Orinda,94563,5,3,2628,0.234,1970,2,Single Family Residence,1385000
25,516 Moraga Way,Orinda,94563,4,3,2552,0.99,1959,2,Single Family Residence,1650000
26,8 Santa Lucia Rd,Orinda,94563,5,5,3917,0.41,1934,2,Single Family Residence,1895000
27,66 Heather Ln,Orinda,94563,4,4,3130,0.7,1961,2,Single Family Residence,1799000
28,32 Tarabrook Dr,Orinda,94563,3,2,1404,0.28,1961,2,Single Family Residence,1095000
29,383 Miner Rd,Orinda,94563,5,4,4023,1.32,1954,2,Single Family Residence,2695000
30,55 Berkeley Avenue,Orinda,94563,4,4,2606,0.57,1961,2,Single Family Residence,1193000
0,1455 Valley Ford Freestone Rd,Valley Ford,94972,4,4,4360,9,2007,3,Single Family Residence,2685000
0,2618 Milvia St,Berkeley,94703,3,2,0,0.094,1922,0,Single Family Residence,1495000
1,1801 Ward St,Berkeley,94703,2,1.5,1296,0.064,1906,1,Single Family Residence,995000
0,3005 Hillegass Ave,Berkeley,94705,3,1.5,2060,0.092,1908,1,Single Family Residence,1495000
1,161 El Camino Real,Berkeley,94705,3,2,2445,0.159,1941,2,Single Family Residence,1495000
2,95 Vicente Rd,Berkeley,94705,4,3.5,4568,0.194,2004,2,Single Family Residence,3500000
3,3057 Hillegass Ave,Berkeley,94705,4,2.5,2812,0.128,1908,1,Single Family Residence,2195000
4,7287 Claremont Avenue,Berkeley,94705,5,5,4966,0.28,1920,1,Single Family Residence,2985000
5,7287 Claremont Avenue,Berkeley,94705,3,3,1744,0.213,1920,1,Single Family Residence,1545000
6,7287 Claremont Avenue,Berkeley,94705,3,2.5,1647,0.186,1920,2,Single Family Residence,1495000
7,6948 Norfolk Rd,Berkeley,94705,4,3.5,2944,0.105,2007,2,Single Family Residence,1695000
8,1076 Siler Pl,Berkeley,94705,3,2.5,2032,0.157,1997,2,Single Family Residence,1388800
9,33 Tanglewood Rd,Berkeley,94705,5,4,3758,0.26,1922,2,Single Family Residence,2950000
10,1072 Siler Pl,Berkeley,94705,4,4.5,4000,0.16,2011,2,Single Family Residence,1599000
11,6880 Buckingham Blvd,Berkeley,94705,4,3.5,3550,0.081,2018,2,Single Family Residence,1599000
12,11 Drury Ct,Berkeley,94705,5,5,6000,0.6,2005,2,Single Family Residence,3788000
13,2967 Avalon Avenue,Berkeley,94705,7,5,5421,0.28,1907,2,Single Family Residence,3899999
14,7026 Devon Way,Oakland,94705,6,5,4613,0.124,2018,2,Single Family Residence,2899900
15,7112 Westmoorland,Berkeley,94705,4,3.5,4070,0.132,2002,2,Single Family Residence,1499000
0,18800 Melvin Ave,Sonoma,95476,3,1.5,1105,0.165,1956,0,Single Family Residence,674888
0,2004 Faymont Ave,Manhattan Beach,90266,3,2,1505,0.124,1950,2,Single Family Residence,1599000
1,3212 Palm Ave,Manhattan Beach,90266,4,3,2558,0.107,1953,2,Single Family Residence,2349000
2,401 10th St,Manhattan Beach,90266,4,3.5,4100,0.062,2005,3,Single Family Residence,5850000
3,229 8th St,Manhattan Beach,90266,5,5,4145,0.062,2019,3,Single Family Residence,8995000
4,612 Anderson St,Manhattan Beach,90266,3,1.5,1700,0.075,1966,2,Single Family Residence,2199000
5,861 8th St,Manhattan Beach,90266,5,2.5,5656,0.132,2019,3,Single Family Residence,6299000
6,1613 Harkness St,Manhattan Beach,90266,3,1,1539,0.122,1950,2,Single Family Residence,1495000
7,436 27th St,Manhattan Beach,90266,4,4.5,3473,0.055,2019,2,Single Family Residence,4200000
8,211 John St,Manhattan Beach,90266,4,3,2948,0.116,1952,2,Single Family Residence,3199000
9,132 17th St,Manhattan Beach,90266,3,2,1951,0.062,1950,2,Single Family Residence,5995000
10,204 16th St,Manhattan Beach,90266,4,4.5,4285,0.062,2007,3,Single Family Residence,7850000
11,220 16th St,Manhattan Beach,90266,5,4,2701,0.062,1964,2,Single Family Residence,5499999
12,210 Poinsettia Ave,Manhattan Beach,90266,6,2.5,5486,0.143,2019,3,Single Family Residence,8500000
13,1755 8th St,Manhattan Beach,90266,5,7.5,4836,0.172,2018,4,Single Family Residence,4550000
14,709 Larsson St,Manhattan Beach,90266,4,4,3171,0.118,2014,2,Single Family Residence,3299000
15,401 N Dianthus St,Manhattan Beach,90266,6,6,6312,0.149,2019,3,Single Family Residence,7099000
16,1151 Lynngrove Dr,Manhattan Beach,90266,5,3,2543,0.13,1950,2,Single Family Residence,1990000
17,205 40th St,Manhattan Beach,90266,2,1,811,0.032,1929,2,Single Family Residence,1775000
18,3000 N Poinsettia Ave,Manhattan Beach,90266,4,2,2175,0.106,1950,1,Single Family Residence,2399000
19,420 36th St,Manhattan Beach,90266,4,2.5,2989,0.041,2008,2,Single Family Residence,3500000
20,401 17th St,Manhattan Beach,90266,4,4,2711,0.062,1965,2,Single Family Residence,3499000
21,1541 19th St,Manhattan Beach,90266,4,2,2306,0.165,1964,2,Single Family Residence,1895000
22,659 18th St,Manhattan Beach,90266,4,3,4037,0.144,1952,2,Single Family Residence,4950000
23,1137 9th St,Manhattan Beach,90266,4,3.5,2731,0.172,1953,2,Single Family Residence,2695000
24,598 33rd St,Manhattan Beach,90266,5,6.5,3632,0.115,2007,2,Single Family Residence,3559000
25,1601 Mathews Ave,Manhattan Beach,90266,2,2,1802,0.197,1953,2,Single Family Residence,1999000
26,429 35th Street,Manhattan Beach,90266,4,4,3600,0.062,1972,2,Single Family Residence,2895000
27,1601 19th St,Manhattan Beach,90266,4,3.5,2861,0.115,2001,2,Single Family Residence,2269000
28,1215 Fisher Ave,Manhattan Beach,90266,5,6,5400,0.069,2019,3,Single Family Residence,6995000
29,204 Anderson St,Manhattan Beach,90266,3,2.5,1800,0.075,1969,2,Single Family Residence,2649000
30,1450 23rd St,Manhattan Beach,90266,5,2.5,4755,0.172,2017,2,Single Family Residence,3799000
0,5982 Angelo Dr,Loomis,95650,4,2,1587,0.247,1986,2,Single Family Residence,509900
0,1871 Tiffin Rd,Oakland,94602,5,2.5,3161,0.152,1937,2,Single Family Residence,1049000
1,3175 Monterey Blvd,Oakland,94602,5,4.5,3122,0.121,1990,2,Single Family Residence,1095000
2,2129 Funston Place,Oakland,94602,3,1.5,1501,0.119,1939,2,Single Family Residence,899000
3,1815 Montana St,Oakland,94602,2,2,1662,0.11,1928,0,Single Family Residence,795000
4,1815 Montana St,Oakland,94602,2,1.5,1662,0.11,1928,0,Single Family Residence,795000
5,4190 Laguna Ave,Oakland,94602,3,3,2481,0.153,1957,2,Single Family Residence,995000
6,4042 Lyman Rd,Oakland,94602,3,1.5,1252,0.26,1915,2,Single Family Residence,849000
7,3373 Arkansas St,Oakland,94602,2,1,848,0.073,1928,1,Single Family Residence,555000
8,3313 Burdeck Drive,Oakland,94602,4,3.5,2260,0.54,1972,2,Single Family Residence,995000
9,3257 Georgia Street,Oakland,94602,2,1,762,0.085,1947,1,Single Family Residence,600000
10,3326 Arkansas St,Oakland,94602,3,1,1054,0.057,1922,1,Single Family Residence,449000
11,1419 E 32nd St,Oakland,94602,2,1,1135,0.078,1924,1,Single Family Residence,599000
12,930 Glendome Cir,Oakland,94602,3,2,1680,0.084,1927,2,Single Family Residence,995000
13,3344 Brookdale Ave,Oakland,94602,2,2,1632,0.209,1946,2,Single Family Residence,637570
14,3926 Linwood Ave,Oakland,94602,4,2,1870,0.092,1922,0,Single Family Residence,1188000
15,4015 Waterhouse Rd,Oakland,94602,2,1.5,1039,0.074,1928,0,Single Family Residence,749000
16,4324 Leach Ave,Oakland,94602,3,2,1920,0.101,1912,2,Single Family Residence,1488000
17,3229 Monterey Blvd,Oakland,94602,3,2.5,2620,0.183,1962,2,Single Family Residence,1200000
18,3833 Midvale,Oakland,94602,3,2,1015,0.116,1913,0,Single Family Residence,499000
19,3238 Brunell Dr,Oakland,94602,3,3,4122,0.769,2018,0,Single Family Residence,3495000
20,3838 Lincoln Ave,Oakland,94602,3,1,1008,0.064,1920,1,Single Family Residence,748000
0,10881 Pomber St,Castroville,95012,3,2,1401,0.122,1976,2,Single Family Residence,515000
1,8335 Dolan Pl,Castroville,95012,3,3,1832,2.43,1978,4,Single Family Residence,735000
2,11620 Union St,Castroville,95012,3,2.5,1564,0.08,2007,2,Single Family Residence,524000
0,256 Gambier St,San Francisco,94134,2,2,825,0.071,1908,1,Single Family Residence,888000
1,1360 Wayland St,San Francisco,94134,4,2,2262,0.057,1981,2,Single Family Residence,1498000
0,375 Thistle St,Hollister,95023,3,2.5,1928,0.141,2019,2,Single Family Residence,625900
1,1951 Spruce Dr,Hollister,95023,3,2,1460,0.137,1995,2,Single Family Residence,539000
2,460 Tevis Trl,Hollister,95023,4,3.5,2735,5.7,1997,4,Single Family Residence,1350000
3,1253 Hamilton Dr,Hollister,95023,4,3,2270,0.13,2016,2,Single Family Residence,659500
4,1057 Victoria St,Hollister,95023,4,2,1600,0.107,1900,3,Single Family Residence,505000
5,460 Bordeaux Pl,Hollister,95023,4,2.5,2178,0.138,1995,2,Single Family Residence,609888
6,2410 Paradise Cir,Hollister,95023,4,3,3020,0.14,1999,2,Single Family Residence,675000
7,141 Arroyo Seco Dr,Hollister,95023,5,3,4000,5.11,1985,5,Single Family Residence,1200000
8,1225 Quail Ridge Way,Hollister,95023,4,2.5,2977,0.28,1999,3,Single Family Residence,769900
9,1951 Ponderosa Ct,Hollister,95023,4,2,1627,0.147,1995,2,Single Family Residence,557000
