,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price
5,1161 Raposa Dr,San Jose,95121,4,3,1799,0.26,1980,2,Single Family Residence,750000
6,1021 Malott Dr,San Jose,95121,3,2,1444,0.142,1967,2,Single Family Residence,928000
7,1667 Nickel Ave,San Jose,95121,3,2,1204,0.118,1963,2,Single Family Residence,799000
8,1921 Daniel Maloney Dr,San Jose,95121,3,1.5,1519,0.121,1971,2,Single Family Residence,899000
9,1765 Yerba Buena Rd,San Jose,95121,4,2,1729,0.141,1973,2,Single Family Residence,860000
10,1798 Indigo Oak Ln,San Jose,95121,5,4.5,3197,0.223,2002,2,Single Family Residence,1799000
11,3859 Glengarry Dr,San Jose,95121,3,2,1407,0.146,1979,2,Single Family Residence,899950
12,4090 Yerba Buena Ave,San Jose,95121,4,2,1925,0.187,1969,2,Single Family Residence,1075000
13,3920 Gardie Place Way,San Jose,95121,5,3,2356,0.135,1973,2,Single Family Residence,1100000
14,3059 Cray Ct,San Jose,95121,4,3,2368,0.139,1975,2,Single Family Residence,1100000
15,2872 Plumas Dr,San Jose,95121,4,3,1903,0.152,1977,0,Single Family Residence,990000
16,1185 Bellingham Dr,San Jose,95121,3,2,1678,0.156,1983,2,Single Family Residence,950000
17,3920 Gardie Place Way,San Jose,95121,5,3,2356,0.132,1973,2,Single Family Residence,1100000
18,2820 Tuers Rd,San Jose,95121,4,2.5,2000,0.156,1978,2,Single Family Residence,899000
0,1441 Darwin Ct,San Jose,95122,3,1.5,1214,0.07,1971,2,Single Family Residence,688888
1,2179 Simon Ave,San Jose,95122,3,2,1141,0.133,1959,1,Single Family Residence,675000
2,1234 Karl St,San Jose,95122,4,2,1711,0.131,1961,2,Single Family Residence,835000
3,2150 Bayhaven Dr,San Jose,95122,4,2,1203,0.131,1962,2,Single Family Residence,799999
4,2630 Sibelius Ave,San Jose,95122,3,1.5,1043,0.214,1961,1,Single Family Residence,690000
5,1677 Bermuda Way,San Jose,95122,3,2,1328,0.122,1959,1,Single Family Residence,639000
6,1419 Adrian Way,San Jose,95122,4,2,1283,0.131,1965,2,Single Family Residence,725000
7,2778 Chopin Ave,San Jose,95122,3,1,1120,0.142,1961,1,Single Family Residence,680000
8,2102 Kennedy Ave,San Jose,95122,4,3,2399,0.129,1961,2,Single Family Residence,899000
9,1490 Primm Ave,San Jose,95122,3,2,1200,0.126,1958,2,Single Family Residence,750000
10,2577 Dumont Ct,San Jose,95122,3,2,1176,0.194,1977,2,Single Family Residence,875000
11,1425 Taper Ct,San Jose,95122,4,2,1329,0.08,1974,2,Single Family Residence,769000
12,1916 Sarasota Way,San Jose,95122,4,2,1329,0.122,1959,2,Single Family Residence,800000
13,1294 Clemence Ave,San Jose,95122,3,2,1120,0.102,1985,2,Single Family Residence,729000
14,1916 Sarasota Way,San Jose,95122,4,2,1329,0.124,1959,2,Single Family Residence,800000
15,995 Mills Corner Ln,San Jose,95122,2,2,1386,0.057,1992,1,Single Family Residence,799000
16,995 Mills Corner Lane,San Jose,95122,2,2,1386,0.057,1992,1,Single Family Residence,799950
17,1213 Panoche Ave,San Jose,95122,4,2,1548,0.062,1997,2,Single Family Residence,869999
18,2228 Denair Ave,San Jose,95122,0,2,1155,0.115,1978,2,Single Family Residence,699000
19,2368 Barlow Ave,San Jose,95122,6,4,1962,0.14,1963,2,Single Family Residence,850000
0,5868 Mcgilvra Ct,San Jose,95123,4,2,1683,0.147,1971,2,Single Family Residence,998000
1,674 Alamo Dr,San Jose,95123,4,2,1516,0.142,1965,2,Single Family Residence,948888
2,393 Herrick Ave,San Jose,95123,2,2,1582,0.15,1965,2,Single Family Residence,945000
3,351 Henderson Dr,San Jose,95123,4,2,2249,0.138,1968,2,Single Family Residence,998000
4,6192 Ocho Rios Dr,San Jose,95123,3,2,1495,0.139,1968,2,Single Family Residence,978888
5,6210 Glendora Ct,San Jose,95123,4,3,2124,0.305,1971,2,Single Family Residence,989000
6,675 Alamo Dr,San Jose,95123,3,2,1347,0.142,1965,2,Single Family Residence,899000
7,292 Calero Ave,San Jose,95123,3,2,1675,0.152,1971,2,Single Family Residence,988000
8,629 Cree Ct,San Jose,95123,4,2,1495,0.175,1968,2,Single Family Residence,1049000
9,328 Spode Way,San Jose,95123,6,3,2161,0.157,1972,2,Single Family Residence,1129888
10,6306 Pearlroth Dr,San Jose,95123,4,2.5,1848,0.144,1969,2,Single Family Residence,1050000
11,6033 Montalvo Dr,San Jose,95123,5,3,2360,0.139,1968,1,Single Family Residence,999888
12,172 Wyandotte Dr,San Jose,95123,4,2,1400,0.123,1966,2,Single Family Residence,899000
13,5626 Comanche Ct,San Jose,95123,3,2,1401,0.207,1970,2,Single Family Residence,940000
14,555 Suisse Dr,San Jose,95123,5,3,2509,0.145,1966,2,Single Family Residence,1198000
15,641 Azule Ave,San Jose,95123,4,2,1345,0.136,1966,2,Single Family Residence,1099000
16,385 Conestoga Way,San Jose,95123,4,2,1855,0.204,1968,2,Single Family Residence,1000000
17,5748 Tonopah Dr,San Jose,95123,3,2,1543,0.169,1968,2,Single Family Residence,980000
18,247 Beegum Way,San Jose,95123,3,2.5,1546,0.115,1963,2,Single Family Residence,999750
19,5894 Garces Ave,San Jose,95123,3,2,1072,0.142,1971,2,Single Family Residence,995000
20,6441 Oberlin Way,San Jose,95123,4,2.5,2386,0.132,1975,3,Single Family Residence,1088000
21,6218 Drifter Dr,San Jose,95123,4,2,1826,0.143,1966,2,Single Family Residence,995888
22,6230 Cahalan Ave,San Jose,95123,4,2.5,2283,0.702,1973,2,Single Family Residence,1788888
23,6032 Golden Vista Dr,San Jose,95123,4,2.5,2165,0.053,2015,2,Single Family Residence,1249000
24,383 Vale Dr,San Jose,95123,3,2,1143,0.194,1968,2,Single Family Residence,899000
25,5864 Paddon Cir,San Jose,95123,4,2,1846,0.141,1968,2,Single Family Residence,899000
26,5357 Cheris Ct,San Jose,95123,2,1,983,0.093,1978,2,Single Family Residence,759000
27,354 Colville Dr,San Jose,95123,3,2,1682,0.144,1968,2,Single Family Residence,929900
28,6205 Glendora Ct,San Jose,95123,3,2.5,1903,0.219,1971,2,Single Family Residence,1169000
29,5775 Cohasset Way,San Jose,95123,4,2,1400,0.127,1966,2,Single Family Residence,949950
30,5592 Cedar Garden Ct,San Jose,95123,3,2.5,1539,0.049,2003,2,Single Family Residence,799000
0,2194 Casa Mia Dr,San Jose,95124,3,2.5,1427,0.186,1956,2,Single Family Residence,1100000
1,1730 Foxworthy Ave,San Jose,95124,3,2,1454,0.115,1954,1,Single Family Residence,1098000
2,1838 Crowder Ave,San Jose,95124,3,2,1120,0.137,1960,2,Single Family Residence,1080000
3,1850 Charmeran Ave,San Jose,95124,3,2,1126,0.138,1959,2,Single Family Residence,1099999
4,1995 Assunta Way,San Jose,95124,3,2,1709,0.167,1958,2,Single Family Residence,1480000
5,3369 New Jersey Ave,San Jose,95124,3,2,1270,0.134,1955,2,Single Family Residence,1088000
6,4993 Agape Ct,San Jose,95124,3,2.5,1644,0.063,1996,2,Single Family Residence,1148800
7,2176 Blossom Crest Way,San Jose,95124,4,2,1870,0.192,1960,2,Single Family Residence,1899000
8,4016 La Mesa Ln,San Jose,95124,3,2,1320,0.14,1959,2,Single Family Residence,1150000
9,4093 Cranford Cir,San Jose,95124,4,2,1868,0.14,1977,2,Single Family Residence,1389888
10,1773 Branham Ln,San Jose,95124,4,2,1346,0.163,1956,2,Single Family Residence,898000
11,5134 Elrose Ave,San Jose,95124,5,2.5,2028,0.141,1968,2,Single Family Residence,1499000
12,1859 Laurinda Dr,San Jose,95124,4,2.5,2270,0.173,1958,2,Single Family Residence,1997000
13,3668 Irlanda Way,San Jose,95124,3,2,1504,0.173,1957,2,Single Family Residence,1345000
14,5944 Hosta Ln,San Jose,95124,5,3,2835,0.151,1981,2,Single Family Residence,1730000
15,2887 Custer Dr,San Jose,95124,3,2,1250,0.14,1954,2,Single Family Residence,1199999
16,2168 Rosswood Dr,San Jose,95124,3,2,1288,0.163,1956,2,Single Family Residence,1339000
17,2823 Quinto Way,San Jose,95124,3,2,1635,0.119,1954,2,Single Family Residence,1349000
18,3295 Fawn Dr,San Jose,95124,4,2.5,1618,0.162,1956,2,Single Family Residence,1290000
19,3472 Todd Way,San Jose,95124,3,2,1700,0.14,1959,2,Single Family Residence,1385000
20,2417 Hecate Pl,San Jose,95124,3,2.5,2064,0.106,1979,2,Single Family Residence,1333888
21,4098 Kirk Rd,San Jose,95124,4,2,1681,0.14,1971,2,Single Family Residence,1249000
22,3329 Kirk Rd,San Jose,95124,3,2,1283,0.139,1956,2,Single Family Residence,1079000
23,2283 Shelley Ave,San Jose,95124,4,2.5,2022,0.071,1979,2,Single Family Residence,1249000
24,14480 Jacksol Dr,San Jose,95124,3,2,1658,0.187,1948,2,Single Family Residence,1448000
25,2348 Meridian Ave,San Jose,95124,3,2,1770,0.161,1963,2,Single Family Residence,1215000
26,2449 Leigh Ave,San Jose,95124,4,2,1460,0.16,1961,2,Single Family Residence,1199000
27,14815 Los Gatos Almaden Rd,San Jose,95124,3,2,1444,0.435,1947,1,Single Family Residence,1698000
28,14817 Ronda Dr,San Jose,95124,3,1,1271,0.249,1950,1,Single Family Residence,1248000
29,1920 Dry Creek Rd,San Jose,95124,2,2,1642,0.386,1964,2,Single Family Residence,1998000
30,3940 Leigh Ave,San Jose,95124,3,2,1248,0.178,1958,2,Single Family Residence,1288000
0,1850 Hurst Ave,San Jose,95125,4,3,2348,0.215,1953,2,Single Family Residence,1699800
1,949 Wren Dr,San Jose,95125,4,2,1572,0.138,1968,2,Single Family Residence,1199000
2,1450 Darlene Ave,San Jose,95125,3,2,1130,0.174,1951,2,Single Family Residence,1150000
3,2384 Richland Ave,San Jose,95125,6,5.5,4410,0.222,2019,2,Single Family Residence,3298000
4,1162 Norval Way,San Jose,95125,3,1.5,1226,0.133,1950,1,Single Family Residence,1250000
5,1312 Glenwood Ave,San Jose,95125,4,3.5,2674,0.118,2015,0,Single Family Residence,1999995
6,1496 Minnesota Ave,San Jose,95125,4,3,2485,0.129,1957,2,Single Family Residence,1499000
7,1639 Glenfield Dr,San Jose,95125,3,2,1841,0.159,1961,2,Single Family Residence,1368000
8,203 Olive Hill Dr,San Jose,95125,3,2.5,2250,0.05,2004,2,Single Family Residence,1048000
9,1451 Glenwood Ave,San Jose,95125,5,4,4028,0.258,2001,2,Single Family Residence,2975000
10,1406 Callecita St,San Jose,95125,5,4,3805,0.256,2015,2,Single Family Residence,2850000
11,1731 Marina Way,San Jose,95125,3,2,1580,0.133,1956,2,Single Family Residence,1425000
12,2891 Westgate Ave,San Jose,95125,3,2,1600,0.161,1956,1,Single Family Residence,1250000
13,1679 Juanita Ave,San Jose,95125,4,4.5,3630,0.163,2002,2,Single Family Residence,2569000
14,1105 Lincoln Ct,San Jose,95125,2,1,1058,0.092,1939,2,Single Family Residence,1150000
15,1334 Britton Ave,San Jose,95125,4,3.5,3562,0.275,2005,2,Single Family Residence,3180000
16,1579 Alisal Ave,San Jose,95125,4,3,1628,0.172,1963,2,Single Family Residence,1349000
17,1127 Doralee Way,San Jose,95125,5,5,4025,0.217,2019,3,Single Family Residence,2975000
18,2934 Cherry Ave,San Jose,95125,3,2.5,2110,0.185,1955,2,Single Family Residence,1398000
19,954 Desmet Way,San Jose,95125,3,2.5,2069,0.071,2000,2,Single Family Residence,1275000
20,1896 Ellen Ave,San Jose,95125,3,1,1400,0.124,1948,2,Single Family Residence,1299000
21,2815 Rubino Cir,San Jose,95125,3,2.5,1889,0.083,1999,2,Single Family Residence,1210000
22,1516 Wendy Way,San Jose,95125,4,2,1840,0.194,1969,2,Single Family Residence,1775000
23,1676 Guadalupe,San Jose,95125,3,2,1586,0.146,1941,1,Single Family Residence,1098800
24,1378 Fulai Ct,San Jose,95125,5,4.5,4033,0.185,2005,3,Single Family Residence,2495000
25,1525 Keesling Ave,San Jose,95125,3,2,1263,0.305,1938,0,Single Family Residence,1499000
26,1561 Santa Inez Dr,San Jose,95125,4,3,2678,0.204,1956,2,Single Family Residence,2395000
27,1635 Everett Ave,San Jose,95125,3,2,1547,0.136,1936,1,Single Family Residence,1498000
28,388 Perrymont Ave,San Jose,95125,3,2,1233,0.166,1942,0,Single Family Residence,898000
29,1537 Dry Creek Rd,San Jose,95125,4,3,2587,0.222,1971,3,Single Family Residence,2148000
30,1215 Fairview Ave,San Jose,95125,4,3.5,3008,0.145,2019,2,Single Family Residence,2799900
0,2681 Flintwood Ct,San Jose,95148,3,1,1120,0.148,1973,2,Single Family Residence,859888
1,4054 Lakeside Dr,San Jose,95148,5,3,2609,0.141,1996,2,Single Family Residence,1662000
2,3291 Selva Dr,San Jose,95148,4,3,2125,0.14,1965,2,Single Family Residence,898888
3,2530 Sugarplum Dr,San Jose,95148,4,2,1554,0.151,1971,2,Single Family Residence,899900
4,3432 Pinotin Ct,San Jose,95148,3,2,1896,0.165,2003,2,Single Family Residence,1298000
5,2751 Britt Ct,San Jose,95148,5,3,1968,0.137,1985,2,Single Family Residence,950000
6,2635 Glen Ferguson Cir,San Jose,95148,5,3,2533,0.146,1986,3,Single Family Residence,1250000
7,3559 Corsica Ct,San Jose,95148,5,4.5,4089,0.149,2004,3,Single Family Residence,2198000
8,3277 Prado Ln,San Jose,95148,4,2,1800,0.141,1965,2,Single Family Residence,939000
9,3277 Prado Ln,San Jose,95148,4,2,1800,0.141,1965,2,Single Family Residence,939000
10,3409 Pin Oak Ct,San Jose,95148,4,2,2036,0.24,1978,2,Single Family Residence,1249888
11,2683 Glen Doon Ct,San Jose,95148,4,2.5,2113,0.141,1988,2,Single Family Residence,1099888
12,3553 Cour De Jeune,San Jose,95148,4,2.5,2263,0.193,1996,2,Single Family Residence,1648000
13,3660 Pleasant Knoll Ct,San Jose,95148,5,5.5,8256,12.693,2019,3,Single Family Residence,3500000
14,3260 San Rivas Dr,San Jose,95148,3,2,1601,0.162,1973,2,Single Family Residence,998888
15,2511 Scottsdale Dr,San Jose,95148,5,3,2533,0.165,1988,3,Single Family Residence,1299299
16,3461 Rio Bravo Dr,San Jose,95148,4,2,1918,0.149,1972,2,Single Family Residence,999888
17,3402 Gila Dr,San Jose,95148,4,2.5,1973,0.168,1967,2,Single Family Residence,950000
18,3375 Thrift Pl,San Jose,95148,3,2,1501,0.137,1986,2,Single Family Residence,998888
19,2680 Flint Ave,San Jose,95148,4,2.5,2112,0.16,1969,2,Single Family Residence,1298000
20,3397 Tully Rd,San Jose,95148,3,2,1288,0.166,1969,2,Single Family Residence,899999
21,Kohler Rd,San Jose,95148,4,2.5,1973,0.145,1968,2,Single Family Residence,1089888
22,3467 Rio Bravo Dr,San Jose,95148,4,3,1771,0.153,1972,2,Single Family Residence,1095000
0,1324 Davis St,San Jose,95126,2,2,1243,0.099,1924,1,Single Family Residence,1050000
1,870 W Taylor St,San Jose,95126,2,1,924,0.178,1900,0,Single Family Residence,1070000
2,61 N Willard Ave,San Jose,95126,2,1,1048,0.133,1925,3,Single Family Residence,899000
3,1830 Heatherdale Ave,San Jose,95126,4,3,2602,0.207,1946,2,Single Family Residence,1998000
4,1194 Magnolia Ave,San Jose,95126,4,3.5,4536,0.195,1989,2,Single Family Residence,1888000
5,1354 Fremont St,San Jose,95126,3,3.5,1909,0.136,1910,2,Single Family Residence,1688000
6,1330 Hester Ave,San Jose,95126,3,2,1635,0.092,1926,0,Single Family Residence,1199000
7,1974 Emory St,San Jose,95126,3,2,2167,0.162,1940,2,Single Family Residence,1550000
8,1276 Hanchett Ave,San Jose,95126,0,0,3132,0.247,1923,2,Single Family Residence,1499000
9,844 Denardi Way,San Jose,95126,5,3.5,2652,0.068,2014,2,Single Family Residence,1750000
10,1580 Willowhaven Ct,San Jose,95126,2,2,1080,0.078,1978,2,Single Family Residence,914950
11,1241 University Ave,San Jose,95126,5,3.5,4198,0.25,1982,3,Single Family Residence,2398000
12,1144 Hester Ave,San Jose,95126,3,2.5,1496,0.177,1904,2,Single Family Residence,1248888
13,1453 Naglee Ave,San Jose,95126,3,2.5,2273,0.167,2000,2,Single Family Residence,1595000
14,1081 Morse St,San Jose,95126,4,3,2002,0.133,1928,2,Single Family Residence,1728000
15,379 Page St,San Jose,95126,4,4,1586,0.141,1937,0,Single Family Residence,1298000
16,1893 Park Ave,San Jose,95126,3,2.5,2127,0.095,2005,2,Single Family Residence,1588000
17,1893 Park Ave,San Jose,95126,3,2.5,2127,0.093,2005,2,Single Family Residence,1588000
18,677 Elm St,San Jose,95126,2,1,757,0.091,1910,1,Single Family Residence,1180000
19,1260 Randol Ave,San Jose,95126,5,5.5,4508,0.296,2019,3,Single Family Residence,2995000
20,2072 The Alameda,San Jose,95126,4,1.5,2768,0.143,1925,0,Single Family Residence,1199000
0,10473 Observatory Dr,San Jose,95127,5,2.5,2360,0.162,1996,0,Single Family Residence,1148000
1,3054 Florence Ave,San Jose,95127,3,1,1326,0.4,1920,1,Single Family Residence,1099000
2,683 N White Rd,San Jose,95127,3,2,1698,0.154,1971,2,Single Family Residence,999000
3,222 Ridge Vista Ave,San Jose,95127,2,1,625,0.188,1920,1,Single Family Residence,749500
4,10337 Lochner Dr,San Jose,95127,3,2,997,0.121,1956,0,Single Family Residence,715000
5,1416 Berksford Way,San Jose,95127,3,2,1188,0.118,1955,2,Single Family Residence,739000
6,639 N White Rd,San Jose,95127,4,3,1744,0.159,1968,2,Single Family Residence,925000
7,262 Prairiewood Ct,San Jose,95127,4,2.5,1609,0.109,1989,2,Single Family Residence,929999
8,258 Challenger Ave,San Jose,95127,3,2,1281,0.134,1959,2,Single Family Residence,840000
9,14936 San Pablo Ave,San Jose,95127,3,2.5,1565,0.167,1959,2,Single Family Residence,1099000
10,384 Mccovey Ln,San Jose,95127,3,2,1756,0.167,1960,0,Single Family Residence,899950
11,3054 Florence Ave,San Jose,95127,3,1,1326,0.403,1920,2,Single Family Residence,1099950
12,404 Photinia Ln,San Jose,95127,4,3,3360,0.837,1949,2,Single Family Residence,1249000
13,10068 Clayton Rd,San Jose,95127,3,3.5,1862,0.296,1952,2,Single Family Residence,999000
14,1569 Hillmont Ave,San Jose,95127,3,2,1228,0.121,1961,2,Single Family Residence,690000
15,593 Toyon Ave,San Jose,95127,4,2,1554,0.14,1973,2,Single Family Residence,749999
16,276 Mahoney Dr,San Jose,95127,2,1,1069,0.224,1949,0,Single Family Residence,629000
17,13602 Westboro Dr,San Jose,95127,3,1,1056,0.125,1951,2,Single Family Residence,764888
18,10806 Hubbard Way,San Jose,95127,3,3,1536,0.185,1976,2,Single Family Residence,879000
19,1647 Mcginness Avenue,San Jose,95127,3,2,1120,0.115,1960,2,Single Family Residence,760000
20,10270 Ashdale Dr,San Jose,95127,2,1,797,0.139,1952,1,Single Family Residence,599000
21,476 Fleming Ave,San Jose,95127,2,1,924,0.254,1949,1,Single Family Residence,759500
22,15950 Alta Vista Way,San Jose,95127,3,3,2265,0.236,1978,2,Single Family Residence,1249999
23,262 Chalet,San Jose,95127,3,2,1700,0.132,1959,2,Single Family Residence,885000
24,262 Chalet Ave,San Jose,95127,3,2,1700,0.132,1959,2,Single Family Residence,885000
25,10983 Edgemont Dr,San Jose,95127,4,3,2554,0.218,1930,2,Single Family Residence,1495000
26,1298 Fleming Ave,San Jose,95127,5,3,2877,0.198,2003,3,Single Family Residence,1498000
27,10850 Jilinda Ct,San Jose,95127,5,5,3147,0.338,1965,2,Single Family Residence,1498888
28,2729 El Monte Way,San Jose,95127,4,2,1353,0.136,1972,2,Single Family Residence,895000
29,339 Gordon Ave,San Jose,95127,3,3,2318,0.211,1952,2,Single Family Residence,1118800
30,10236 Dale Dr,San Jose,95127,4,2,1200,0.142,1951,1,Single Family Residence,699000
0,399 Irving Ave,San Jose,95128,2,1,954,0.092,1910,1,Single Family Residence,920000
1,465 Leland Ave,San Jose,95128,3,2,1160,0.094,1930,0,Single Family Residence,875000
2,477 Vaughn Ave,San Jose,95128,2,1,728,0.094,1925,1,Single Family Residence,799000
3,2558 Downing Ave,San Jose,95128,3,2,1415,0.136,1961,2,Single Family Residence,998000
4,1078 Lenor Way,San Jose,95128,3,2,1389,0.14,1962,2,Single Family Residence,1000000
5,1762 Scott St,San Jose,95128,3,2,1161,0.138,1950,2,Single Family Residence,898000
6,1135 S Genevieve Ln,San Jose,95128,5,3,3178,0.196,1964,2,Single Family Residence,1788000
7,791 Bellerose Dr,San Jose,95128,3,2,1692,0.218,1954,2,Single Family Residence,1495000
8,365 Patton Ave,San Jose,95128,2,2,1211,0.157,1947,2,Single Family Residence,1199000
9,353 Vaughn Ave,San Jose,95128,4,3,1747,0.092,1915,1,Single Family Residence,1298000
10,2167 Peachtree Ln,San Jose,95128,3,2,1604,0.131,1949,2,Single Family Residence,1600000
11,1657 Kingman Ave,San Jose,95128,3,2,1396,0.177,1964,2,Single Family Residence,1150000
12,2084 Leon Dr,San Jose,95128,3,2,1225,0.144,1955,2,Single Family Residence,999950
13,2844 Hemlock Ave,San Jose,95128,4,2.5,2122,0.062,1997,2,Single Family Residence,1698800
14,353 Vaughn Ave,San Jose,95128,4,3,1747,0.091,1915,1,Single Family Residence,1298000
15,1117 Greenbriar Ave,San Jose,95128,4,2,1856,0.153,1958,2,Single Family Residence,1399000
16,822 Corlista Dr,San Jose,95128,3,2,1204,0.134,1955,2,Single Family Residence,1150000
17,763 Corlista Dr,San Jose,95128,3,2,1201,0.132,1955,2,Single Family Residence,1099000
18,348 Halsey Ave,San Jose,95128,3,2,1860,0.155,2006,2,Single Family Residence,1485000
19,2391 Downing Ave,San Jose,95128,4,3.5,3010,0.157,1990,2,Single Family Residence,1775000
20,543 Leigh,San Jose,95128,4,1,1134,0.147,1950,0,Single Family Residence,895888
21,821 Menker Ave,San Jose,95128,3,2,1216,0.138,1953,2,Single Family Residence,1125000
22,2119 Roenoke Way,San Jose,95128,3,1.5,1272,0.163,1953,2,Single Family Residence,1049000
23,365 Bradley Ave,San Jose,95128,3,1,913,0.121,1948,0,Single Family Residence,968000
24,2283 Peachtree Ln,San Jose,95128,4,3,1893,0.175,1949,2,Single Family Residence,1798000
25,2428 Woodland Ave,San Jose,95128,4,2,1652,0.132,1950,0,Single Family Residence,1230000
26,889 Menker Ave,San Jose,95128,4,4,2538,0.127,1979,2,Single Family Residence,1399000
27,352 Arleta Ave,San Jose,95128,2,2,1120,0.092,1929,0,Single Family Residence,949000
0,4865 Rio Vista Ave,San Jose,95129,3,2,1249,0.126,1956,2,Single Family Residence,1595000
1,6685 Rainbow Dr,San Jose,95129,3,2,1237,0.167,1957,2,Single Family Residence,1698998
2,4983 Westdale Dr,San Jose,95129,4,2,1655,0.195,1965,2,Single Family Residence,1850000
3,4660 Williams Rd,San Jose,95129,4,3,2083,0.138,1963,2,Single Family Residence,1995000
4,4877 Borina Dr,San Jose,95129,4,2,1569,0.149,1961,2,Single Family Residence,1888750
5,5038 Rhonda Dr,San Jose,95129,5,3,2112,0.14,1959,1,Single Family Residence,1798000
6,1265 Petal Way,San Jose,95129,3,2,1430,0.169,1960,2,Single Family Residence,1899888
7,4329 Strawberry Park Dr,San Jose,95129,3,2,1645,0.141,1955,2,Single Family Residence,1798000
8,1120 Beaumont Dr,San Jose,95129,4,3,1880,0.137,1964,2,Single Family Residence,1788888
9,6617 Rainbow Dr,San Jose,95129,3,2,1698,0.139,1958,2,Single Family Residence,1988000
10,930 Cera Dr,San Jose,95129,3,2,1770,0.144,1959,2,Single Family Residence,1619000
11,5097 Capistrano Ave,San Jose,95129,3,2,1630,0.144,1957,2,Single Family Residence,1699000
12,7188 Sharon Dr,San Jose,95129,5,4.5,4083,0.246,1997,2,Single Family Residence,2988000
13,1546 Petersen Ave,San Jose,95129,4,2,1758,0.162,1960,2,Single Family Residence,1575000
14,5153 Bela Dr,San Jose,95129,3,2,1657,0.175,1958,2,Single Family Residence,1575000
15,5195 Shady Ave,San Jose,95129,5,4,2540,0.168,1959,2,Single Family Residence,2158000
16,5197 Doyle Rd,San Jose,95129,4,2.5,1617,0.149,1963,2,Single Family Residence,1598000
17,6966 Calabazas Creek Cir,San Jose,95129,4,3,3108,0.173,1993,3,Single Family Residence,2548000
18,1002 Oaktree Dr,San Jose,95129,3,2,1498,0.15,1964,2,Single Family Residence,1830000
19,4980 Augusta Way,San Jose,95129,4,2,1585,0.15,1959,2,Single Family Residence,1673000
20,4330 Strawberry Park Dr,San Jose,95129,3,1,1540,0.141,1955,0,Single Family Residence,1488888
21,1681 English Dr,San Jose,95129,3,2,1441,0.171,1959,2,Single Family Residence,1599000
0,2029 Woodglen Dr,San Jose,95130,5,3,2683,0.1,2005,2,Single Family Residence,1948000
1,4758 Alex Dr,San Jose,95130,4,2,1600,0.129,1963,2,Single Family Residence,1550000
2,4895 Vanderbilt Dr,San Jose,95130,3,2,1181,0.131,1963,2,Single Family Residence,1329788
3,4772 Bannock Cir,San Jose,95130,4,2,1322,0.186,1961,2,Single Family Residence,1380000
4,2554 Meta Dr,San Jose,95130,3,2,1380,0.144,1961,2,Single Family Residence,1425000
5,1350 Darryl Dr,San Jose,95130,2,1,905,0.072,1960,1,Single Family Residence,829000
0,1040 Banyan Ct,San Jose,95131,4,2.5,2150,0.137,2007,2,Single Family Residence,1480000
1,2217 Charger Dr,San Jose,95131,4,2,1530,0.149,1971,2,Single Family Residence,1050000
2,1918 Orolette Pl,San Jose,95131,4,2,2206,0.145,1981,2,Single Family Residence,1399000
3,1726 River Birch Dr,San Jose,95131,3,2.5,1478,0.072,1985,2,Single Family Residence,998000
4,1726 River Birch Dr,San Jose,95131,3,2.5,1478,0.072,1985,2,Single Family Residence,998000
5,2211 Ladymuir Ct,San Jose,95131,3,2,1646,0.199,1972,2,Single Family Residence,1188000
6,2014 Wizard Ct,San Jose,95131,3,2,1740,0.138,1971,2,Single Family Residence,1188888
7,2014 Wizard Ct,San Jose,95131,3,2,1740,0.138,1971,2,Single Family Residence,1188888
8,1633 Shore Dr,San Jose,95131,3,2.5,2098,0.076,2014,2,Single Family Residence,1448000
0,1241 Lodestone Dr,San Jose,95132,4,1.5,1125,0.14,1970,2,Single Family Residence,1048000
1,2667 Autumnvale Dr,San Jose,95132,3,2.5,1248,0.091,1973,2,Single Family Residence,898000
2,3106 Leisure Ct,San Jose,95132,4,2.5,2510,0.184,1971,2,Single Family Residence,1499999
3,1780 Queenstown Dr,San Jose,95132,3,2,1577,0.161,1972,2,Single Family Residence,949500
4,2833 Babe Ruth Dr,San Jose,95132,4,2,1457,0.145,1973,2,Single Family Residence,1178000
5,3645 Bloomsbury Way,San Jose,95132,3,2,1372,0.183,1976,2,Single Family Residence,1288018
6,3157 Balmoral Dr,San Jose,95132,4,2,1480,0.163,1975,2,Single Family Residence,1389000
7,15221 Camelot Dr,San Jose,95132,4,3,2545,1.03,1958,2,Single Family Residence,1499000
8,15221 Camelot Dr,San Jose,95132,4,3,2545,1.033,1958,1,Single Family Residence,1499000
9,1243 Gehrig Ave,San Jose,95132,3,2,1460,0.14,1962,2,Single Family Residence,1260000
10,3398 Mira Vista Cir,San Jose,95132,4,2,1645,0.151,1966,2,Single Family Residence,1188000
11,3050 Crater Ln,San Jose,95132,4,2,1305,0.138,1972,2,Single Family Residence,1180000
12,2194 Bristolwood Ln,San Jose,95132,6,2.5,2020,0.152,1964,1,Single Family Residence,1250000
13,2802 Agua Vista Dr,San Jose,95132,4,2,1769,0.142,1972,2,Single Family Residence,1298000
14,2976 Lugano Way,San Jose,95132,3,2,1513,0.16,1970,2,Single Family Residence,1198888
15,2692 Camino Del Rey,San Jose,95132,4,2,1480,0.144,1977,2,Single Family Residence,1048000
16,2946 Cohansey Dr,San Jose,95132,3,2,1084,0.147,1970,2,Single Family Residence,1185000
