,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude,SF time,PA time,School score,Commute time
902,626 Banks St,San Francisco,CA,94110,898000,2,1,825,1742,37.735494,-122.413188,17,68,31.3,17
903,173 Anderson St,San Francisco,CA,94110,1150000,4,1.5,1494,1742,37.740661,-122.414956,17,68,31.3,17
904,226 Richland Ave,San Francisco,CA,94110,1500000,2,1,1430,2614,37.735661,-122.422226,17,68,31.3,17
905,373 Moultrie St,San Francisco,CA,94110,1295000,2,1.5,,1742,37.739351,-122.415681,17,68,31.3,17
906,276 Ripley St,San Francisco,CA,94110,4200000,4,3.5,,6098,37.74407,-122.409135,17,68,31.3,17
907,1225 San Bruno Ave,San Francisco,CA,94110,1199000,2,1,930,1742,37.753603,-122.40414,17,68,31.3,17
908,324 Rutledge St,San Francisco,CA,94110,1898000,4,3.5,1733,2614,37.745131,-122.40981,17,68,31.3,17
909,151 Liberty St,San Francisco,CA,94110,8600000,6,4.5,5085,3049,37.757384,-122.424479,17,68,31.3,17
910,156 Bonview St,San Francisco,CA,94110,999000,2,1,750,1742,37.741806,-122.417854,17,68,31.3,17
911,540 Shotwell St,San Francisco,CA,94110,1599000,4,3,1801,3485,37.759773,-122.416186,17,68,31.3,17
912,122 Brewster St,San Francisco,CA,94110,1695000,4,3,2333,1742,37.744752,-122.407142,17,68,31.3,17
913,400 Franconia St,San Francisco,CA,94110,1800000,5,4.5,4845,6534,37.74349,-122.407925,17,68,31.3,17
914,45 Montcalm St,San Francisco,CA,94110,1425000,2,2,1275,1873,37.747144,-122.405778,17,68,31.3,17
915,1328 York St,San Francisco,CA,94110,1650000,3,1,1200,2596,37.750733,-122.408266,17,68,31.3,17
916,48 Fair Ave,San Francisco,CA,94110,1495000,3,2,1582,1742,37.74513,-122.419193,17,68,31.3,17
917,2975 Harrison St,San Francisco,CA,94110,1549000,2,1,1200,2614,37.74992,-122.411323,17,68,31.3,17
918,3336 23rd St,San Francisco,CA,94110,3195000,3,3.5,2668,2178,37.753986,-122.419406,17,68,31.3,17
919,32-A Elsie St,San Francisco,CA,94110,2395000,4,2.5,2231,1742,37.744371,-122.416888,17,68,31.3,17
920,39 Virginia Ave,San Francisco,CA,94110,1439000,2,1,1434,1742,37.743022,-122.420738,17,68,31.3,17
921,33 Stoneman St,San Francisco,CA,94110,1899000,3,3,2170,1742,37.744882,-122.414489,17,68,31.3,17
922,154 Bonview St,San Francisco,CA,94110,2725000,3,2.5,1875,2614,37.741867,-122.417815,17,68,31.3,17
923,114 Virginia Ave,San Francisco,CA,94110,2750000,5,4,2570,1742,37.742308,-122.419974,17,68,31.3,17
924,100 Gates St,San Francisco,CA,94110,2400000,3,4,2120,1742,37.741443,-122.414021,17,68,31.3,17
925,76 Cortland Ave,San Francisco,CA,94110,1849000,3,2.5,1392,1250,37.740256,-122.421363,17,68,31.3,17
926,489 Madrid St,San Francisco,CA,94112,740500,2,1,1900,2496,37.721717,-122.432388,30,70,33.1,30
927,14 Edna St,San Francisco,CA,94112,925000,1,1,1145,2614,37.726924,-122.446276,30,70,33.1,30
928,211 Miramar Ave,San Francisco,CA,94112,950000,2,2,1750,3049,37.722231,-122.458498,30,70,33.1,30
929,363 Howth St,San Francisco,CA,94112,899000,3,1,1635,3049,37.718802,-122.451898,30,70,33.1,30
930,27 Stoneybrook Ave,San Francisco,CA,94112,899000,3,1,1016,2178,37.730615,-122.421503,30,70,33.1,30
931,210 Faxon Ave,San Francisco,CA,94112,758000,2,1,852,1873,37.718466,-122.45996,30,70,33.1,30
932,73 Danton St,San Francisco,CA,94112,765000,2,1,960,2614,37.731348,-122.432192,30,70,33.1,30
933,33 Sadowa St,San Francisco,CA,94112,1900000,2,1,4955,6098,37.712073,-122.455334,30,70,33.1,30
934,461 Capistrano Ave,San Francisco,CA,94112,1150000,3,2,1421,2614,37.724628,-122.438926,30,70,33.1,30
935,2691 Alemany Blvd,San Francisco,CA,94112,899000,2,1,1238,1742,37.713811,-122.448529,30,70,33.1,30
936,105 Vienna St,San Francisco,CA,94112,705000,2,1,924,1742,37.726431,-122.425616,30,70,33.1,30
937,147 Gladstone Dr,San Francisco,CA,94112,899000,2,2,,,37.729146,-122.422007,30,70,33.1,30
938,531 Paris St,San Francisco,CA,94112,850000,6,5,1667,2500,37.720073,-122.435805,30,70,33.1,30
939,342 Lisbon St,San Francisco,CA,94112,1298000,3,3,2480,2614,37.722985,-122.433203,30,70,33.1,30
940,226 Trumbull St,San Francisco,CA,94112,699000,2,1,1025,2614,37.730689,-122.425479,30,70,33.1,30
941,130 Josiah Ave,San Francisco,CA,94112,848000,2,2,,2614,37.717562,-122.453906,30,70,33.1,30
942,349 Winding Way,San Francisco,CA,94112,1895000,4,5,3569,4356,37.709146,-122.437661,30,70,33.1,30
943,342 Delano Ave,San Francisco,CA,94112,1150000,3,3,2224,3049,37.723853,-122.443129,30,70,33.1,30
944,355 Granada Ave,San Francisco,CA,94112,1295000,3,2,,,37.724938,-122.457546,30,70,33.1,30
945,360 London St,San Francisco,CA,94112,1195000,3,2.5,1744,2614,37.723454,-122.435027,30,70,33.1,30
946,666 Geneva Ave,San Francisco,CA,94112,1350000,4,2.5,1522,1742,37.71915,-122.444324,30,70,33.1,30
947,546 Paris St,San Francisco,CA,94112,899000,2,1,1250,2614,37.720196,-122.436399,30,70,33.1,30
948,120 Brunswick St,San Francisco,CA,94112,899000,2,1,1182,2614,37.711785,-122.439549,30,70,33.1,30
949,300 College Ave,San Francisco,CA,94112,1885000,3,2,1950,3920,37.734368,-122.424121,30,70,33.1,30
950,355 Ney St,San Francisco,CA,94112,749950,2,1,862,1742,37.730711,-122.423468,30,70,33.1,30
951,126 Ashton Ave,San Francisco,CA,94112,1065000,3,2,1721,2614,37.720547,-122.461942,30,70,33.1,30
952,174 Majestic Ave,San Francisco,CA,94112,899000,3,2,1356,2614,37.715969,-122.45309,30,70,33.1,30
953,39 Chicago Way,San Francisco,CA,94112,898888,2,1,990,3485,37.710199,-122.429008,30,70,33.1,30
954,242 Minerva St,San Francisco,CA,94112,1128000,4,4,,3049,37.716001,-122.460692,30,70,33.1,30
955,572 Cordova St,San Francisco,CA,94112,899000,2,1,1137,2614,37.708549,-122.434563,30,70,33.1,30
956,2217 San Jose Ave,San Francisco,CA,94112,998000,2,1.5,900,2614,37.72124,-122.445784,30,70,33.1,30
957,28 Liebig St,San Francisco,CA,94112,1295000,8,3,2665,3920,37.708594,-122.455922,30,70,33.1,30
958,275 Santa Rosa Ave,San Francisco,CA,94112,1499126,5,2,1393,4356,37.728426,-122.4397,30,70,33.1,30
959,125 Margaret Ave,San Francisco,CA,94112,998000,4,2,1502,2614,37.716863,-122.452751,30,70,33.1,30
960,218 Thrift St,San Francisco,CA,94112,949000,2,1,1150,3049,37.717711,-122.459844,30,70,33.1,30
961,412 College Ave,San Francisco,CA,94112,1599000,3,2,1650,3920,37.733251,-122.423962,30,70,33.1,30
962,212 Sagamore St,San Francisco,CA,94112,1095000,4,2,1501,3049,37.711693,-122.459438,30,70,33.1,30
963,330 Edna St,San Francisco,CA,94112,1575000,5,2,2265,2614,37.72956,-122.446293,30,70,33.1,30
964,14 Edna St,San Francisco,CA,94112,925000,1,1,1145,2614,37.726924,-122.446276,30,70,33.1,30
965,489 Madrid St,San Francisco,CA,94112,740500,2,1,1900,2496,37.721717,-122.432388,30,70,33.1,30
966,461 Capistrano Ave,San Francisco,CA,94112,1150000,3,2,1421,2614,37.724628,-122.438926,30,70,33.1,30
967,531 Paris St,San Francisco,CA,94112,850000,6,5,1667,2500,37.720073,-122.435805,30,70,33.1,30
968,27 Stoneybrook Ave,San Francisco,CA,94112,899000,3,1,1016,2178,37.730615,-122.421503,30,70,33.1,30
969,210 Faxon Ave,San Francisco,CA,94112,758000,2,1,852,1873,37.718466,-122.45996,30,70,33.1,30
970,300 College Ave,San Francisco,CA,94112,1885000,3,2,1950,3920,37.734368,-122.424121,30,70,33.1,30
971,363 Howth St,San Francisco,CA,94112,899000,3,1,1635,3049,37.718802,-122.451898,30,70,33.1,30
972,360 London St,San Francisco,CA,94112,1195000,3,2.5,1744,2614,37.723454,-122.435027,30,70,33.1,30
973,28 Liebig St,San Francisco,CA,94112,1295000,8,3,2665,3920,37.708594,-122.455922,30,70,33.1,30
974,211 Miramar Ave,San Francisco,CA,94112,950000,2,2,1750,3049,37.722231,-122.458498,30,70,33.1,30
975,412 College Ave,San Francisco,CA,94112,1599000,3,2,1650,3920,37.733251,-122.423962,30,70,33.1,30
976,349 Winding Way,San Francisco,CA,94112,1895000,4,5,3569,4356,37.709146,-122.437661,30,70,33.1,30
977,73 Danton St,San Francisco,CA,94112,765000,2,1,960,2614,37.731348,-122.432192,30,70,33.1,30
978,126 Ashton Ave,San Francisco,CA,94112,1065000,3,2,1721,2614,37.720547,-122.461942,30,70,33.1,30
979,572 Cordova St,San Francisco,CA,94112,899000,2,1,1137,2614,37.708549,-122.434563,30,70,33.1,30
980,33 Sadowa St,San Francisco,CA,94112,1900000,2,1,4955,6098,37.712073,-122.455334,30,70,33.1,30
981,666 Geneva Ave,San Francisco,CA,94112,1350000,4,2.5,1522,1742,37.71915,-122.444324,30,70,33.1,30
982,147 Gladstone Dr,San Francisco,CA,94112,899000,2,2,,,37.729146,-122.422007,30,70,33.1,30
983,342 Lisbon St,San Francisco,CA,94112,1298000,3,3,2480,2614,37.722985,-122.433203,30,70,33.1,30
984,226 Trumbull St,San Francisco,CA,94112,699000,2,1,1025,2614,37.730689,-122.425479,30,70,33.1,30
985,330 Edna St,San Francisco,CA,94112,1575000,5,2,2265,2614,37.72956,-122.446293,30,70,33.1,30
986,105 Vienna St,San Francisco,CA,94112,705000,2,1,924,1742,37.726431,-122.425616,30,70,33.1,30
987,2217 San Jose Ave,San Francisco,CA,94112,998000,2,1.5,900,2614,37.72124,-122.445784,30,70,33.1,30
988,275 Santa Rosa Ave,San Francisco,CA,94112,1499126,5,2,1393,4356,37.728426,-122.4397,30,70,33.1,30
989,120 Brunswick St,San Francisco,CA,94112,899000,2,1,1182,2614,37.711785,-122.439549,30,70,33.1,30
990,355 Granada Ave,San Francisco,CA,94112,1295000,3,2,,,37.724938,-122.457546,30,70,33.1,30
991,130 Josiah Ave,San Francisco,CA,94112,848000,2,2,,2614,37.717562,-122.453906,30,70,33.1,30
992,342 Delano Ave,San Francisco,CA,94112,1150000,3,3,2224,3049,37.723853,-122.443129,30,70,33.1,30
993,2691 Alemany Blvd,San Francisco,CA,94112,899000,2,1,1238,1742,37.713811,-122.448529,30,70,33.1,30
994,242 Minerva St,San Francisco,CA,94112,1128000,4,4,,3049,37.716001,-122.460692,30,70,33.1,30
995,355 Ney St,San Francisco,CA,94112,749950,2,1,862,1742,37.730711,-122.423468,30,70,33.1,30
996,174 Majestic Ave,San Francisco,CA,94112,899000,3,2,1356,2614,37.715969,-122.45309,30,70,33.1,30
997,218 Thrift St,San Francisco,CA,94112,949000,2,1,1150,3049,37.717711,-122.459844,30,70,33.1,30
998,39 Chicago Way,San Francisco,CA,94112,898888,2,1,990,3485,37.710199,-122.429008,30,70,33.1,30
999,125 Margaret Ave,San Francisco,CA,94112,998000,4,2,1502,2614,37.716863,-122.452751,30,70,33.1,30
1000,546 Paris St,San Francisco,CA,94112,899000,2,1,1250,2614,37.720196,-122.436399,30,70,33.1,30
1001,212 Sagamore St,San Francisco,CA,94112,1095000,4,2,1501,3049,37.711693,-122.459438,30,70,33.1,30
1002,4277 23rd St,San Francisco,CA,94114,1595000,2,1,,2614,37.752414,-122.438024,14,78,35.7,14
1003,4144 23rd St,San Francisco,CA,94114,1595000,2,1.5,1320,2848,37.753072,-122.435327,14,78,35.7,14
1004,740 Diamond St,San Francisco,CA,94114,1995000,3,1.5,,,37.751326,-122.436589,14,78,35.7,14
1005,446 Hill St,San Francisco,CA,94114,2895000,4,3,2137,3049,37.755736,-122.431124,14,78,35.7,14
1006,3767 23rd St,San Francisco,CA,94114,2995000,4,3,2491,2178,37.753126,-122.426866,14,78,35.7,14
1007,1081 Church St,San Francisco,CA,94114,1995000,3,3,,1742,37.753633,-122.427351,14,78,35.7,14
1008,52 Caselli Ave,San Francisco,CA,94114,1680000,3,1,1250,3023,37.759963,-122.440546,14,78,35.7,14
1009,4406 24th St,San Francisco,CA,94114,1585000,2,1,1011,1742,37.751061,-122.440866,14,78,35.7,14
1010,42 Graystone Ter,San Francisco,CA,94114,2150000,3,2.5,2600,2614,37.75843,-122.447619,14,78,35.7,14
1011,51 Ord St,San Francisco,CA,94114,3600000,4,4,,1942,37.762993,-122.440018,14,78,35.7,14
1012,617 Elizabeth St,San Francisco,CA,94114,1595000,3,1.5,1380,2614,37.751821,-122.434637,14,78,35.7,14
1013,4127 20th St,San Francisco,CA,94114,3495000,4,2.5,,3049,37.757534,-122.433159,14,78,35.7,14
1014,4376 17th St,San Francisco,CA,94114,3295000,3,3.5,,2178,37.762245,-122.442614,14,78,35.7,14
1015,639 Grand View Ave,San Francisco,CA,94114,3395000,3,3.5,3660,3920,37.750073,-122.442345,14,78,35.7,14
1016,4310 23rd St,San Francisco,CA,94114,2795000,4,3.5,,,37.752843,-122.439144,14,78,35.7,14
1017,258 Caselli Ave,San Francisco,CA,94114,2595000,5,3.5,2832,1742,37.759269,-122.443893,14,78,35.7,14
1018,24 Clarendon Ave,San Francisco,CA,94114,4400000,4,3.5,4437,4356,37.759132,-122.449312,14,78,35.7,14
1019,4642 19th St,San Francisco,CA,94114,1985000,2,1.5,1800,2178,37.759175,-122.441529,14,78,35.7,14
1020,564 Liberty St,San Francisco,CA,94114,2995000,4,3,2845,3049,37.75718,-122.433833,14,78,35.7,14
1021,170 Palo Alto Ave,San Francisco,CA,94114,2914250,4,3,2683,6098,37.756996,-122.449991,14,78,35.7,14
1022,52 Clarendon Ave,San Francisco,CA,94114,4295000,3,5,3730,2614,37.759048,-122.450222,14,78,35.7,14
1023,571 Noe St,San Francisco,CA,94114,4200000,3,3.5,,2614,37.759912,-122.43236,14,78,35.7,14
1024,4273 22nd St,San Francisco,CA,94114,1995000,3,2,1795,3049,37.753893,-122.440286,14,78,35.7,14
1025,52 Yukon St,San Francisco,CA,94114,2988000,5,3.5,2938,2287,37.758749,-122.442405,14,78,35.7,14
1026,140 Clarendon Ave,San Francisco,CA,94114,4995000,4,3.5,4350,6970,37.758589,-122.452371,14,78,35.7,14
1027,688 Clipper St,San Francisco,CA,94114,2800000,4,3.5,2388,3523,37.74883,-122.439962,14,78,35.7,14
1028,2104 Divisadero St,San Francisco,CA,94115,3895000,4,3,2740,2178,37.789302,-122.440403,17,80,46.6,17
1029,2787 Pine St,San Francisco,CA,94115,1650000,4,4,2244,2178,37.786721,-122.441564,17,80,46.6,17
1030,2440 Scott St,San Francisco,CA,94115,5995000,4,3.5,4392,2614,37.792403,-122.439368,17,80,46.6,17
1031,1960 Golden Gate Ave,San Francisco,CA,94115,2299000,3,3,,2614,37.778365,-122.443237,17,80,46.6,17
1032,145 Presidio Ave,San Francisco,CA,94115,7495000,4,4.5,4701,,37.790185,-122.447635,17,80,46.6,17
1033,2148 Pine St,San Francisco,CA,94115,4200000,4,3.5,3539,3485,37.788549,-122.431195,17,80,46.6,17
1034,2115 Bush St,San Francisco,CA,94115,5250000,4,4.5,3500,4356,37.786868,-122.432399,17,80,46.6,17
1035,2406 Bush St,San Francisco,CA,94115,3500000,3,3,2375,2614,37.786796,-122.437057,17,80,46.6,17
1036,1335 Divisadero St,San Francisco,CA,94115,2495000,4,2.5,2124,2614,37.781982,-122.43953,17,80,46.6,17
1037,2094 Bush St,San Francisco,CA,94115,2790000,3,2.5,2346,2060,37.787466,-122.431702,17,80,46.6,17
1038,2814 Clay St,San Francisco,CA,94115,3995000,6,4.5,,3920,37.790254,-122.439923,17,80,46.6,17
1039,464 Dewey Blvd,San Francisco,CA,94116,1199000,3,1.5,,,37.746411,-122.460754,38,78,70.2,38
1040,2662 46th Ave,San Francisco,CA,94116,1038000,2,2,900,3049,37.73689,-122.503949,38,78,70.2,38
1041,2563 47th Ave,San Francisco,CA,94116,995000,2,1,878,3049,37.738682,-122.505806,38,78,70.2,38
1042,2621 24th Ave,San Francisco,CA,94116,1149500,2,1,1160,3049,37.738588,-122.481081,38,78,70.2,38
1043,1845 Pacheco St,San Francisco,CA,94116,1298888,3,2,1951,2060,37.750151,-122.480294,38,78,70.2,38
1044,2111 21st Ave,San Francisco,CA,94116,1095000,2,1.5,1800,2178,37.74826,-122.478488,38,78,70.2,38
1045,2631 Ulloa St,San Francisco,CA,94116,1498000,4,4,2087,1307,37.740636,-122.484763,38,78,70.2,38
1046,2127 42nd Ave,San Francisco,CA,94116,788000,2,1,1162,3049,37.746989,-122.501017,38,78,70.2,38
1047,3326 Vicente St,San Francisco,CA,94116,1095000,3,2,1549,2614,37.738368,-122.502768,38,78,70.2,38
1048,2783 41st Ave,San Francisco,CA,94116,995000,2,1,1012,1307,37.734884,-122.499072,38,78,70.2,38
1049,2531 Pacheco St,San Francisco,CA,94116,925000,2,1,1175,2614,37.749765,-122.487487,38,78,70.2,38
1050,2179 27th Ave,San Francisco,CA,94116,1350000,2,1,1400,3049,37.746809,-122.484883,38,78,70.2,38
1051,2122 14th Ave,San Francisco,CA,94116,2498000,6,4.5,4144,,37.748482,-122.470264,38,78,70.2,38
1052,2210 45th Ave,San Francisco,CA,94116,898000,2,1,973,2178,37.745272,-122.503514,38,78,70.2,38
1053,2005 21st Ave,San Francisco,CA,94116,1388000,3,3,1705,2178,37.75019,-122.478624,38,78,70.2,38
1054,468 Dewey Blvd,San Francisco,CA,94116,1595000,3,1.5,1620,3920,37.746335,-122.460852,38,78,70.2,38
1055,2546 28th Ave,San Francisco,CA,94116,1595000,4,4,2190,3049,37.739881,-122.484814,38,78,70.2,38
1056,2195 42nd Ave,San Francisco,CA,94116,1249000,5,5,1687,1742,37.745827,-122.50085,38,78,70.2,38
1057,2695 23rd Ave,San Francisco,CA,94116,1700000,4,3,1525,2614,37.737406,-122.479877,38,78,70.2,38
1058,2828 Wawona St,San Francisco,CA,94116,1196000,3,2,1475,2500,37.736732,-122.497321,38,78,70.2,38
1059,3015 Ulloa St,San Francisco,CA,94116,1389000,5,2.5,1881,3049,37.740353,-122.488774,38,78,70.2,38
1060,2611 20th Ave,San Francisco,CA,94116,995000,2,1,1048,2178,37.738985,-122.476745,38,78,70.2,38
1061,2775 40th Ave,San Francisco,CA,94116,1495000,4,3,1947,9148,37.735072,-122.498125,38,78,70.2,38
1062,1934 21st Ave,San Francisco,CA,94116,1919000,5,4,2084,3049,37.751589,-122.478106,38,78,70.2,38
1063,2059 47th Ave,San Francisco,CA,94116,1699000,6,3,3470,3049,37.748066,-122.506468,38,78,70.2,38
1064,2740 38th Ave,San Francisco,CA,94116,1798000,6,4,2990,3049,37.735739,-122.495276,38,78,70.2,38
1065,2214 34th Ave,San Francisco,CA,94116,1549000,5,3,2575,2614,37.745735,-122.49171,38,78,70.2,38
1066,2355 46th Ave,San Francisco,CA,94116,1288000,3,2,1550,3001,37.742591,-122.505008,38,78,70.2,38
1067,2071 35th Ave,San Francisco,CA,94116,1289000,4,3,1766,3049,37.748429,-122.493596,38,78,70.2,38
1068,2066 23rd Ave,San Francisco,CA,94116,1235000,2,2,1350,3049,37.749095,-122.480083,38,78,70.2,38
1069,2275 26th Ave,San Francisco,CA,94116,1595000,3,1,1600,3049,37.745059,-122.483685,38,78,70.2,38
1070,866 Pacheco St,San Francisco,CA,94116,1698000,3,2.5,1864,3920,37.753955,-122.469449,38,78,70.2,38
1071,2230 31st Ave,San Francisco,CA,94116,1385000,3,4,1455,3049,37.745606,-122.488436,38,78,70.2,38
1072,2180 Funston Ave,San Francisco,CA,94116,1889000,4,3,2600,3049,37.747501,-122.469123,38,78,70.2,38
1073,2295 14th Ave,San Francisco,CA,94116,1740000,3,2,2048,2178,37.745288,-122.470651,38,78,70.2,38
1074,2405 32nd Ave,San Francisco,CA,94116,2900000,5,5,3964,3049,37.742016,-122.489729,38,78,70.2,38
1075,2711 40th Ave,San Francisco,CA,94116,1300000,4,2,1212,1751,37.736176,-122.49802,38,78,70.2,38
1076,2046 48th Ave,San Francisco,CA,94116,1895000,4,2.5,2030,3049,37.748253,-122.506898,38,78,70.2,38
1077,2100 46th Ave,San Francisco,CA,94116,1395000,3,2,1803,3049,37.747238,-122.504685,38,78,70.2,38
1078,2260 15th Ave,San Francisco,CA,94116,1598888,3,2,1550,2614,37.74587,-122.471061,38,78,70.2,38
1079,70 Santa Rita Ave,San Francisco,CA,94116,2389000,3,2.5,2520,3485,37.747358,-122.464733,38,78,70.2,38
1080,1151-1153 Fell St,San Francisco,CA,94117,1900000,4,2,2788,2614,37.773918,-122.436796,14,80,56.2,14
1081,1543 Cole St,San Francisco,CA,94117,3895000,3,3.5,3036,2614,37.760226,-122.449119,14,80,56.2,14
1082,1517 Shrader St,San Francisco,CA,94117,2680000,4,2,2430,4356,37.761111,-122.450888,14,80,56.2,14
1083,294 Upper Ter,San Francisco,CA,94117,1895000,3,2,,2178,37.762716,-122.445586,14,80,56.2,14
1084,1342 Hayes St,San Francisco,CA,94117,4885000,4,3.5,3765,3485,37.775178,-122.438595,14,80,56.2,14
1085,1284 Stanyan St,San Francisco,CA,94117,3600000,2,2,1445,10018.8,37.759981,-122.451247,14,80,56.2,14
1086,126 Cole St,San Francisco,CA,94117,2500000,6,1,2300,2614,37.773882,-122.450794,14,80,56.2,14
1087,128 Woodland Ave,San Francisco,CA,94117,4200000,4,3.5,3514,2614,37.761983,-122.453218,14,80,56.2,14
1088,267 Buena Vista Ave E,San Francisco,CA,94117,3295000,3,3,2400,2178,37.768005,-122.439133,14,80,56.2,14
1089,3800 Washington St,San Francisco,CA,94118,30000000,9,7.5,,20473.2,37.789136,-122.455972,25,85,67.1,25
1090,3530 Washington St,San Francisco,CA,94118,10250000,5,4.5,6245,3049,37.789714,-122.451257,25,85,67.1,25
1091,3990 Washington St,San Francisco,CA,94118,9950000,6,6.5,7600,4443,37.788606,-122.459065,25,85,67.1,25
1092,55 Palm Ave,San Francisco,CA,94118,6995000,6,6.5,6305,4792,37.784634,-122.458322,25,85,67.1,25
1093,766 10th Ave,San Francisco,CA,94118,1875000,3,3.5,2100,,37.773934,-122.467739,25,85,67.1,25
1094,3363 Washington St,San Francisco,CA,94118,4995000,6,5.5,,4792,37.78956,-122.448209,25,85,67.1,25
1095,449 Parker Ave,San Francisco,CA,94118,5700000,5,5,5150,6600,37.778464,-122.453864,25,85,67.1,25
1096,115 Walnut St,San Francisco,CA,94118,6500000,3,3.5,2925,3485,37.790086,-122.449438,25,85,67.1,25
1097,233 Stanyan St,San Francisco,CA,94118,1995000,2,2,,2178,37.776724,-122.455316,25,85,67.1,25
1098,2028 McAllister St,San Francisco,CA,94118,3895000,5,5.5,3585,3485,37.77717,-122.445536,25,85,67.1,25
1099,318 6th Ave,San Francisco,CA,94118,1998800,3,3,2450,3049,37.782337,-122.46405,25,85,67.1,25
1100,3 Cook St,San Francisco,CA,94118,1995000,3,2.5,,4356,37.783598,-122.452828,25,85,67.1,25
1101,708 2nd Ave,San Francisco,CA,94118,2999000,5,3,3418,3485,37.775323,-122.459275,25,85,67.1,25
1102,631 12th Ave,San Francisco,CA,94118,1975000,4,3,2250,3920,37.776248,-122.470711,25,85,67.1,25
1103,414 12th Ave,San Francisco,CA,94118,2595000,3,3.5,2930,3049,37.780127,-122.470332,25,85,67.1,25
1104,2736 Fulton St,San Francisco,CA,94118,2998000,5,5.5,3270,2831,37.774234,-122.461259,25,85,67.1,25
1105,538 16th Ave,San Francisco,CA,94118,1595000,3,1,2340,3049,37.777856,-122.47456,25,85,67.1,25
1106,415 Cornwall St,San Francisco,CA,94118,1695000,3,2,2584,2614,37.784594,-122.463833,25,85,67.1,25
1107,140 Sea Cliff Ave,San Francisco,CA,94121,19500000,5,5.5,6305,6970,37.789056,-122.487309,35,80,69,35
1108,494 46th Ave,San Francisco,CA,94121,1599000,3,1.5,1444,3106,37.779294,-122.506977,35,80,69,35
1109,841 47th Ave,San Francisco,CA,94121,2098000,5,4,2897,3485,37.77254,-122.508158,35,80,69,35
1110,255 28th Ave,San Francisco,CA,94121,3495000,4,3.5,3225,3049,37.784571,-122.488607,35,80,69,35
1111,5440 Anza St,San Francisco,CA,94121,2590000,5,4,2828,3049,37.777431,-122.506774,35,80,69,35
1112,414 36th Ave,San Francisco,CA,94121,3998000,5,4,3968,4356,37.781178,-122.496375,35,80,69,35
1113,715 32nd Ave,San Francisco,CA,94121,2995000,5,6,3060,3049,37.775525,-122.492259,35,80,69,35
1114,895 46th Ave,San Francisco,CA,94121,1690000,6,3,2258,1307,37.771679,-122.506916,35,80,69,35
1115,663 22nd Ave,San Francisco,CA,94121,2950000,4,6,3425,3049,37.775259,-122.481491,35,80,69,35
1116,763 45th Ave,San Francisco,CA,94121,1000000,2,2,1285,3049,37.774133,-122.506129,35,80,69,35
1117,882 37th Ave,San Francisco,CA,94121,1199000,2,1,1565,2178,37.77235,-122.496814,35,80,69,35
1118,810 42nd Ave,San Francisco,CA,94121,1328000,3,3.5,1695,2178,37.77334,-122.502228,35,80,69,35
1119,762 48th Ave,San Francisco,CA,94121,1530000,4,3,2130,3049,37.774003,-122.508677,35,80,69,35
1120,546 33rd Ave,San Francisco,CA,94121,1798000,5,5,1975,3049,37.778759,-122.49291,35,80,69,35
1121,571 34th Ave,San Francisco,CA,94121,1298000,2,1,1446,3049,37.778269,-122.494608,35,80,69,35
1122,635 24th Ave,San Francisco,CA,94121,1695000,3,2,,3049,37.777478,-122.483801,35,80,69,35
1123,463 27th Ave,San Francisco,CA,94121,2000000,5,3,2282,3001,37.780737,-122.487261,35,80,69,35
1124,494-498 35th Ave,San Francisco,CA,94121,2098000,4,3.5,,3049,37.779914,-122.495296,35,80,69,35
1125,801 38th Ave,San Francisco,CA,94121,1750000,7,3,2983,2178,37.773645,-122.498524,35,80,69,35
1126,723 43rd Ave,San Francisco,CA,94121,1450000,2,1,1300,3049,37.774917,-122.504038,35,80,69,35
1127,794 48th Ave,San Francisco,CA,94121,1195000,3,2,1180,1742,37.77347,-122.508744,35,80,69,35
1128,595 44th Ave,San Francisco,CA,94121,1850000,4,3,2200,2178,37.777367,-122.505242,35,80,69,35
1129,667 32nd Ave,San Francisco,CA,94121,1199000,2,1,1620,3049,37.776565,-122.492333,35,80,69,35
1130,1358 42nd Ave,San Francisco,CA,94122,1299999,4,2,1386,3000,37.761385,-122.501365,28,80,60.2,28
1131,1242 23rd Ave,San Francisco,CA,94122,1649000,3,1.5,1800,3049,37.764426,-122.481153,28,80,60.2,28
1132,1506 41st Ave,San Francisco,CA,94122,1095000,3,2,1464,1742,37.75859,-122.50017,28,80,60.2,28
1133,1427 35th Ave,San Francisco,CA,94122,1198000,2,1,1645,2614,37.760376,-122.494413,28,80,60.2,28
1134,1583 31st Ave,San Francisco,CA,94122,1395000,2,1,1440,2178,37.757738,-122.489892,28,80,60.2,28
1135,1398 19th Ave,San Francisco,CA,94122,2349000,5,4,2610,1742,37.761854,-122.47674,28,80,60.2,28
1136,1255 38th Ave,San Francisco,CA,94122,1395000,3,2,1640,3049,37.763479,-122.497871,28,80,60.2,28
1137,1782 29th Ave,San Francisco,CA,94122,888000,3,2,1575,1742,37.754122,-122.486987,28,80,60.2,28
1138,1766 32nd Ave,San Francisco,CA,94122,2488000,4,4,4212,2997,37.754269,-122.490116,28,80,60.2,28
1139,1539 41st Ave,San Francisco,CA,94122,1295000,2,2.5,1545,3049,37.758022,-122.500711,28,80,60.2,28
1140,1846 38th Ave,San Francisco,CA,94122,1100000,2,1,1301,2997,37.752417,-122.496439,28,80,60.2,28
