neighbourhood_group,neighbourhood
,Acorn-Acorn Industrial
,Adams Point
,Allendale
,Arrowhead Marsh
,Arroyo Viejo
,Bancroft Business-Havenscourt
,Bartlett
,Bella Vista
,Brookfield Village
,Bushrod
,Caballo Hills
,Castlemont
,Chabot Park
,Chinatown
,Civic Center
,Claremont
,Clawson
,Cleveland Heights
,Clinton
,Coliseum
,Coliseum Industrial
,Columbia Gardens
,Cox
,Crestmont
,Crocker Highland
,Dimond
,Downtown
,Durant Manor
,Eastmont
,Eastmont Hills
,East Peralta
,Elmhurst Park
,Fairfax
,Fairfax Business-Wentworth-Holland
,Fairview Park
,Fitchburg
,Foothill Square
,Forestland
,Fremont
,Frick
,Fruitvale Station
,Gaskill
,Glen Highlands
,Glenview
,Golden Gate
,Golf Links
,Grand Lake
,Harrington
,Hawthorne
,Hegenberger
,Highland
,Highland Terrace
,Hiller Highlands
,Hoover-Foster
,Iveywood
,Ivy Hill
,Jefferson
,Joaquin Miller Park
,Lake Merritt
,Lakeshore
,Lakewide
,Las Palmas
,Laurel
,Leona Heights
,Lincoln Highlands
,Lockwood Tevis
,Longfellow
,Lynn-Highland Park
,Maxwell Park
,McClymonds
,Melrose
,Merritt
,Merriwood
,Mills College
,Millsmont
,Montclair
,Montclair Business
,Mosswood
,Mountain View Cemetery
,Northgate
,North Kennedy Tract
,North Stonehurst
,Oak Center
,Oakland Airport
,Oakland Ave-Harrison St
,Oakmore
,Oak Tree
,Old City-Produce And Waterfront
,Panoramic Hill
,Paradise Park
,Patten
,Peralta-Hacienda
,Peralta-Laney
,Piedmont
,Piedmont Avenue
,Piedmont Pines
,Pill Hill
,Prescott
,Produce And Waterfront
,Ralph Bunche
,Rancho San Antonio
,Redwood Heights
,Reservoir Hill-Meadow Brook
,Rockridge
,Saint Elizabeth
,San Pablo Gateway
,Santa Fe
,Sausal Creek
,School
,Seminary
,Sequoyah
,Shafter
,Sheffield Village
,Shepherd Canyon
,Skyline-Hillcrest Estates
,Sobrante Park
,South Kennedy Tract
,South Prescott
,South Stonehurst
,Temescal
,Toler Heights
,Trestle Glen
,Tuxedo
,Upper Dimond
,Upper Laurel
,Upper Peralta Creek-Bartlett
,Upper Rockridge
,Waverly
,Webster
,Woodland
,Woodminster
