,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
30,"
                  45 Montcalm St,
                  ",San Francisco,CA,94110,"$1,425,000",2,2,"1,275","1,873",37.747144,-122.405778
31,"
                  154 Bonview St,
                  ",San Francisco,CA,94110,"$2,725,000",3,2.5,,,37.741867,-122.417815
32,"
                  156 Bonview St,
                  ",San Francisco,CA,94110,"$999,000",2,1,750,"1,742",37.741806,-122.417854
33,"
                  122 Brewster St,
                  ",San Francisco,CA,94110,"$1,695,000",4,3,"2,333","1,742",37.744752,-122.407142
34,"
                  39 Virginia Ave,
                  ",San Francisco,CA,94110,"$1,439,000",2,1,"1,434","1,742",37.743022,-122.420738
1,"
                  14 Edna St,
                  ",San Francisco,CA,94112,"$925,000",1,1,"1,145","2,614",37.726924,-122.446276
2,"
                  489 Madrid St,
                  ",San Francisco,CA,94112,"$740,500",2,1,"1,900","2,496",37.721717,-122.432388
3,"
                  531 Paris St,
                  ",San Francisco,CA,94112,"$850,000",6,5,"1,667","2,500",37.720073,-122.435805
4,"
                  461 Capistrano Ave,
                  ",San Francisco,CA,94112,"$1,150,000",3,2,"1,421","2,614",37.724628,-122.438926
5,"
                  27 Stoneybrook Ave,
                  ",San Francisco,CA,94112,"$899,000",3,1,"1,016","2,178",37.730615,-122.421503
6,"
                  210 Faxon Ave,
                  ",San Francisco,CA,94112,"$758,000",2,1,852,"1,873",37.718466,-122.45996
7,"
                  300 College Ave,
                  ",San Francisco,CA,94112,"$1,885,000",3,2,"1,950","3,920",37.734368,-122.424121
8,"
                  363 Howth St,
                  ",San Francisco,CA,94112,"$899,000",3,1,"1,635","3,049",37.718802,-122.451898
9,"
                  360 London St,
                  ",San Francisco,CA,94112,"$1,195,000",3,2.5,"1,744","2,614",37.723454,-122.435027
10,"
                  28 Liebig St,
                  ",San Francisco,CA,94112,"$1,295,000",8,3,"2,665","3,920",37.708594,-122.455922
11,"
                  211 Miramar Ave,
                  ",San Francisco,CA,94112,"$950,000",2,2,"1,750","3,049",37.722231,-122.458498
12,"
                  412 College Ave,
                  ",San Francisco,CA,94112,"$1,599,000",3,2,"1,650","3,920",37.733251,-122.423962
13,"
                  73 Danton St,
                  ",San Francisco,CA,94112,"$765,000",2,1,960,"2,614",37.731348,-122.432192
14,"
                  126 Ashton Ave,
                  ",San Francisco,CA,94112,"$1,065,000",3,2,"1,721","2,614",37.720547,-122.461942
15,"
                  572 Cordova St,
                  ",San Francisco,CA,94112,"$899,000",2,1,"1,137","2,614",37.708549,-122.434563
16,"
                  33 Sadowa St,
                  ",San Francisco,CA,94112,"$1,900,000",2,1,"4,955","6,098",37.712073,-122.455334
17,"
                  666 Geneva Ave,
                  ",San Francisco,CA,94112,"$1,350,000",4,2.5,"1,522","1,742",37.71915,-122.444324
18,"
                  349 Winding Way,
                  ",San Francisco,CA,94112,"$1,995,000",4,5,"3,569","4,356",37.709146,-122.437661
19,"
                  147 Gladstone Dr,
                  ",San Francisco,CA,94112,"$899,000",2,2,,,37.729146,-122.422007
20,"
                  342 Lisbon St,
                  ",San Francisco,CA,94112,"$1,298,000",3,3,"2,480","2,614",37.722985,-122.433203
21,"
                  330 Edna St,
                  ",San Francisco,CA,94112,"$1,575,000",5,2,"2,265","2,614",37.72956,-122.446293
22,"
                  226 Trumbull St,
                  ",San Francisco,CA,94112,"$699,000",2,1,"1,025","2,614",37.730689,-122.425479
