,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
47,5,12 Lind Ct,Orinda,94563,3,2.0,2240,0.52,1961,1,Single Family Residence,1680000,-122.149204332433,37.8678432702907
48,6,10 Broadview Ter,Orinda,94563,4,3.0,2500,0.65,1951,2,Single Family Residence,1750000,-122.168309472938,37.8764781864953
49,7,19 Donald Dr,Orinda,94563,3,3.0,3294,0.48,1959,2,Single Family Residence,1795000,-122.157467750256,37.8637801833601
50,8,5 Loma Linda Ct,Orinda,94563,3,2.0,1728,0.29,1948,2,Single Family Residence,1165000,-122.157322745145,37.8584802369538
51,9,46 Zander Ct,Orinda,94563,4,3.0,2932,0.93,1967,2,Single Family Residence,1649000,-122.145841356031,37.8656192908158
52,10,14 Ramona Drive,Orinda,94563,4,4.0,3994,0.33,2006,2,Single Family Residence,1998000,-122.141919451167,37.8453329672426
53,11,29 Canyon View,Orinda,94563,5,4.0,4000,0.94,1974,3,Single Family Residence,2295000,-122.167521273775,37.9089550884694
54,12,200 Hall Dr,Orinda,94563,5,3.5,4400,5.07,2010,6,Single Family Residence,3180000,-122.153784886989,37.8599383397755
55,13,325 Miller Ct,Orinda,94563,5,4.0,3939,1.01,2014,2,Single Family Residence,2698000,0.0,0.0
56,14,8 Hidden Ln,Orinda,94563,5,3.5,4562,1.31,1973,2,Single Family Residence,1895000,-122.195064786373,37.9102247614333
57,15,537 The Glade,Orinda,94563,3,2.0,2127,0.132,1985,2,Single Family Residence,1399000,-122.185582966942,37.8868257666792
58,16,51 Charles Hill Rd,Orinda,94563,5,5.0,3430,0.62,1948,2,Single Family Residence,1925000,-122.16641163535,37.9049374011548
59,17,1 Sycamore Road,Orinda,94563,5,4.5,3977,1.24,1941,2,Single Family Residence,3250000,-122.179397,37.906386
60,18,18 Daisy Ln,Orinda,94563,4,2.5,2614,0.77,1966,2,Single Family Residence,1430000,-122.156491812685,37.8599361495702
61,19,96 Claremont Ave,Orinda,94563,2,2.0,1672,0.11199999999999999,1974,0,Single Family Residence,849000,-122.207348843442,37.8901013707401
62,20,25 Rustic Way,Orinda,94563,6,5.5,8514,8.14,1986,6,Single Family Residence,4250000,-122.158294512374,37.8675144282332
63,21,9 Parklane Dr,Orinda,94563,4,3.0,2683,0.64,1956,2,Single Family Residence,1450000,0.0,0.0
64,22,60 La Espiral Road,Orinda,94563,5,4.0,3914,0.61,2006,2,Single Family Residence,2238000,-122.183024077496,37.8966740714848
65,23,60 La Espiral Rd,Orinda,94563,5,4.0,3914,0.61,2006,2,Single Family Residence,2238000,-122.183024077496,37.8966740714848
66,24,3 Lucille Way,Orinda,94563,5,3.0,2628,0.23399999999999999,1970,2,Single Family Residence,1385000,-122.185907,37.872381
67,25,516 Moraga Way,Orinda,94563,4,3.0,2552,0.99,1959,2,Single Family Residence,1650000,-122.1525260814,37.8542054466547
68,26,8 Santa Lucia Rd,Orinda,94563,5,5.0,3917,0.41,1934,2,Single Family Residence,1895000,0.0,0.0
69,27,66 Heather Ln,Orinda,94563,4,4.0,3130,0.7,1961,2,Single Family Residence,1799000,-122.166784112667,37.8710414324832
70,28,32 Tarabrook Dr,Orinda,94563,3,2.0,1404,0.28,1961,2,Single Family Residence,1095000,-122.172086216045,37.8789259058409
71,29,383 Miner Rd,Orinda,94563,5,4.0,4023,1.32,1954,2,Single Family Residence,2695000,-122.191245407832,37.899720534274
72,30,55 Berkeley Avenue,Orinda,94563,4,4.0,2606,0.57,1961,2,Single Family Residence,1193000,-122.204985312957,37.8906046276263
73,0,1455 Valley Ford Freestone Rd,Valley Ford,94972,4,4.0,4360,9.0,2007,3,Single Family Residence,2685000,0.0,0.0
74,0,2618 Milvia St,Berkeley,94703,3,2.0,0,0.094,1922,0,Single Family Residence,1495000,-122.2699186,37.8642703
75,1,1801 Ward St,Berkeley,94703,2,1.5,1296,0.064,1906,1,Single Family Residence,995000,-122.273249,37.85877
76,0,3005 Hillegass Ave,Berkeley,94705,3,1.5,2060,0.092,1908,1,Single Family Residence,1495000,-122.254918175289,37.8556283340061
77,1,161 El Camino Real,Berkeley,94705,3,2.0,2445,0.159,1941,2,Single Family Residence,1495000,-122.240223488143,37.8531716990927
