Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
226 Trumbull St,San Francisco,CA,94112,699000,2,1,1025,2614,37.730689,-122.425479
130 Josiah Ave,San Francisco,CA,94112,848000,2,2,,2614,37.717562,-122.453906
349 Winding Way,San Francisco,CA,94112,1895000,4,5,3569,4356,37.709146,-122.437661
342 Delano Ave,San Francisco,CA,94112,1150000,3,3,2224,3049,37.723853,-122.443129
355 Granada Ave,San Francisco,CA,94112,1295000,3,2,,,37.724938,-122.457546
360 London St,San Francisco,CA,94112,1195000,3,2.5,1744,2614,37.723454,-122.435027
666 Geneva Ave,San Francisco,CA,94112,1350000,4,2.5,1522,1742,37.71915,-122.444324
546 Paris St,San Francisco,CA,94112,899000,2,1,1250,2614,37.720196,-122.436399
120 Brunswick St,San Francisco,CA,94112,899000,2,1,1182,2614,37.711785,-122.439549
300 College Ave,San Francisco,CA,94112,1885000,3,2,1950,3920,37.734368,-122.424121
355 Ney St,San Francisco,CA,94112,749950,2,1,862,1742,37.730711,-122.423468
126 Ashton Ave,San Francisco,CA,94112,1065000,3,2,1721,2614,37.720547,-122.461942
174 Majestic Ave,San Francisco,CA,94112,899000,3,2,1356,2614,37.715969,-122.45309
39 Chicago Way,San Francisco,CA,94112,898888,2,1,990,3485,37.710199,-122.429008
242 Minerva St,San Francisco,CA,94112,1128000,4,4,,3049,37.716001,-122.460692
572 Cordova St,San Francisco,CA,94112,899000,2,1,1137,2614,37.708549,-122.434563
2217 San Jose Ave,San Francisco,CA,94112,998000,2,1.5,900,2614,37.72124,-122.445784
28 Liebig St,San Francisco,CA,94112,1295000,8,3,2665,3920,37.708594,-122.455922
275 Santa Rosa Ave,San Francisco,CA,94112,1499126,5,2,1393,4356,37.728426,-122.4397
125 Margaret Ave,San Francisco,CA,94112,998000,4,2,1502,2614,37.716863,-122.452751
218 Thrift St,San Francisco,CA,94112,949000,2,1,1150,3049,37.717711,-122.459844
412 College Ave,San Francisco,CA,94112,1599000,3,2,1650,3920,37.733251,-122.423962
212 Sagamore St,San Francisco,CA,94112,1095000,4,2,1501,3049,37.711693,-122.459438
330 Edna St,San Francisco,CA,94112,1575000,5,2,2265,2614,37.72956,-122.446293
4277 23rd St,San Francisco,CA,94114,1595000,2,1,,2614,37.752414,-122.438024
4144 23rd St,San Francisco,CA,94114,1595000,2,1.5,1320,2848,37.753072,-122.435327
740 Diamond St,San Francisco,CA,94114,1995000,3,1.5,,,37.751326,-122.436589
446 Hill St,San Francisco,CA,94114,2895000,4,3,2137,3049,37.755736,-122.431124
3767 23rd St,San Francisco,CA,94114,2995000,4,3,2491,2178,37.753126,-122.426866
1081 Church St,San Francisco,CA,94114,1995000,3,3,,1742,37.753633,-122.427351
52 Caselli Ave,San Francisco,CA,94114,1680000,3,1,1250,3023,37.759963,-122.440546
4406 24th St,San Francisco,CA,94114,1585000,2,1,1011,1742,37.751061,-122.440866
42 Graystone Ter,San Francisco,CA,94114,2150000,3,2.5,2600,2614,37.75843,-122.447619
51 Ord St,San Francisco,CA,94114,3600000,4,4,,1942,37.762993,-122.440018
617 Elizabeth St,San Francisco,CA,94114,1595000,3,1.5,1380,2614,37.751821,-122.434637
4127 20th St,San Francisco,CA,94114,3495000,4,2.5,,3049,37.757534,-122.433159
4376 17th St,San Francisco,CA,94114,3295000,3,3.5,,2178,37.762245,-122.442614
639 Grand View Ave,San Francisco,CA,94114,3395000,3,3.5,3660,3920,37.750073,-122.442345
4310 23rd St,San Francisco,CA,94114,2795000,4,3.5,,,37.752843,-122.439144
258 Caselli Ave,San Francisco,CA,94114,2595000,5,3.5,2832,1742,37.759269,-122.443893
24 Clarendon Ave,San Francisco,CA,94114,4400000,4,3.5,4437,4356,37.759132,-122.449312
4642 19th St,San Francisco,CA,94114,1985000,2,1.5,1800,2178,37.759175,-122.441529
564 Liberty St,San Francisco,CA,94114,2995000,4,3,2845,3049,37.75718,-122.433833
170 Palo Alto Ave,San Francisco,CA,94114,2914250,4,3,2683,6098,37.756996,-122.449991
52 Clarendon Ave,San Francisco,CA,94114,4295000,3,5,3730,2614,37.759048,-122.450222
571 Noe St,San Francisco,CA,94114,4200000,3,3.5,,2614,37.759912,-122.43236
4273 22nd St,San Francisco,CA,94114,1995000,3,2,1795,3049,37.753893,-122.440286
52 Yukon St,San Francisco,CA,94114,2988000,5,3.5,2938,2287,37.758749,-122.442405
140 Clarendon Ave,San Francisco,CA,94114,4995000,4,3.5,4350,6970,37.758589,-122.452371
688 Clipper St,San Francisco,CA,94114,2800000,4,3.5,2388,3523,37.74883,-122.439962
2104 Divisadero St,San Francisco,CA,94115,3895000,4,3,2740,2178,37.789302,-122.440403
2787 Pine St,San Francisco,CA,94115,1650000,4,4,2244,2178,37.786721,-122.441564
2440 Scott St,San Francisco,CA,94115,5995000,4,3.5,4392,2614,37.792403,-122.439368
1960 Golden Gate Ave,San Francisco,CA,94115,2299000,3,3,,2614,37.778365,-122.443237
145 Presidio Ave,San Francisco,CA,94115,7495000,4,4.5,4701,,37.790185,-122.447635
2148 Pine St,San Francisco,CA,94115,4200000,4,3.5,3539,3485,37.788549,-122.431195
2115 Bush St,San Francisco,CA,94115,5250000,4,4.5,3500,4356,37.786868,-122.432399
2406 Bush St,San Francisco,CA,94115,3500000,3,3,2375,2614,37.786796,-122.437057
1335 Divisadero St,San Francisco,CA,94115,2495000,4,2.5,2124,2614,37.781982,-122.43953
2094 Bush St,San Francisco,CA,94115,2790000,3,2.5,2346,2060,37.787466,-122.431702
2814 Clay St,San Francisco,CA,94115,3995000,6,4.5,,3920,37.790254,-122.439923
464 Dewey Blvd,San Francisco,CA,94116,1199000,3,1.5,,,37.746411,-122.460754
2662 46th Ave,San Francisco,CA,94116,1038000,2,2,900,3049,37.73689,-122.503949
2563 47th Ave,San Francisco,CA,94116,995000,2,1,878,3049,37.738682,-122.505806
2621 24th Ave,San Francisco,CA,94116,1149500,2,1,1160,3049,37.738588,-122.481081
1845 Pacheco St,San Francisco,CA,94116,1298888,3,2,1951,2060,37.750151,-122.480294
2111 21st Ave,San Francisco,CA,94116,1095000,2,1.5,1800,2178,37.74826,-122.478488
2631 Ulloa St,San Francisco,CA,94116,1498000,4,4,2087,1307,37.740636,-122.484763
2127 42nd Ave,San Francisco,CA,94116,788000,2,1,1162,3049,37.746989,-122.501017
3326 Vicente St,San Francisco,CA,94116,1095000,3,2,1549,2614,37.738368,-122.502768
2783 41st Ave,San Francisco,CA,94116,995000,2,1,1012,1307,37.734884,-122.499072
2531 Pacheco St,San Francisco,CA,94116,925000,2,1,1175,2614,37.749765,-122.487487
2179 27th Ave,San Francisco,CA,94116,1350000,2,1,1400,3049,37.746809,-122.484883
2122 14th Ave,San Francisco,CA,94116,2498000,6,4.5,4144,,37.748482,-122.470264
2210 45th Ave,San Francisco,CA,94116,898000,2,1,973,2178,37.745272,-122.503514
2005 21st Ave,San Francisco,CA,94116,1388000,3,3,1705,2178,37.75019,-122.478624
468 Dewey Blvd,San Francisco,CA,94116,1595000,3,1.5,1620,3920,37.746335,-122.460852
2546 28th Ave,San Francisco,CA,94116,1595000,4,4,2190,3049,37.739881,-122.484814
2195 42nd Ave,San Francisco,CA,94116,1249000,5,5,1687,1742,37.745827,-122.50085
2695 23rd Ave,San Francisco,CA,94116,1700000,4,3,1525,2614,37.737406,-122.479877
2828 Wawona St,San Francisco,CA,94116,1196000,3,2,1475,2500,37.736732,-122.497321
3015 Ulloa St,San Francisco,CA,94116,1389000,5,2.5,1881,3049,37.740353,-122.488774
2611 20th Ave,San Francisco,CA,94116,995000,2,1,1048,2178,37.738985,-122.476745
2775 40th Ave,San Francisco,CA,94116,1495000,4,3,1947,9148,37.735072,-122.498125
