School Code,Score,Zip Code,School Name
6015887,28.82625,90011,Ascot Avenue Elementary
122119,30.07875,90011,Estrella Elementary
111575,32.69,90011,Animo Ralph Bunche Charter High
6018303,32.89375,90011,Nevin Avenue Elementary
122127,33.9675,90011,Quincy Jones Elementary
122135,34.32375,90011,Dolores Huerta Elementary
117895,34.52625,90011,Synergy Kinetic Academy
115139,38.5025,90011,Center For Advanced Learning
124560,41.94,90011,Synergy Quantum Academy
128058,42.43,90011,Alliance College-Ready Middle Academy 12
6019582,43.37125,90011,Twentieth Street Elementary
109447,43.375,90011,Santee Education Complex
106427,60.57625,90011,Synergy Charter Academy
6015812,21.11125,90012,Ann Street Elementary
119727,38.555,90012,Ramon C. Cortines School Of Visual And Performing 
6016380,46.71125,90012,Castelar Street Elementary
6019277,71.036,90012,Solano Avenue Elementary
1932888,79.645,90012,Downtown Business High
131383,16.67,90014,Siatech Academy South
117994,6.78,90015,Youthbuild Charter School Of California
127803,9.52,90015,Early College Academy-La Trade Tech College
6019459,25.7375,90015,Tenth Street Elementary
6019053,34.8125,90015,San Pedro Street Elementary
6119903,40.02857143,90015,Downtown Value
133686,47.125,90015,Equitas Academy 4
119982,60.845,90015,Equitas Academy Charter
111500,62.62,90015,Alliance Dr. Olga Mohan High
1930429,5.26,90016,View Park Continuation
1932383,14.6,90016,Susan Miller Dorsey Senior High
6016570,14.78142857,90016,Coliseum Street Elementary
6019806,28.3675,90016,Virginia Road Elementary
117614,34.18875,90016,New Los Angeles Charter
100669,38.719,90016,Stella Middle Charter Academy
6016489,39.01375,90016,Cienega Elementary
6018071,43.66375,90016,Marvin Elementary
6015929,49.9375,90016,Baldwin Hills Elementary
1964733,6.741666667,90017,Los Angeles Unified District Level Program
112870,12.69,90017,Contreras Learning Center-Los Angeles School Of Gl
114199,17.72625,90017,John H. Liechty Middle
6113419,21.01,90017,Gratts Learning Academy For Young Scholars (Glays)
6110969,22.97375,90017,Esperanza Elementary
127795,23.625,90017,Contreras Learning Center-School Of Social Justice
117721,26.565,90017,Contreras Learning Center-Academic Leadership Comm
127977,31.6175,90017,Metro Charter
112029,40.405,90017,School Of Business And Tourism At Contreras Learni
100289,44.06875,90017,N.E.W. Academy Of Science And Arts
6019236,14.23625,90018,Sixth Avenue Elementary
6061451,22.651875,90018,Foshay Learning Center
121848,27.527,90018,Crown Preparatory Academy
6019608,30.24333333,90018,Twenty-Fourth Street Elementary
122101,33.3375,90018,Carson-Gore Academy Of Enviornmental Studies
108910,37.10357143,90018,Celerity Nascent Charter
6019491,38.41375,90018,Birdielee V. Bright Elementary
1931070,45.36125,90018,Mid-City's Prescott School Of Enriched Sciences
126136,51.91,90018,Math And Science College Preparatory
128116,17.04714286,90019,Global Education Academy Middle
6015747,18.83875,90019,Alta Loma Elementary
6061535,20.3275,90019,"Johnnie Cochran, Jr., Middle"
6015861,21.80875,90019,Arlington Heights Elementary
129833,22.69,90019,Global Education Academy 2
1935352,28.835,90019,Los Angeles Senior High
6066286,29.9625,90019,Saturn Street Elementary
6107064,36.3975,90019,Pio Pico Middle
127886,36.685,90019,City Language Immersion Charter
6018816,59.9175,90019,Queen Anne Place Elementary
133603,79.26333333,90019,"Girls Academic Leadership Academy, Dr. Michelle Ki"
122861,35.08428571,90020,Camino Nuevo Academy #2
1930387,5,90021,Central High
1996651,8.736,90021,Cds Secondary
1931468,16.67,90021,Metropolitan Continuation
117846,17.9475,90021,Para Los Niños Middle
6104814,22.59125,90021,Ninth Street Elementary
6120489,39.48125,90021,Para Los Niños Charter
1931989,17.855,90022,Monterey Continuation
6020689,21.845,90022,Winter Gardens Elementary
6020549,24.81,90022,Joseph A. Gascon Elementary
6018881,29.615,90022,Morris K. Hamasaki Elementary
6058036,31.53125,90022,Griffith Middle
6017131,32.73,90022,Ford Boulevard Elementary
6020622,32.8825,90022,Montebello Park Elementary
6017164,33.17125,90022,Fourth Street Elementary
6017651,40.3575,90022,Humphreys Avenue Elementary
126474,46.72,90022,Hilda L. Solis Learning Academy School Of Technolo
1933381,52.05,90022,James A. Garfield Senior High
6016141,56.485,90022,Brooklyn Avenue Elementary
125641,59.416,90022,Kipp Sol Academy
127670,69.55166667,90022,Kipp Iluminar Academy
117903,78.39166667,90022,Kipp Raices Academy
134205,13.22142857,90023,Arts In Action Community Middle
123992,18.02,90023,Animo Ellen Ochoa Charter Middle
6016679,23.464,90023,Christopher Dena Elementary
123158,25.45,90023,Arts In Action Community Charter
6016844,26.26125,90023,Eastman Avenue Elementary
6058317,27.1175,90023,Robert Louis Stevenson College And Career Preparat
6017941,27.19375,90023,Lorena Street Elementary
6019285,27.599,90023,Soto Street Elementary
120014,28.75785714,90023,Endeavor College Preparatory Charter
6018998,29.125,90023,Rowan Avenue Elementary
6104822,31.887,90023,Sunrise Elementary
6016968,32.68625,90023,Euclid Avenue Elementary
6058051,36.785,90023,Hollenbeck Middle
101675,37.285,90023,Oscar De La Hoya Animo Charter High
128132,37.9,90023,Extera Public School No. 2
100867,71.797,90023,Kipp Los Angeles College Preparatory
6057988,39.80625,90024,Emerson Community Charter
6016992,86.38875,90024,Fairburn Avenue Elementary
6019830,86.94,90024,Warner Avenue Elementary
6016133,31.15125,90025,Brockton Avenue Elementary
6018402,47.505,90025,Nora Sterry Elementary
1938885,49.95,90025,University Senior High
6120158,66.824,90025,New West Charter
6019939,73.5825,90025,Westwood Charter Elementary
6018097,16.71,90026,Mayberry Street Elementary
119701,17.72375,90026,Sal Castro Middle
6018972,20.70875,90026,Rosemont Avenue Elementary
6017917,20.72071429,90026,Logan Academy Of Global Ecology
110304,23.876,90026,Los Angeles Academy Of Arts And Enterprise Charter
122739,24.94,90026,Vista Charter Middle
1930924,25.485,90026,Belmont Senior High
106435,26.395,90026,Camino Nuevo Charter High
6016893,26.64,90026,Elysian Heights Elementary
1930296,32.26,90026,Harris Newmark Continuation
124826,35.34285714,90026,Camino Nuevo Charter Academy #4
6016638,38.21875,90026,Betty Plasencia Elementary
6018154,49.3475,90026,Micheltorena Street Elementary
117051,50.105,90026,Edward R. Roybal Learning Center
108886,65.49214286,90026,Gabriella Charter
123141,69.305,90026,Alliance Ted K. Tajima High
1935568,53.135,90027,John Marshall Senior High
6017974,55.81,90027,Los Feliz Science/Tech/Engineer/Math/Medicine Magn
6017172,72.9125,90027,Franklin Avenue Elementary
117077,9.105,90028,Apex Academy
6019103,21.60125,90028,Selma Avenue Elementary
6061501,25.845,90028,Joseph Le Conte Middle
