Zip,Neighborhood
95110,Tamien
95111,South San Jose
95112,Japantown
95116,East San Jose
95117,West San Jose
95118,Robertsville
95119,Santa Theresa
95120,Almaden
95121,Evergreen
95122,East San Jose
95123,Alamitos
95124,Cambrian Park
95125,Willow Glen
95126,Midtown
95127,Alum Rock
95128,Fruitdale
95129,West San Jose
95130,Bucknall
95131,North San Jose
95132,Berryessa
95133,Berryessa
95135,Evergreen
95136,South San Jose
95138,Evergreen
95139,Santa Theresa
95140,Mount Hamilton
95148,East San Jose
